Paper, URL, Conference, Year,data,description,txtName
Computational Soundness for Dalvik Bytecode.,http://doi.acm.org/10.1145/2976749.2978418,ccs,2016,,,p717-backes 2.31.51 PM.txt
Privacy Preserving Collaborative Filtering from Asymmetric Randomized Encoding.,https://doi.org/10.1007/978-3-662-47854-7_28,fc,2015,,,paper_35 (1).txt
Prudent Practices for Designing Malware Experiments: Status Quo and Outlook.,https://doi.org/10.1109/SP.2012.14,sp,2012,,,06234405 2.31.52 PM.txt
AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications.,http://doi.acm.org/10.1145/2810103.2813689,ccs,2015,,,p530-kong 2.31.51 PM.txt
Stealing Webpages Rendered on Your Browser by Exploiting GPU Vulnerabilities.,https://doi.org/10.1109/SP.2014.9,sp,2014,,,06956554.txt
Authenticated Network Time Synchronization.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/dowling,uss,2016,,,sec16_paper_dowling.txt
CopperDroid: Automatic Reconstruction of Android Malware Behaviors.,http://www.internetsociety.org/doc/copperdroid-automatic-reconstruction-android-malware-behaviors,ndss,2015,,,02_4_1.txt
SAuth: protecting user accounts from password database leaks.,http://doi.acm.org/10.1145/2508859.2516746,ccs,2013,,,p187-kontaxis.txt
In and Out of Cuba: Characterizing Cuba's Connectivity.,http://doi.acm.org/10.1145/2815675.2815718,imc,2015,,,p487-bischof.txt
LAP: Lightweight Anonymity and Privacy.,https://doi.org/10.1109/SP.2012.37,sp,2012,,,06234433 2.31.53 PM.txt
Phasing: Private Set Intersection Using Permutation-based Hashing.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/pinkas,uss,2015,,,sec15-paper-pinkas.txt
A Dual Perturbation Approach for Differential Private ADMM-Based Distributed Empirical Risk Minimization.,http://doi.acm.org/10.1145/2996758.2996762,ccsaisec,2016,,,p129-zhang.txt
Defeating IMSI Catchers.,http://doi.acm.org/10.1145/2810103.2813615,ccs,2015,,,p340-van-den-broek.txt
Offline Downloading in China: A Comparative Study.,http://doi.acm.org/10.1145/2815675.2815688,imc,2015,,,p473-li.txt
Practical UC security with a Global Random Oracle.,http://doi.acm.org/10.1145/2660267.2660374,ccs,2014,,,p597-canetti.txt
An Expressive Model for the Web Infrastructure: Definition and Application to the Browser ID SSO System.,https://doi.org/10.1109/SP.2014.49,sp,2014,,,
A Placement Vulnerability Study in Multi-Tenant Public Clouds.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/varadarajan,uss,2015,,,sec15-paper-varadarajan.txt
SSOScan: Automated Testing of Web Applications for Single Sign-On Vulnerabilities.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/zhou,uss,2014,,,sec14-paper-zhou 2.31.52 PM.txt
Two-Factor Authentication Resilient to Server Compromise Using Mix-Bandwidth Devices.,http://www.internetsociety.org/doc/two-factor-authentication-resilient-server-compromise-using-mix-bandwidth-devices,ndss,2014,,,08_3_0.txt
Market-Driven Code Provisioning to Mobile Secure Hardware.,https://doi.org/10.1007/978-3-662-47854-7_23,fc,2015,,,FC2015-107-Dmitrienko-post-proceedings.txt
Hypervision Across Worlds: Real-time Kernel Protection from the ARM TrustZone Secure World.,http://doi.acm.org/10.1145/2660267.2660350,ccs,2014,,,p90-azab.txt
Dynamic Searchable Encryption in Very-Large Databases: Data Structures and Implementation.,http://www.internetsociety.org/doc/dynamic-searchable-encryption-very-large-databases-data-structures-and-implementation,ndss,2014,,,07_4_1.txt
Paying for Likes?: Understanding Facebook Like Fraud Using Honeypots.,http://doi.acm.org/10.1145/2663716.2663729,imc,2014,,,
RILAnalyzer: a comprehensive 3G monitor on your phone.,http://doi.acm.org/10.1145/2504730.2504764,imc,2013,,,p257-vallina-rodriguez.txt
TRUESET: Faster Verifiable Set Computations.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kosba,uss,2014,,,sec14-paper-kosba 2.31.51 PM.txt
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy.",http://doi.acm.org/10.1145/2976749.2978363,ccs,2016,,,p1376-weichselbaum 2.31.51 PM.txt
Secure two-party computations in ANSI C.,http://doi.acm.org/10.1145/2382196.2382278,ccs,2012,,,p772-holzer 2.31.52 PM.txt
Program popularity and viewer behaviour in a large TV-on-demand system.,http://doi.acm.org/10.1145/2398776.2398798,imc,2012,,,p199-abrahamsson 2.31.52 PM.txt
RelationGram: Tie-Strength Visualization for User-Controlled Online Identity Authentication.,https://doi.org/10.1007/978-3-642-39884-1_7,fc,2013,,,2-3.txt
Network fingerprinting: TTL-based router signatures.,http://doi.acm.org/10.1145/2504730.2504761,imc,2013,,,p369-vanaubel.txt
Enforcing Forward-Edge Control-Flow Integrity in GCC &amp; LLVM.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/tice,uss,2014,,,sec14-paper-tice 2.31.52 PM.txt
Meerkat: Detecting Website Defacements through Image-based Object Recognition.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/borgolte,uss,2015,,,sec15-paper-borgolte.txt
Ad Blockers: Global Prevalence and Impact.,http://dl.acm.org/citation.cfm?id=2987460,imc,2016,,,p119-malloy.txt
Privacy and Access Control for Outsourced Personal Records.,https://doi.org/10.1109/SP.2015.28,sp,2015,,,07163035.txt
Identifying Risk Factors for Webserver Compromise.,https://doi.org/10.1007/978-3-662-45472-5_22,fc,2014,,,fc14_submission_123.txt
The Sounds of the Phones: Dangers of Zero-Effort Second Factor Login based on Ambient Audio.,http://doi.acm.org/10.1145/2976749.2978328,ccs,2016,,,p908-shrestha.txt
Peeking into Your App without Actually Seeing It: UI State Inference and Novel Android Attacks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/chen,uss,2014,,,sec14-paper-chen 2.31.52 PM.txt
Practical dynamic proofs of retrievability.,http://doi.acm.org/10.1145/2508859.2516669,ccs,2013,,,p325-shi.txt
Boxify: Full-fledged App Sandboxing for Stock Android.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/backes,uss,2015,,,sec15-paper-backes.txt
"There's No Free Lunch, Even Using Bitcoin: Tracking the Popularity and Profits of Virtual Currency Scams.",https://doi.org/10.1007/978-3-662-47854-7_4,fc,2015,,,paper_75.txt
Internet Jones and the Raiders of the Lost Trackers: An Archaeological Study of Web Tracking from 1996 to 2016.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/lerner,uss,2016,,,sec16_paper_lerner.txt
DROWN: Breaking TLS Using SSLv2.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/aviram,uss,2016,,,sec16_paper_aviram.txt
Relational abstract interpretation for the verification of 2-hypersafety properties.,http://doi.acm.org/10.1145/2508859.2516721,ccs,2013,,,p211-kovacs.txt
Polyglots: crossing origins by crossing formats.,http://doi.acm.org/10.1145/2508859.2516685,ccs,2013,,,p753-magazinius.txt
HIFS: history independence for file systems.,http://doi.acm.org/10.1145/2508859.2516724,ccs,2013,,,p1285-bajaj.txt
STEALTHMEM: System-Level Protection Against Cache-Based Side Channel Attacks in the Cloud.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/kim,uss,2012,,,sec12-final79.txt
A Scalable Scheme for Privacy-Preserving Aggregation of Time-Series Data.,https://doi.org/10.1007/978-3-642-39884-1_10,fc,2013,,,3-3.txt
Caelus: Verifying the Consistency of Cloud Services with Battery-Powered Devices.,https://doi.org/10.1109/SP.2015.59,sp,2015,,,07163066.txt
Privacy-preserving matrix factorization.,http://doi.acm.org/10.1145/2508859.2516751,ccs,2013,,,p801-nikolaenko.txt
Ensuring high-quality randomness in cryptographic key generation.,http://doi.acm.org/10.1145/2508859.2516680,ccs,2013,,,p685-corrigangibbs.txt
Differential Privacy as a Mutual Information Constraint.,http://doi.acm.org/10.1145/2976749.2978308,ccs,2016,,,p43-cuff 2.31.51 PM.txt
TreeDroid: a tree automaton based approach to enforcing data processing policies.,http://doi.acm.org/10.1145/2382196.2382290,ccs,2012,,,p894-dam 2.31.52 PM.txt
VC3: Trustworthy Data Analytics in the Cloud Using SGX.,https://doi.org/10.1109/SP.2015.10,sp,2015,,,07163017.txt
VCR: App-Agnostic Recovery of Photographic Evidence from Android Device Memory Images.,http://doi.acm.org/10.1145/2810103.2813720,ccs,2015,,,p146-saltaformaggio.txt
: SIBRA: Scalable Internet Bandwidth Reservation Architecture.,http://www.internetsociety.org/sites/default/files/blogs-media/sibra-scalable-internet-bandwidth-reservation-architecture.pdf,ndss,2016,,,
Reuse It Or Lose It: More Efficient Secure Computation Through Reuse of Encrypted Values.,http://doi.acm.org/10.1145/2660267.2660285,ccs,2014,,,p582-mood.txt
Reassembleable Disassembling.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/wang-shuai,uss,2015,,,sec15-paper-wang-shuai.txt
Losing Control: On the Effectiveness of Control-Flow Integrity under Stack Attacks.,http://doi.acm.org/10.1145/2810103.2813671,ccs,2015,,,p952-conti.txt
Cover your ACKs: pitfalls of covert channel censorship circumvention.,http://doi.acm.org/10.1145/2508859.2516742,ccs,2013,,,p361-geddes.txt
A Unilateral-to-Mutual Authentication Compiler for Key Exchange (with Applications to Client Authentication in TLS 1.3).,http://doi.acm.org/10.1145/2976749.2978325,ccs,2016,,,p1438-krawczyk 2.31.51 PM.txt
A Surfeit of SSH Cipher Suites.,http://doi.acm.org/10.1145/2976749.2978364,ccs,2016,,,p1480-albrecht 2.31.51 PM.txt
DEMOS-2: Scalable E2E Verifiable Elections without Random Oracles.,http://doi.acm.org/10.1145/2810103.2813727,ccs,2015,,,p352-kiayias.txt
"Make Sure DSA Signing Exponentiations Really are Constant-Time"".""",http://doi.acm.org/10.1145/2976749.2978420,ccs,2016,,,p1639-pereida-garcia 2.31.51 PM.txt
EASEAndroid: Automatic Policy Analysis and Refinement for Security Enhanced Android via Large-Scale Semi-Supervised Learning.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/wang-ruowen,uss,2015,,,sec15-paper-wang-ruowen 2.31.51 PM.txt
Towards Automatic Generation of Security-Centric Descriptions for Android Apps.,http://doi.acm.org/10.1145/2810103.2813669,ccs,2015,,,p518-zhang.txt
Elliptic Curve Cryptography in Practice.,https://doi.org/10.1007/978-3-662-45472-5_11,fc,2014,,,
Understanding On-device Bufferbloat for Cellular Upload.,http://dl.acm.org/citation.cfm?id=2987490,imc,2016,,,p303-guo.txt
Formal Analysis of Chaumian Mix Nets with Randomized Partial Checking.,https://doi.org/10.1109/SP.2014.29,sp,2014,,,06956574.txt
Towards Online Spam Filtering in Social Networks.,http://www.internetsociety.org/towards-online-spam-filtering-social-networks,ndss,2012,,,02_3.txt
On The Security of Mobile Cockpit Information Systems.,http://doi.acm.org/10.1145/2660267.2660375,ccs,2014,,,p633-lundberg.txt
Detecting and Exploiting Second Order Denial-of-Service Vulnerabilities in Web Applications.,http://doi.acm.org/10.1145/2810103.2813680,ccs,2015,,,p616-olivo.txt
Breaking and Fixing Origin-Based Access Control in Hybrid Web/Mobile Application Frameworks.,http://www.internetsociety.org/doc/breaking-and-fixing-origin-based-access-control-hybrid-webmobile-application-frameworks,ndss,2014,,,03_4_1.txt
Effective Inter-Component Communication Mapping in Android: An Essential Step Towards Holistic Security Analysis.,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/octeau,uss,2013,,,
Drammer: Deterministic Rowhammer Attacks on Mobile Platforms.,http://doi.acm.org/10.1145/2976749.2978406,ccs,2016,,,p1675-van-der-veen 2.31.51 PM.txt
ShortMAC: Efficient Data-Plane Fault Localization.,http://www.internetsociety.org/shortmac-efficient-data-plane-fault-localization,ndss,2012,,,P12_2.txt
Knowing your enemy: understanding and detecting malicious web advertising.,http://doi.acm.org/10.1145/2382196.2382267,ccs,2012,,,p674-li 2.31.53 PM.txt
Mass-surveillance without the State: Strongly Undetectable Algorithm-Substitution Attacks.,http://doi.acm.org/10.1145/2810103.2813681,ccs,2015,,,p1431-bellare.txt
Defending against Malicious Peripherals with Cinch.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/angel,uss,2016,,,sec16_paper_angel.txt
Hidden GEMs: Automated Discovery of Access Control Vulnerabilities in Graphical User Interfaces.,https://doi.org/10.1109/SP.2014.17,sp,2014,,,
SFADiff: Automated Evasion Attacks and Fingerprinting Using Black-box Differential Automata Learning.,http://doi.acm.org/10.1145/2976749.2978383,ccs,2016,,,p1690-argyros.txt
The Dropper Effect: Insights into Malware Distribution with Downloader Graph Analytics.,http://doi.acm.org/10.1145/2810103.2813724,ccs,2015,,,p1118-kwon.txt
CacheBrowser: Bypassing Chinese Censorship without Proxies Using Cached Content.,http://doi.acm.org/10.1145/2810103.2813696,ccs,2015,,,p70-holowczak.txt
The Misuse of Android Unix Domain Sockets and Security Implications.,http://doi.acm.org/10.1145/2976749.2978297,ccs,2016,,,p80-shao.txt
Ciphertext-only Cryptanalysis on Hardened Mifare Classic Cards.,http://doi.acm.org/10.1145/2810103.2813641,ccs,2015,,,p18-meijer.txt
A Software Approach to Defeating Side Channels in Last-Level Caches.,http://doi.acm.org/10.1145/2976749.2978324,ccs,2016,,,p871-zhou 2.31.51 PM.txt
Populated IP addresses: classification and applications.,http://doi.acm.org/10.1145/2382196.2382233,ccs,2012,,,p329-hong 2.31.52 PM.txt
Man vs. Machine: Practical Adversarial Detection of Malicious Crowdsourcing Workers.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang,uss,2014,,,sec14-paper-wang-gang 2.31.52 PM.txt
M2R: Enabling Stronger Privacy in MapReduce Computation.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/dinh,uss,2015,,,sec15-paper-dinh.txt
High Fidelity Data Reduction for Big Data Security Dependency Analyses.,http://doi.acm.org/10.1145/2976749.2978378,ccs,2016,,,p504-xu 2.31.51 PM.txt
Privacy in Epigenetics: Temporal Linkability of MicroRNA Expression Profiles.,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/backes_epigenetics,uss,2016,,,sec16_paper_backes-privacy.txt
