Name,URL,Conf.,Year,Used,Description,Produced,Description,Data,PDF_file_name
Limiting the Impact of Stealthy Attacks on Industrial Control Systems,https://dl.acm.org/authorize.cfm?key=N14326,CCS,2016,Yes,network data we collected from an operational large-scale Supervisory Control and Data Acqui- sition (SCADA),No,\,Data,p1092-urbina.pdf
Over-The-Top Bypass: Study of a Recent Telephony Fraud,https://dl.acm.org/authorize.cfm?key=N14327,CCS,2016,Yes,\,Yes,"performed more than 15,000 test calls during 8 months",Data,p1106-sahin.pdf
New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,CCS,2016,No,\,Yes,\,Non-data,p1118-tu.pdf
POPE: Partial Order Preserving Encoding,https://dl.acm.org/authorize.cfm?key=N14329,CCS,2016,Yes, 2 million public employee salary figures,No,\,Data,p1131-roche.pdf
ä£o__o_____ Forward Secure Searchable Encryption,https://dl.acm.org/authorize.cfm?key=N14320,CCS,2016,Yes,English Wikipedia,No,\,Data,p1143-bost.pdf
What Else is Revealed by Order-Revealing Encryption?,https://dl.acm.org/authorize.cfm?key=N14321,CCS,2016,Yes,"We use two real geographic datasets Cal, SpitzLoc|The dataset Cal represents the latitude and longitude of|The dataset SpitzLoc consists of latitude and longitude",No,\,Data,p1155-durak.pdf
Strong Non-Interference and Type-Directed Higher-Order Masking,https://dl.acm.org/authorize.cfm?key=N14240,CCS,2016,No,\,No,\,Non-data,p116-barthe.pdf
"Order-Revealing Encryption: New Constructions, Applications, and Lower Bounds",https://dl.acm.org/authorize.cfm?key=N14322,CCS,2016,No,\,No,\,Non-data,p1167-lewi.pdf
Practical Anonymous Password Authentication and TLS with Anonymous Client Authentication,https://dl.acm.org/authorize.cfm?key=N14323,CCS,2016,No,\,No,\,Non-data,p1179-zhang.pdf
Efficient Cryptographic Password Hardening Services from Partially Oblivious Commitments,https://dl.acm.org/authorize.cfm?key=N14324,CCS,2016,No,\,No,\,Non-data,p1192-schneider.pdf
A Comprehensive Formal Security Analysis of OAuth 2.0,https://dl.acm.org/authorize.cfm?key=N14335,CCS,2016,No,\,No,\,Non-data,p1204-fett.pdf
An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,Yes,We evaluate the method on the sentences and passwords|as well as two commonly used datasets Yahoo and| Markov Model trained on Rockyou dataset,No,\,Data,p1216-yang.pdf
On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,Yes,"To the best of our knowledge, PBVault is the only publicly available list of password vaults.| The RockYou list contains 32 million plaintext passwords.|The Gmail list contains over 5 million Google Mail credentials|it contains around 450 thousand passwords|The MySpace list contains around 55,000 passwords",No,\,Data,p1230-golla.pdf
Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,Yes,Basic information about our 10 password datasets,Yes," we build PII-Dodonew with size 161,510 by matching Dodonew with 51job and 12306 using email address, and | PII-000webhost with size 2,950 by matching 000webhost with Rootkit.| we further build three lists of password pairs for Chinese users by matching Dodonew and CSDN with the two PII-associated Chinese password lists using email address",Data,p1242-wang.pdf
PIPSEA: A Practical IPsec Gateway on Embedded APUs,https://dl.acm.org/authorize.cfm?key=N14339,CCS,2016,No,\,No,\,Non-data,p1255-park.pdf
MiddlePolice: Toward Enforcing Destination-Defined Policies in the Middle of the Internet,https://dl.acm.org/authorize.cfm?key=N14330,CCS,2016,Yes,including 52680 ASes and their business relationships,No,\,Data,p1268-liu.pdf
Protecting Insecure Communications with Topology-aware Network Tunnels,https://dl.acm.org/authorize.cfm?key=N14331,CCS,2016,Yes,"we evaluated 10,000 popular web domains according to Alexa",Yes,"Our final list, including the initial domains",Data,p1280-kontaxis.pdf
Function Secret Sharing: Improvements and Extensions,https://dl.acm.org/authorize.cfm?key=N14332,CCS,2016,No,\,No,\,Non-data,p1292-boyle.pdf
MERS: Statistical Test Generation for Side-Channel Analysis based Trojan Detection,https://dl.acm.org/authorize.cfm?key=N14241,CCS,2016,No,\,No,\,Non-data,p130-huang.pdf
"Hash First, Argue Later",https://dl.acm.org/authorize.cfm?key=N14333,CCS,2016,No,\,No,\,Non-data,p1304-fiore.pdf
Practical Non-Malleable Codes from `-more Extractable Hash Functions,https://dl.acm.org/authorize.cfm?key=N14334,CCS,2016,No,\,No,\,Non-data,p1317-kiayias.pdf
Generic Attacks on Secure Outsourced Databases,https://dl.acm.org/authorize.cfm?key=N14457,CCS,2016,Yes,518 datasets from the Texas Hospital Inpatient Discharge Public Use Data|and the 1049 datasets from the 2009 HCUP Nationwide Inpatient Sample,No,\,Data,p1329-kellaris.pdf
"The Shadow Nemesis: Inference Attacks on Efficiently Deployable, Efficiently Searchable Encryption",https://dl.acm.org/authorize.cfm?key=N14458,CCS,2016,Yes, The Enron email corpus [20] includes real emails|The Ubuntu Chat Corpus [30] is composed of archived chat logs,No,\,Data,p1341-pouliot.pdf
Breaking Web Applications Built On Top of Encrypted Data,https://dl.acm.org/authorize.cfm?key=N14459,CCS,2016,Yes,"a dictionary of 354,986 English words|using several years worth of Ubuntu IRC logs",No,\,Data,p1353-grubbs.pdf
Content Security Problems?,https://dl.acm.org/authorize.cfm?key=N14348,CCS,2016,Yes,we collect the CSP headers from the Alexa Top 1M websites| built a dataset of CSP violations,No,\,Data,p1365-calzavara.pdf
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",https://dl.acm.org/authorize.cfm?key=N14349,CCS,2016,Yes,data set that is representative of the web as a whole: a search index consisting of about 6.5 petabytes of data,No,\,Data,p1376-weichselbaum.pdf
Online Tracking: A 1-million-site Measurement and Analysis,https://dl.acm.org/authorize.cfm?key=N14340,CCS,2016,Yes,All of our measurements use the Alexa top 1 million site list| use two popular tracking-protection lists for this purpose: EasyList and | EasyPrivacy,No,\,Data,p1388-englehardt.pdf
Cross-Site Search Attacks,http://dl.acm.org/citation.cfm?doid=2810103.2813688,CCS,2015,No,\,Yes,We implemented and evaluated the attacks against,Data,p1394-gelernter.pdf
PhishEye: Live Monitoring of Sandboxed Phishing Kits,https://dl.acm.org/authorize.cfm?key=N14341,CCS,2016,Yes,We collected 643 unique phishing kits,No,\,Data,p1402-han.pdf
All Your DNS Records Point to Us,https://dl.acm.org/authorize.cfm?key=N14342,CCS,2016,Yes,choose a snapshot of Alexas top 1 million domain list| we use the DNS tool dig to retrieve the DNS records,No,\,Data,p1414-liu.pdf
Private Circuits III: Hardware Trojan-Resilience via Testing Amplification,https://dl.acm.org/authorize.cfm?key=N14242,CCS,2016,No,\,No,\,Non-data,p142-dziembowski.pdf
Identifying the Scan and Attack Infrastructures Behind Amplification DDoS Attacks,https://dl.acm.org/authorize.cfm?key=N14343,CCS,2016,Yes,"our modified AmpPot version observed 1,351,852 attacks, |our dataset contained TTL values for 168 distinct sources for five measurements",No,\,Data,p1426-krupp.pdf
A Unilateral-to-Mutual Authentication Compiler for Key Exchange (with Applications to Client Authentication in TLS 1.3) ___,https://dl.acm.org/authorize.cfm?key=N14344,CCS,2016,No,\,No,\,Non-data,p1438-krawczyk.pdf
Attribute-based Key Exchange with General Policies,https://dl.acm.org/authorize.cfm?key=N14455,CCS,2016,No,\,No,\,Non-data,p1451-kolesnikov.pdf
Identity-Concealed Authenticated Encryption and Key Exchange,https://dl.acm.org/authorize.cfm?key=N14456,CCS,2016,No,\,No,\,Non-data,p1464-zhao.pdf
A Surfeit of SSH Cipher Suites,https://dl.acm.org/authorize.cfm?key=N14345,CCS,2016,Yes,two IPv4-address-space-wide scans for SSH servers using ZGrab/ZMap|We found about 224 servers in each scan.| also randomly sampled 2048 IPs ,No,\,Data,p1480-albrecht.pdf
Systematic Fuzzing and Testing of TLS Libraries,https://dl.acm.org/authorize.cfm?key=N14346,CCS,2016,No,\,No,\,Non-data,p1492-somorovsky.pdf
Attacking OpenSSL Implementation of ECDSA with a Few Signatures,https://dl.acm.org/authorize.cfm?key=N14347,CCS,2016,No,\,No,\,Non-data,p1505-fan.pdf
Host of Troubles: Multiple Host Ambiguities in HTTP Implementations,https://dl.acm.org/authorize.cfm?key=N14450,CCS,2016,Yes,We brought 1.5 million advertising im- pressions,No,\,Data,p1516-chen.pdf
Accessorize to a Crime: Real and Stealthy Attacks on State-of-the-Art Face Recognition,https://dl.acm.org/authorize.cfm?key=N14451,CCS,2016,Yes,"roughly 1000 images per celebrity for training, for a total of about 2.6M images.",No,\,Data,p1528-sharif.pdf
Maneuvering Around Clouds: Bypassing Cloud-based Security Providers,http://dl.acm.org/citation.cfm?doid=2810103.2813633,CCS,2015,Yes,Alexa top 1 million|the publicly available data of ,Yes,we conduct a large-scale analysis in which we attempt to uncover the origin of CBSP-protected domains.,Data,p1530-vissers.pdf
On the Instability of Bitcoin Without the Block Reward,https://dl.acm.org/authorize.cfm?key=N14243,CCS,2016,No,\,No,\,Non-data,p154-carlsten.pdf
Lurking Malice in the Cloud: Understanding and Detecting Cloud Repository as a Malicious Service,https://dl.acm.org/authorize.cfm?key=N14452,CCS,2016,Yes,The good buckets were gathered from the Alexa top 3K websites|we visited each website using a crawler,Yes,"BarFinder reported 730 suspi- cious repositories|These Bars were found to directly serve 156,608 domains",Data,p1541-liao.pdf
Safely Measuring Tor,https://dl.acm.org/authorize.cfm?key=N14453,CCS,2016,Yes,We collected Tor mea- surements in multiple rounds of different lengths,No,\,Data,p1553-jansen.pdf
PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,Yes,"We collect authoritative nameservers for the domains within five minutes of domain registrations| We use the mapping dataset from iPlane to map the IP addresses to Autonomous System numbers|Our primary dataset consists of changes made to the .com zone| exclusive blacklisted .com domains (i.e., not reported by other feeds) on Spamhaus, | URIBL, and |  our spam trap number 24,015, 4,524, and 442 respectively",No,\,Data,p1568-hao.pdf
Stemming Downlink Leakage from Training Sequences in Multi-User MIMO Networks,https://dl.acm.org/authorize.cfm?key=N14465,CCS,2016,No,\,No,\,Non-data,p1580-mao.pdf
A Protocol for Privately Reporting Ad Impressions at Scale,https://dl.acm.org/authorize.cfm?key=N14466,CCS,2016,No,\,No,\,Non-data,p1591-green.pdf
Secure Stable Matching at Scale,https://dl.acm.org/authorize.cfm?key=N14467,CCS,2016,Yes,dataset designed to model the 2016 national medical residency match,No,\,Data,p1602-doerner.pdf
BeleniosRF: A Non-interactive Receipt-Free Electronic Voting Scheme,https://dl.acm.org/authorize.cfm?key=N14468,CCS,2016,No,\,No,\,Non-data,p1614-chaidos.pdf
ECDSA Key Extraction from Mobile Devices via Nonintrusive Physical Side Channels,https://dl.acm.org/authorize.cfm?key=N14469,CCS,2016,Yes, leakage of 5000 OpenSSL ECDSA signatures executed on an iPhone 3GS,No,\,Data,p1626-genkin.pdf
___Make Sure DSA Signing Exponentiations Really are Constant-Time,https://dl.acm.org/authorize.cfm?key=N14460,CCS,2016,Yes,collect 580 SM sequences from TLS handshakes and 260 from SSH,No,\,Data,p1639-pereida-garcia.pdf
On the Provable Security of (EC)DSA Signatures,https://dl.acm.org/authorize.cfm?key=N14461,CCS,2016,No,\,No,\,Non-data,p1651-fersch.pdf
Android ION Hazard: the Curse of Customizable Memory Management System,https://dl.acm.org/authorize.cfm?key=N14462,CCS,2016,Yes,"We have analyzed 17 Android devices in total,",No,\,Data,p1663-zhang.pdf
Drammer: Deterministic Rowhammer Attacks on Mobile Platforms,https://dl.acm.org/authorize.cfm?key=N14463,CCS,2016,No,\,No,\,Non-data,p1675-van-der-veen.pdf
Transparency Overlays and Applications,https://dl.acm.org/authorize.cfm?key=N14244,CCS,2016,No,\,No,\,Non-data,p168-chase.pdf
A Secure Sharding Protocol For Open Blockchains,https://dl.acm.org/authorize.cfm?key=N14232,CCS,2016,No,\,No,\,Non-data,p17-luu.pdf
Slitheen: Perfectly Imitated Decoy Routing through Traffic Replacement,https://dl.acm.org/authorize.cfm?key=N14475,CCS,2016,Yes,"visited the Alexa8 top 10,000 TLS sites",No,\,Data,p1702-bocovich.pdf
Practical Censorship Evasion Leveraging Content Delivery Networks,https://dl.acm.org/authorize.cfm?key=N14476,CCS,2016,Yes,"we browse the top 10,000 Alexa websites from 20 geographically-dispersed Planetlab|We find that all insecure edge servers of Akamai respond correctly to HTTPS requests",No,\,Data,p1715-zolfaghari.pdf
GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,CCS,2016,Yes,We use CAIDAs Jan 2016 AS relationships database| We use GeLite2 geo-location database| We use CAIDAs AS rank dataset| We use the OEC10 dataset |We use the DNS Census dataset,No,\,Data,p1727-nasr.pdf
EpicRec: Towards Practical Differentially Private Framework for Personalized Recommendation,https://dl.acm.org/authorize.cfm?key=N14355,CCS,2016,Yes,a movie rating dataset collected by the Grou-|a business rating data provided by RecSys Chal-|We use the MovieLens-,No,\,Data,p180-shen.pdf
Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14356,CCS,2016,Yes,AOL search log dataset|Kosarak dataset,No,\,Data,p192-qin.pdf
AUDACIOUS: User-Driven Access Control with Unmodified Operating Systems,https://dl.acm.org/authorize?N14357,CCS,2016,No,\,Yes,1060 errors across 88 of the top 100 applications ,Data,p204-ringer.pdf
Mix&Slice: Efficient Access Revocation in the Cloud,https://dl.acm.org/authorize.cfm?key=N14358,CCS,2016,No,\,No,\,Non-data,p217-bacis.pdf
Safe Serializable Secure Scheduling: Transactions and the Trade-Off Between Security and Consistency,https://dl.acm.org/authorize.cfm?key=N14359,CCS,2016,No,\,No,\,Non-data,p229-sheff.pdf
ProvUSB: Block-level Provenance-Based Data Protection for USB Storage Devices,https://dl.acm.org/authorize.cfm?key=N14350,CCS,2016,No,\,No,\,Non-data,p242-tian.pdf
Making Smart Contracts Smarter,https://dl.acm.org/authorize.cfm?key=N14351,CCS,2016,Yes,"We ran Oyente on 19, 366 smart contracts from",Yes,\,Data,p254-luu.pdf
Town Crier: An Authenticated Data Feed for Smart Contracts,https://dl.acm.org/authorize.cfm?key=N14352,CCS,2016,No,\,No,\,Non-data,p270-zhang.pdf
The Ring of Gyges: Investigating the Future of Criminal Smart Contracts,https://dl.acm.org/authorize.cfm?key=N14353,CCS,2016,No,\,No,\,Non-data,p283-juels.pdf
DPSense: Differentially Private Crowdsourced Spectrum Sensing,https://dl.acm.org/authorize.cfm?key=N14354,CCS,2016,Yes,We use the CRAWDAD dataset roma/taxi,No,\,Data,p296-jin.pdf
On the Security and Performance of Proof of Work Blockchains,https://dl.acm.org/authorize.cfm?key=N14231,CCS,2016,No,\,No,\,Non-data,p3-gervais.pdf
Deep Learning with Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14365,CCS,2016,Yes,and results on two popular image datasets: MNIST and CIFAR-10,No,\,Data,p308-abadi.pdf
The Honey Badger of BFT Protocols,https://dl.acm.org/authorize.cfm?key=N14233,CCS,2016,No,\,No,\,Non-data,p31-miller.pdf
Membership Privacy in MicroRNA-based Studies,https://dl.acm.org/authorize.cfm?key=N14366,CCS,2016,Yes,"database under reference GSE61741. It con- tains the miRNA expression profiles of 1,049 individuals",No,\,Data,p319-backes.pdf
TaintART: A Practical Multi-level Information-Flow Tracking System for Android RunTime,https://dl.acm.org/authorize.cfm?key=N14367,CCS,2016,Yes,Apps in our dataset used for the case study are downloaded from the Google ,No,\,Data,p331-sun.pdf
Statistical Deobfuscation of Android Applications,https://dl.acm.org/authorize.cfm?key=N14368,CCS,2016,Yes,1784 non-obfuscated Android applications|49 mal- ware families,No,\,Data,p343-bichsel.pdf
Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,CCS,2016,Yes,Our library set contains 164 libraries|collected and tracked the version,Yes,360 affected packages from 23 distinct apps|394 affected packages from 51 distinct apps|667 app versions of 296 distinct apps,Data,p356-backes.pdf
Prefetch Side-Channel Attacks: Bypassing SMAP and Kernel ASLR,https://dl.acm.org/authorize.cfm?key=N14360,CCS,2016,No,\,No,\,Non-data,p368-gruss.pdf
Breaking Kernel Address Space Layout Randomization with Intel TSX,https://dl.acm.org/authorize.cfm?key=N14361,CCS,2016,No,\,No,\,Non-data,p380-jang.pdf
Enforcing Least Privilege Memory Views for Multithreaded Applications,https://dl.acm.org/authorize.cfm?key=N14362,CCS,2016,No,in Alexa top one million websites ,No,\,Data,p393-hsu.pdf
Improvements to Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14363,CCS,2016,No,\,No,\,Non-data,p406-kumaresan.pdf
Amortizing Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14364,CCS,2016,No,\,No,\,Non-data,p418-kumaresan.pdf
VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits,http://dl.acm.org/citation.cfm?doid=2810103.2813604,CCS,2015,Yes,"Our heuristic maps the 718 CVEs of our dataset to 640 VCCs. |we have a large set of 169,502 unclassified commits.|we use the years 2011| Common Weakness Enumeration (CVE) database",Yes,"the first large-scale mapping of CVEs to GitHub commits|We created a large test database containing 66 C and C++ project with 170,860 commits on",Data,p426-perl.pdf
Differential Privacy as a Mutual Information Constraint,https://dl.acm.org/authorize.cfm?key=N14234,CCS,2016,No,\,No,\,Non-data,p43-cuff.pdf
MPC-Friendly Symmetric Key Primitives,https://dl.acm.org/authorize.cfm?key=N14375,CCS,2016,No,\,No,\,Non-data,p430-grassi.pdf
Message-Recovery Attacks on Feistel-Based Format Preserving Encryption,https://dl.acm.org/authorize.cfm?key=N14376,CCS,2016,No,\,No,\,Non-data,p444-bellare.pdf
Security by Any Other Name: On the Effectiveness of Provider Based Email Security,http://dl.acm.org/citation.cfm?doid=2810103.2813607,CCS,2015,No,Alexa top million Web sites,Yes,"We created the set of popular email providers based on the top 1 million email address domains|We found that while more than half of the top 20,000 receiving",Data,p450-foster.pdf
On the Practical (In-)Security of 64-bit Block Ciphers Collision Attacks on HTTP over TLS and OpenVPN,https://dl.acm.org/authorize.cfm?key=N14377,CCS,2016,Yes,we tested servers from Alexa|We identified 11483 different HTTPS servers,Yes,\,Data,p456-bhargavan.pdf
A Systematic Analysis of the Juniper Dual EC Incident,https://dl.acm.org/authorize.cfm?key=N14378,CCS,2016,Yes, Internet-wide scan of all IPv4 addresses on port 500,No,\,Data,p468-checkoway.pdf
Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,Yes,"we first collect a dataset which covers ACFGs of different functions from various architec- tures.|We prepared this dataset using BusyBox|These different compilation combinations resulted in a dataset|used the same public dataset based upon two publicly-available firmware images for baseline comparison|This dataset of 33,045 firmware images was collected from the wild.|we mined official software websites to collect lists of vulnerabilities with the corresponding CVE num- bers.|The resulting vulnerability database includes 154 vulnerable functions.",Yes,\,Data,p480-feng.pdf
SmartWalk: Enhancing Social Network Security via Adaptive Random Walks,https://dl.acm.org/authorize.cfm?key=N14370,CCS,2016,Yes,Stanford Large Network Dataset Collection,No,\,Data,p492-liu.pdf
High Fidelity Data Reduction for Big Data Security Dependency Analyses,https://dl.acm.org/authorize.cfm?key=N14371,CCS,2016,Yes,The data logs we used are col- lected from more than 30 machines,No,\,Data,p504-xu.pdf
TypeSan: Practical Type Confusion Detection,https://dl.acm.org/authorize.cfm?key=N14372,CCS,2016,No,\,No,\,Non-data,p517-haller.pdf
CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump,https://dl.acm.org/authorize.cfm?key=N14373,CCS,2016,Yes,80 crashes  corresponding  to  73  memory  corruption  vulnerabilities archived in Offensive Security Exploit Database,No,\,Data,p529-xu.pdf
AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications,http://dl.acm.org/citation.cfm?doid=2810103.2813689,CCS,2015,No,\,Yes,We crawled a real-world dataset,Data,p530-kong.pdf
"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms",https://dl.acm.org/authorize.cfm?key=N14374,CCS,2016,Yes,and 200 popular open-source projects hosted on GitHub,Yes,\,Data,p541-wressnegger.pdf
Advanced Probabilistic Couplings for Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14245,CCS,2016,No,\,No,\,Non-data,p55-barthe.pdf
Alternative Implementations of Secure Real Numbers,https://dl.acm.org/authorize.cfm?key=N14385,CCS,2016,No,\,No,\,Non-data,p553-dimitrov.pdf
Garbling Gadgets for Boolean and Arithmetic Circuits,https://dl.acm.org/authorize.cfm?key=N14386,CCS,2016,No,\,No,\,Non-data,p565-ball.pdf
Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,CCS,2015,Yes,"Alexa Top 5,000 websites",Yes,"Each of these three datasets contains 30,000 traces collected as follows: | packet-level traces for Tor Pluggable Transport traffic collected in controlled environments.",Data,p57-wang.pdf
Optimizing Semi-Honest Secure Multiparty Computation for the Internet,https://dl.acm.org/authorize.cfm?key=N14387,CCS,2016,No,\,No,\,Non-data,p578-ben-efraim.pdf
MEMS Gyroscopes as Physical Unclonable Functions,https://dl.acm.org/authorize.cfm?key=N14388,CCS,2016,No,\,No,\,Non-data,p591-willers.pdf
On the Security and Usability of Segment-based Visual Cryptographic Authentication Protocols,https://dl.acm.org/authorize.cfm?key=N14389,CCS,2016,No,\,No,\,Non-data,p603-wang.pdf
Instant and Robust Authentication and Key Agreement among Mobile Devices,https://dl.acm.org/authorize.cfm?key=N14380,CCS,2016,No,\,No,\,Non-data,p616-xi.pdf
Unauthorized origin crossing on mobile platforms: threats and mitigation,http://dl.acm.org/citation.cfm?doid=2508859.2516727,CCS,2013,No,\,No,\,Non-data,p635-wang.pdf
Chainsaw: Chained Automated Workflow-based Exploit Generation,https://dl.acm.org/citation.cfm?id=2978380&CFID=798977837&CFTOKEN=23312577,CCS,2016,Yes,Our dataset covers all test subjects used in two close works to,Yes," generating 199 exploits, including 30 second-order exploits, and has no false positives by design.",Data,p641-alhuzali.pdf
CSPAutoGen: Black-box Enforcement of Content Security Policy upon Real-world Websites,https://dl.acm.org/authorize.cfm?key=N14383,CCS,2016,Yes,Alexa Top 50 websites,No,\,Data,p653-pan.pdf
How I Learned to be Secure: a Census-Representative Survey of Security Advice Sources and Behavior,https://dl.acm.org/authorize.cfm?key=N14384,CCS,2016,Yes,U.S.-census-representative survey of 526 users,No,\,Data,p666-redmiles.pdf
Practical Detection of Entropy Loss in Pseudo-Random Number Generators,https://dl.acm.org/authorize?N14395,CCS,2016,Yes,\,Yes,\,Non-data,p678-dorre.pdf
Differentially Private Bayesian Programming,https://dl.acm.org/authorize.cfm?key=N14246,CCS,2016,No,\,No,\,Non-data,p68-barthe.pdf
"Build It, Break It, Fix It: Contesting Secure Development",https://dl.acm.org/authorize.cfm?key=N14396,CCS,2016,No,\,Yes,"For each team, we collected a variety of observed and self- ",Data,p690-ruef.pdf
SandScout: Automatic Detection of Flaws in iOS Sandbox Profiles,https://dl.acm.org/authorize.cfm?key=N14397,CCS,2016,Yes,\,Yes,\,Non-data,p704-deshotels.pdf
Computational Soundness for Dalvik Bytecode,https://dl.acm.org/authorize.cfm?key=N14398,CCS,2016,No,\,No,\,Non-data,p717-backes.pdf
SANA: Secure and Scalable Aggregate Network Attestation,https://dl.acm.org/authorize.cfm?key=N14399,CCS,2016,No,\,No,\,Non-data,p731-ambrosin.pdf
C-FLAT: Control-Flow Attestation for Embedded Systems Software,https://dl.acm.org/authorize.cfm?key=N14390,CCS,2016,Yes,\,No,\,Non-data,p743-abera.pdf
Acing the IOC Game: Toward Automatic Discovery and Analysis of Open-Source Cyber Threat Intelligence,https://dl.acm.org/authorize.cfm?key=N14391,CCS,2016,Yes,"71,000 articles collected from 45 leading technical blogs",No,\,Data,p755-liao.pdf
FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,CCS,2016,Yes,we collect the papers from the IEEE Sympo- sium on Security and Privacy,No,\,Data,p767-zhu.pdf
An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,Yes,Metasploit| Exploit-DB|Packet Storm|Security Explorations|online repository for Java exploits,Yes,In the following we use the extensive documentation,Data,p779-holzinger.pdf
The ___Web/Local__ù Boundary Is Fuzzy: A Security Study of Chrome___s Process-based Sandboxing,https://dl.acm.org/authorize.cfm?key=N14394,CCS,2016,No,\,Yes,10 SOP checks and their corresponding critical data,Data,p791-jia.pdf
The Misuse of Android Unix Domain Sockets and Security Implications,https://dl.acm.org/authorize.cfm?key=N14247,CCS,2016,Yes,"We analyze 14,644 apps and 60 system daemons",Yes,"finding that some apps, as well as certain system daemons, suffer from serious vulnerabilities",Data,p80-shao.pdf
High-Throughput Semi-Honest Secure Three-Party Computation with an Honest Majority,https://dl.acm.org/authorize.cfm?key=N14305,CCS,2016,No,\,No,\,Non-data,p805-araki.pdf
Exploiting Temporal Dynamics in Sybil Defenses,http://dl.acm.org/citation.cfm?doid=2810103.2813693,CCS,2015,No,\,Yes,we consider a real-world Facebook inter- action graph from the New Orleans regional network,Data,p805-liu.pdf
Efficient Batched Oblivious PRF with Applications to Private Set Intersection,https://dl.acm.org/authorize.cfm?key=N14306,CCS,2016,No,\,No,\,Non-data,p818-kolesnikov.pdf
MASCOT: Faster Malicious Arithmetic Secure Computation with Oblivious Transfer,https://dl.acm.org/authorize.cfm?key=N14307,CCS,2016,No,\,No,\,Non-data,p830-keller.pdf
