Name,URL,Conf.,Year,Used,Description,Produced,Description,Data,PDF_file_name,citeNum,Public
Towards Characterizing International Routing Detours,https://arxiv.org/pdf/1606.05047.pdf,NA,2016,Yes,MaxMind GeoLite,No,\,Data,1606.05047.pdf,0,NA
A Novel Methodology of Router-To-AS Mapping inspired by Community Discovery,https://arxiv.org/ftp/arxiv/papers/1512/1512.03916.pdf,NA,2015,Yes,PeeringDB IP-to-AS ground truth Data,No,\,Data,1512.03916.pdf,0,NA
On Measuring the Geographic Diversity of Internet Routes,https://arxiv.org/pdf/1601.01116v1.pdf,NA,2016,Yes,Therefore we used the data ,No,\,Data,1601.01116v1.pdf,0,NA
Spectral Fractal Dimension Trajectory to Measure Cognitive Complexity of Malicious DNS Traffic,http://worldcomp-proceedings.com/proc/p2016/SAM3798.pdf,SAM,2016,Yes,Data set from PREDICT USA|Data  set  from  CAIDA  USA,Yes,Data set from our experiment in which a PCAP file,Data,SAM3798.pdf,0,NA
Whack-a-mole: Asymmetric Conflict and Guerrilla Warfare in Web Security ,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_15-2.pdf,0,NA
Measuring Attitude towards Risk Treatment Actions amongst Information Security Professionals: an Experimental Approach,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_22-5.pdf,0,NA
Market Segmentation and Software Security: Pricing Patching Rights,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_33-2.pdf,0,NA
Data Security in the Digital Age: Reputation and Strategic Interactions in Security Investments ,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_34-4.pdf,0,NA
Privacy and Security Through the Lens of the Federal Trade Commissionês Bureau of Economics,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_36-1.pdf,0,NA
Malware and Market Share,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_4-1.pdf,0,NA
Determining an Optimal Threshold on the Online Reserves of a Bitcoin Exchange ,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_68-2.pdf,0,NA
Risk Management for Third Party Payment Networks ,,WEIS,2016,Yes,"we analyzed one year of transac- tion data from the TPP network, spanning from from 1/8/2014 till 1/8/2015 and collected by Adyen, a globally active PSP.",No,\,Data,WEIS_2016_paper_43_1.pdf,0,NA
On Code Execution Tracking via Power Side-Channe,https://dl.acm.org/authorize.cfm?key=N14310,CCS,2016,Yes,\,No,\,Non-data,p1019-liu.pdf,1,NA
New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,CCS,2016,No,\,Yes,\,Non-data,p1118-tu.pdf,1,NA
PIPSEA: A Practical IPsec Gateway on Embedded APUs,https://dl.acm.org/authorize.cfm?key=N14339,CCS,2016,No,\,No,\,Non-data,p1255-park.pdf,1,NA
Practical Non-Malleable Codes from `-more Extractable Hash Functions,https://dl.acm.org/authorize.cfm?key=N14334,CCS,2016,No,\,No,\,Non-data,p1317-kiayias.pdf,1,NA
Identity-Concealed Authenticated Encryption and Key Exchange,https://dl.acm.org/authorize.cfm?key=N14456,CCS,2016,No,\,No,\,Non-data,p1464-zhao.pdf,1,NA
Attacking OpenSSL Implementation of ECDSA with a Few Signatures,https://dl.acm.org/authorize.cfm?key=N14347,CCS,2016,No,\,No,\,Non-data,p1505-fan.pdf,1,NA
ProvUSB: Block-level Provenance-Based Data Protection for USB Storage Devices,https://dl.acm.org/authorize.cfm?key=N14350,CCS,2016,No,\,No,\,Non-data,p242-tian.pdf,1,NA
Instant and Robust Authentication and Key Agreement among Mobile Devices,https://dl.acm.org/authorize.cfm?key=N14380,CCS,2016,No,\,No,\,Non-data,p616-xi.pdf,1,NA
Hypnoguard: Protecting Secrets across Sleep-wake Cycles,https://dl.acm.org/authorize.cfm?key=N14316,CCS,2016,No,\,No,\,Non-data,p945-zhao.pdf,1,NA
"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms",https://dl.acm.org/authorize.cfm?key=N14374,CCS,2016,Yes,and 200 popular open-source projects hosted on GitHub,Yes,\,Data,p541-wressnegger.pdf,1,NA
High Fidelity Data Reduction for Big Data Security Dependency Analyses,https://dl.acm.org/authorize.cfm?key=N14371,CCS,2016,Yes,The data logs we used are col- lected from more than 30 machines,No,\,Data,p504-xu.pdf,1,NA
Practical Censorship Evasion Leveraging Content Delivery Networks,https://dl.acm.org/authorize.cfm?key=N14476,CCS,2016,Yes,"we browse the top 10,000 Alexa websites from 20 geographically-dispersed Planetlab|We find that all insecure edge servers of Akamai respond correctly to HTTPS requests",No,\,Data,p1715-zolfaghari.pdf,1,NA
An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,Yes,We evaluate the method on the sentences and passwords|as well as two commonly used datasets Yahoo and| Markov Model trained on Rockyou dataset,No,\,Data,p1216-yang.pdf,1,NA
"Build It, Break It, Fix It: Contesting Secure Development",https://dl.acm.org/authorize.cfm?key=N14396,CCS,2016,No,\,Yes,"For each team, we collected a variety of observed and self- ",Data,p690-ruef.pdf,1,NA
Over-The-Top Bypass: Study of a Recent Telephony Fraud,https://dl.acm.org/authorize.cfm?key=N14327,CCS,2016,Yes,\,Yes,"performed more than 15,000 test calls during 8 months",Data,p1106-sahin.pdf,1,NA
Introducing Reputation Systems to the Economics of Outsourcing Computations to Rational Workers.,https://doi.org/10.1007/978-3-662-54970-4_4,FC,2016,No,\,No,\,Non-data,04_Aljuraidan.pdf,1,NA
Fast Optimistically Fair Cut-and-Choose 2PC.,https://doi.org/10.1007/978-3-662-54970-4_12,FC,2016,No,\,No,\,Non-data,12_Kupcu.pdf,1,NA
"Discrete Choice, Social Interaction, and Policy in Encryption Technology Adoption (Short Paper).",https://doi.org/10.1007/978-3-662-54970-4_16,FC,2016,No,\,No,\,Non-data,16_Caulfield.pdf,1,NA
The Self-blindable U-Prove Scheme from FC'14 Is Forgeable (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_20,FC,2016,No,\,No,\,Non-data,20_Verheul.pdf,1,NA
Efficient Cryptographic Password Hardening Services from Partially Oblivious Commitments,https://dl.acm.org/authorize.cfm?key=N14324,CCS,2016,No,\,No,\,Non-data,p1192-schneider.pdf,2,NA
Private Circuits III: Hardware Trojan-Resilience via Testing Amplification,https://dl.acm.org/authorize.cfm?key=N14242,CCS,2016,No,\,No,\,Non-data,p142-dziembowski.pdf,2,NA
MEMS Gyroscopes as Physical Unclonable Functions,https://dl.acm.org/authorize.cfm?key=N14388,CCS,2016,No,\,No,\,Non-data,p591-willers.pdf,2,NA
Computational Soundness for Dalvik Bytecode,https://dl.acm.org/authorize.cfm?key=N14398,CCS,2016,No,\,No,\,Non-data,p717-backes.pdf,2,NA
iLock: Immediate and Automatic Locking of Mobile Devices against Data Theft,https://dl.acm.org/authorize.cfm?key=N14315,CCS,2016,No,\,No,\,Non-data,p933-li.pdf,2,NA
Functional Lattice Cryptography,https://dl.acm.org/authorize.cfm?key=N14318,CCS,2016,No,\,No,\,Non-data,p993-crockett.pdf,2,NA
Call Me Back! Attacks on System Server and System Apps in Android through Synchronous Callback,https://dl.acm.org/authorize.cfm?key=N14248,CCS,2016,Yes,"1,591 service interfaces of all the 80 system services in Android 5.1.0",No,\,Data,p92-wang.pdf,2,NA
CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump,https://dl.acm.org/authorize.cfm?key=N14373,CCS,2016,Yes,80 crashes  corresponding  to  73  memory  corruption  vulnerabilities archived in Offensive Security Exploit Database,No,\,Data,p529-xu.pdf,2,NA
CSPAutoGen: Black-box Enforcement of Content Security Policy upon Real-world Websites,https://dl.acm.org/authorize.cfm?key=N14383,CCS,2016,Yes,Alexa Top 50 websites,No,\,Data,p653-pan.pdf,2,NA
Enforcing Least Privilege Memory Views for Multithreaded Applications,https://dl.acm.org/authorize.cfm?key=N14362,CCS,2016,No,in Alexa top one million websites ,No,\,Data,p393-hsu.pdf,2,NA
SmartWalk: Enhancing Social Network Security via Adaptive Random Walks,https://dl.acm.org/authorize.cfm?key=N14370,CCS,2016,Yes,Stanford Large Network Dataset Collection,No,\,Data,p492-liu.pdf,2,NA
A Surfeit of SSH Cipher Suites,https://dl.acm.org/authorize.cfm?key=N14345,CCS,2016,Yes,two IPv4-address-space-wide scans for SSH servers using ZGrab/ZMap|We found about 224 servers in each scan.| also randomly sampled 2048 IPs ,No,\,Data,p1480-albrecht.pdf,2,NA
GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,CCS,2016,Yes,We use CAIDAs Jan 2016 AS relationships database| We use GeLite2 geo-location database| We use CAIDAs AS rank dataset| We use the OEC10 dataset |We use the DNS Census dataset,No,\,Data,p1727-nasr.pdf,2,NA
An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,Yes,Metasploit| Exploit-DB|Packet Storm|Security Explorations|online repository for Java exploits,Yes,In the following we use the extensive documentation,Data,p779-holzinger.pdf,2,NA
The Sounds of the Phones: Dangers of Zero-Effort Second Factor Login based on Ambient Audio,https://dl.acm.org/authorize.cfm?key=N14303,CCS,2016,No,\,Yes,we collect general population statistics via an online sur- vey to determine the phone usage habits relevant to our attacks.,Data,p908-shrestha.pdf,2,NA
Efficiently Making Secure Two-Party Computation Fair.,https://doi.org/10.1007/978-3-662-54970-4_11,FC,2016,No,\,No,\,Non-data,11_Kilinc.pdf,2,NA
A Cognitive Multifractal Approach to Characterize Complexity of Non-Stationary and Malicious DNS Data Traffic Using Adaptive Sliding Window ,https://www.computer.org/csdl/proceedings/iccicc/2015/7290/00/07259368.pdf,IEEE on Congnitive Computing,2015,Yes,PREDICT ID USC| DoS_DNS_amplification-20130617 ,No,\,Data,07259368.pdf,2,NA
Reducing allocation errors in network testbeds.,http://doi.acm.org/10.1145/2398776.2398828,IMC,2012,Yes,We analyze eight years of data about DeterLabês operation col- lected from its inception in February 2004 until February 2012. ,No,\,Data,p495-mirkovic.pdf,2,NA
Detecting Malicious Activity with DNS Backscatter,http://conferences.sigcomm.org/imc/2015/papers/p197.pdf,IMC,2015,Yes,This paper uses DNS datasets from three authorities|we have data from all seven of their anycast sites|We also use data for M-Root| we draw on 9 months of data taken at the M-Root server,No,\,Data,p197.pdf,2,NA
How and How Much Traceroute Confuses Our Understanding of Network Paths,http://wpage.unina.it/pescape/doc/routerpaths_lanman2016.pdf,NA,2016,Yes," selected at random from a list of 102,404 reachable destinations|Our dataset contains more than 900 thousand",No,\,Data,routerpaths_lanman2016.pdf,2,NA
Perverse Incentives in Security Contracts: A Case Study in the Colombian Power Grid,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_71-1.pdf,2,NA
Attribute-based Key Exchange with General Policies,https://dl.acm.org/authorize.cfm?key=N14455,CCS,2016,No,\,No,\,Non-data,p1451-kolesnikov.pdf,3,NA
Mix&Slice: Efficient Access Revocation in the Cloud,https://dl.acm.org/authorize.cfm?key=N14358,CCS,2016,No,\,No,\,Non-data,p217-bacis.pdf,3,NA
Safe Serializable Secure Scheduling: Transactions and the Trade-Off Between Security and Consistency,https://dl.acm.org/authorize.cfm?key=N14359,CCS,2016,No,\,No,\,Non-data,p229-sheff.pdf,3,NA
Practical Detection of Entropy Loss in Pseudo-Random Number Generators,https://dl.acm.org/authorize?N14395,CCS,2016,Yes,\,Yes,\,Non-data,p678-dorre.pdf,3,NA
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",https://dl.acm.org/authorize.cfm?key=N14349,CCS,2016,Yes,data set that is representative of the web as a whole: a search index consisting of about 6.5 petabytes of data,No,\,Data,p1376-weichselbaum.pdf,3,NA
Secure Stable Matching at Scale,https://dl.acm.org/authorize.cfm?key=N14467,CCS,2016,Yes,dataset designed to model the 2016 national medical residency match,No,\,Data,p1602-doerner.pdf,3,NA
Identifying the Scan and Attack Infrastructures Behind Amplification DDoS Attacks,https://dl.acm.org/authorize.cfm?key=N14343,CCS,2016,Yes,"our modified AmpPot version observed 1,351,852 attacks, |our dataset contained TTL values for 168 distinct sources for five measurements",No,\,Data,p1426-krupp.pdf,3,NA
Slitheen: Perfectly Imitated Decoy Routing through Traffic Replacement,https://dl.acm.org/authorize.cfm?key=N14475,CCS,2016,Yes,"visited the Alexa8 top 10,000 TLS sites",No,\,Data,p1702-bocovich.pdf,3,NA
Content Security Problems?,https://dl.acm.org/authorize.cfm?key=N14348,CCS,2016,Yes,we collect the CSP headers from the Alexa Top 1M websites| built a dataset of CSP violations,No,\,Data,p1365-calzavara.pdf,3,NA
FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,CCS,2016,Yes,we collect the papers from the IEEE Sympo- sium on Security and Privacy,No,\,Data,p767-zhu.pdf,3,NA
PhishEye: Live Monitoring of Sandboxed Phishing Kits,https://dl.acm.org/authorize.cfm?key=N14341,CCS,2016,Yes,We collected 643 unique phishing kits,No,\,Data,p1402-han.pdf,3,NA
Android ION Hazard: the Curse of Customizable Memory Management System,https://dl.acm.org/authorize.cfm?key=N14462,CCS,2016,Yes,"We have analyzed 17 Android devices in total,",No,\,Data,p1663-zhang.pdf,3,NA
DPSense: Differentially Private Crowdsourced Spectrum Sensing,https://dl.acm.org/authorize.cfm?key=N14354,CCS,2016,Yes,We use the CRAWDAD dataset roma/taxi,No,\,Data,p296-jin.pdf,3,NA
Using Reflexive Eye Movements for Fast Challenge-Response Authentication,https://dl.acm.org/authorize.cfm?key=N14313,CCS,2016,No,\,Yes,a series of systematic user experiments with 30 participants from the general public,Data,p1056-sluganovic.pdf,3,NA
The Misuse of Android Unix Domain Sockets and Security Implications,https://dl.acm.org/authorize.cfm?key=N14247,CCS,2016,Yes,"We analyze 14,644 apps and 60 system daemons",Yes,"finding that some apps, as well as certain system daemons, suffer from serious vulnerabilities",Data,p80-shao.pdf,3,NA
VoiceLive: A Phoneme Localization based Liveness Detection for Voice Authentication on Smartphones,https://dl.acm.org/authorize.cfm?key=N14325,CCS,2016,No,\,Yes,We conduct extensive experiments with 12 participants,Data,p1080-zhang.pdf,3,NA
A Unilateral-to-Mutual Authentication Compiler for Key Exchange (with Applications to Client Authentication in TLS 1.3) ___,https://dl.acm.org/authorize.cfm?key=N14344,CCS,2016,No,\,No,\,Non-data,p1438-krawczyk.pdf,3,NA
The ___Web/Local__ù Boundary Is Fuzzy: A Security Study of Chrome___s Process-based Sandboxing,https://dl.acm.org/authorize.cfm?key=N14394,CCS,2016,No,\,Yes,10 SOP checks and their corresponding critical data,Data,p791-jia.pdf,3,NA
The Days Before Zero Day:Investment Models for Secure Software Engineering ,,WEIS,2016,No,\,No,\,Non-data,WEIS_2016_paper_21-2.pdf,3,NA
SFADiff: Automated Evasion Attacks and Fingerprinting Using Black-box Differential Automata Learning,https://dl.acm.org/authorize.cfm?key=N14464,CCS,2016,No,\,No,\,Non-data,06547124.pdf,4,NA
Have we Crossed the Line? The Growing Ethical Debate in Modern Computer Security Research,http://www.sigsac.org/ccs/CCS2009/pd/abstract_22.pdf,CCS,2009,No,\,No,\,Non-data,abstract_22.pdf,4,NA
Practical Anonymous Password Authentication and TLS with Anonymous Client Authentication,https://dl.acm.org/authorize.cfm?key=N14323,CCS,2016,No,\,No,\,Non-data,p1179-zhang.pdf,4,NA
"Hash First, Argue Later",https://dl.acm.org/authorize.cfm?key=N14333,CCS,2016,No,\,No,\,Non-data,p1304-fiore.pdf,4,NA
BeleniosRF: A Non-interactive Receipt-Free Electronic Voting Scheme,https://dl.acm.org/authorize.cfm?key=N14468,CCS,2016,No,\,No,\,Non-data,p1614-chaidos.pdf,4,NA
Message-Recovery Attacks on Feistel-Based Format Preserving Encryption,https://dl.acm.org/authorize.cfm?key=N14376,CCS,2016,No,\,No,\,Non-data,p444-bellare.pdf,4,NA
"Covert Channels through Random Number Generator: Mechanisms, Capacity Estimation and Mitigations",https://dl.acm.org/authorize.cfm?key=N14308,CCS,2016,No,\,No,\,Non-data,p843-evtyushkin.pdf,4,NA
EpicRec: Towards Practical Differentially Private Framework for Personalized Recommendation,https://dl.acm.org/authorize.cfm?key=N14355,CCS,2016,Yes,a movie rating dataset collected by the Grou-|a business rating data provided by RecSys Chal-|We use the MovieLens-,No,\,Data,p180-shen.pdf,4,NA
Membership Privacy in MicroRNA-based Studies,https://dl.acm.org/authorize.cfm?key=N14366,CCS,2016,Yes,"database under reference GSE61741. It con- tains the miRNA expression profiles of 1,049 individuals",No,\,Data,p319-backes.pdf,4,NA
Leave Your Phone at the Door: Side Channels that Reveal Factory Floor Secrets,https://dl.acm.org/authorize.cfm?key=N14301,CCS,2016,No,\,Yes,the relevant sensor data by deliberately or accidentally placing an,Data,p883-hojjati.pdf,4,NA
Exploiting Temporal Dynamics in Sybil Defenses,http://dl.acm.org/citation.cfm?doid=2810103.2813693,CCS,2015,No,\,Yes,we consider a real-world Facebook inter- action graph from the New Orleans regional network,Data,p805-liu.pdf,4,NA
Understanding Address Usage in the Visible Internet,http://www.isi.edu/~johnh/PAPERS/Cai09b.pdf,USC/ISI Technical Report,2009,Yes,We use two ICMP surveys taken by USC|We collected VUSC s at our enterprise in order to compare,No,\,Data,Cai09b.pdf,4,NA
Error Handling of In-vehicle Networks Makes Them Vulnerable,https://dl.acm.org/authorize.cfm?key=N14312,CCS,2016,No,\,No,\,Non-data,p1044-cho.pdf,5,NA
Function Secret Sharing: Improvements and Extensions,https://dl.acm.org/authorize.cfm?key=N14332,CCS,2016,No,\,No,\,Non-data,p1292-boyle.pdf,5,NA
Transparency Overlays and Applications,https://dl.acm.org/authorize.cfm?key=N14244,CCS,2016,No,\,No,\,Non-data,p168-chase.pdf,5,NA
Amortizing Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14364,CCS,2016,No,\,No,\,Non-data,p418-kumaresan.pdf,5,NA
TypeSan: Practical Type Confusion Detection,https://dl.acm.org/authorize.cfm?key=N14372,CCS,2016,No,\,No,\,Non-data,p517-haller.pdf,5,NA
Acing the IOC Game: Toward Automatic Discovery and Analysis of Open-Source Cyber Threat Intelligence,https://dl.acm.org/authorize.cfm?key=N14391,CCS,2016,Yes,"71,000 articles collected from 45 leading technical blogs",No,\,Data,p755-liao.pdf,5,NA
Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14356,CCS,2016,Yes,AOL search log dataset|Kosarak dataset,No,\,Data,p192-qin.pdf,5,NA
On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,Yes,"To the best of our knowledge, PBVault is the only publicly available list of password vaults.| The RockYou list contains 32 million plaintext passwords.|The Gmail list contains over 5 million Google Mail credentials|it contains around 450 thousand passwords|The MySpace list contains around 55,000 passwords",No,\,Data,p1230-golla.pdf,5,NA
UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,CCS,2016,No,\,Yes,19 of the new data leak vulnerabilities in the latest kernels have been confirmed,Data,p920-lu.pdf,5,NA
Practically Efficient Secure Single-Commodity Multi-market Auctions.,https://doi.org/10.1007/978-3-662-54970-4_7,FC,2016,No,\,No,\,Non-data,07_Aly.pdf,5,NA
"The Shadow Nemesis: Inference Attacks on Efficiently Deployable, Efficiently Searchable Encryption",https://dl.acm.org/authorize.cfm?key=N14458,CCS,2016,Yes, The Enron email corpus [20] includes real emails|The Ubuntu Chat Corpus [30] is composed of archived chat logs,No,\,Data,p1341-pouliot.pdf,6,NA
Draco: A System for Uniform and Fine-grained Access Control for Web Code on Android,https://dl.acm.org/authorize.cfm?key=N14249,CCS,2016,No,\,No,\,Non-data,p104-tuncay.pdf,6,NA
Improvements to Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14363,CCS,2016,No,\,No,\,Non-data,p406-kumaresan.pdf,6,NA
MPC-Friendly Symmetric Key Primitives,https://dl.acm.org/authorize.cfm?key=N14375,CCS,2016,No,\,No,\,Non-data,p430-grassi.pdf,6,NA
Garbling Gadgets for Boolean and Arithmetic Circuits,https://dl.acm.org/authorize.cfm?key=N14386,CCS,2016,No,\,No,\,Non-data,p565-ball.pdf,6,NA
Differentially Private Bayesian Programming,https://dl.acm.org/authorize.cfm?key=N14246,CCS,2016,No,\,No,\,Non-data,p68-barthe.pdf,6,NA
5Gen: A Framework for Prototyping Applications Using Multilinear Maps and Matrix Branching Programs,https://dl.acm.org/authorize.cfm?key=N14317,CCS,2016,No,\,No,\,Non-data,p981-lewi.pdf,6,NA
Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,Yes,"we first collect a dataset which covers ACFGs of different functions from various architec- tures.|We prepared this dataset using BusyBox|These different compilation combinations resulted in a dataset|used the same public dataset based upon two publicly-available firmware images for baseline comparison|This dataset of 33,045 firmware images was collected from the wild.|we mined official software websites to collect lists of vulnerabilities with the corresponding CVE num- bers.|The resulting vulnerability database includes 154 vulnerable functions.",Yes,\,Data,p480-feng.pdf,6,NA
How to Challenge and Cast Your e-Vote.,https://doi.org/10.1007/978-3-662-54970-4_8,FC,2016,No,\,No,\,Non-data,08_Guasch.pdf,6,NA
DroidAuditor: Forensic Analysis of Application-Layer Privilege Escalation Attacks on Android (Short Paper).,https://doi.org/10.1007/978-3-662-54970-4_15,FC,2016,No,\,No,\,Non-data,15_Heuser.pdf,6,NA
Explicit Optimal Binary Pebbling for One-Way Hash Chain Reversal.,https://doi.org/10.1007/978-3-662-54970-4_18,FC,2016,No,\,No,\,Non-data,18_Schoenmakers.pdf,6,NA
"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,NA,2014,Yes,We analyzed BGP announcements captured by all|we used a dataset compiled by Geoff Hus- ton|We collected unsampled NetFlow records| We collected per-flow logs from a vantage| We collected full packet traces from the|Our fourth VP is a large European IXP inter-|We used the ISI Internet Census dataset|We extracted IP addresses from logs of Project,No,\,Data,lost_in_space.pdf,6,NA
Join Me on a Market for Anonymity ,,WEIS,2016,Yes,We used JoinMarketês built-in order book watcher to monitor the available o_ers and stored a snapshot about every five minutes since the beginning of June 2015 until the end of January 2016. ,No,\,Data,WEIS_2016_paper_58.pdf,6,NA
Advanced Probabilistic Couplings for Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14245,CCS,2016,No,\,No,\,Non-data,p55-barthe.pdf,7,NA
Statistical Deobfuscation of Android Applications,https://dl.acm.org/authorize.cfm?key=N14368,CCS,2016,Yes,1784 non-obfuscated Android applications|49 mal- ware families,No,\,Data,p343-bichsel.pdf,7,NA
My Smartphone Knows What You Print: Exploring Smartphone-based Side-channel Attacks Against 3D Printers,https://dl.acm.org/authorize.cfm?key=N14302,CCS,2016,No,\,Yes,we implement an application on Nexus 5 (Android OS v6.01) to collect the acoustic data,Data,p895-song.pdf,7,NA
VD-PSI: Verifiable Delegated Private Set Intersection on Outsourced Private Datasets.,https://doi.org/10.1007/978-3-662-54970-4_9,FC,2016,No,\,No,\,Non-data,09_Abadi.pdf,7,NA
Securing Self-Virtualizing Ethernet Devices,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/smolyar,USENIX,2015,No,\,Yes,\,Non-data,sec15-paper-smolyar.pdf,7,NA
MERS: Statistical Test Generation for Side-Channel Analysis based Trojan Detection,https://dl.acm.org/authorize.cfm?key=N14241,CCS,2016,No,\,No,\,Non-data,p130-huang.pdf,8,NA
Differential Privacy as a Mutual Information Constraint,https://dl.acm.org/authorize.cfm?key=N14234,CCS,2016,No,\,No,\,Non-data,p43-cuff.pdf,8,NA
Return-Oriented Flush-Reload Side Channels on ARM and Their Implications for Android Devices,https://dl.acm.org/authorize.cfm?key=N14309,CCS,2016,No,\,No,\,Non-data,p858-zhang.pdf,8,NA
AUDACIOUS: User-Driven Access Control with Unmodified Operating Systems,https://dl.acm.org/authorize?N14357,CCS,2016,No,\,Yes,1060 errors across 88 of the top 100 applications ,Data,p204-ringer.pdf,8,NA
When CSI Meets Public WiFi: Inferring Your Mobile Phone Password via WiFi Signals,https://dl.acm.org/authorize.cfm?key=N14314,CCS,2016,No,\,Yes,We collected training and testing data from 10 volunteers.,Data,p1068-li.pdf,8,NA
Cross-Site Search Attacks,http://dl.acm.org/citation.cfm?doid=2810103.2813688,CCS,2015,No,\,Yes,We implemented and evaluated the attacks against,Data,p1394-gelernter.pdf,8,NA
