Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Muwei,From Facepalm to Brain Bender: Exploring Client-Side Cross-Site Scripting,http://dl.acm.org/citation.cfm?doid=2810103.2813625,CCS,2015,No,Create Primary,The basis of the results we present in this paper is a set of exploits detected with the methodology we developed in 2013,No,No,/,Research,Attacker Related,Exploits,,5
Muwei,Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,CCS,2015,No,Create Primary,"packet-level traces for Tor Pluggable Transport traffic collected in controlled environments, website fingerprint attack",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,15
Muwei,Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,CCS,2015,No,Create Primary,packet-level traffic traces collected at various locations in a campus network,No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,15
Hannah,Statistical Deobfuscation of Android Applications,https://dl.acm.org/authorize.cfm?key=N14368,CCS,2016,No,Create Derivative,one sample from each of the 49 malware families,No,No,/,Industry,Attacker Related,Attacks,,7
Hannah,AUDACIOUS: User-Driven Access Control with Unmodified Operating Systems,https://dl.acm.org/authorize?N14357,CCS,2016,No,Create Derivative,1060 errors acros 88 of the top 100 free applications in the Android application store caused by event and click forgery,No,No,/,Research,Attacker Related,Exploits,,8
Hannah,Content Security Problems?,https://dl.acm.org/authorize.cfm?key=N14348,CCS,2016,No,Create Derivative,we collect the CSP headers from the Alexa Top 1M websites,Public,No,http://www.alexa.com/topsites,,Macro-level Internet Characteristics,Applications,,3
Hannah,Protecting Insecure Communications with Topology-aware Network Tunnels,https://dl.acm.org/authorize.cfm?key=N14331,CCS,2016,No,Create Derivative,"Our final list, including the initial domains, contains 34,893 unique domains resolved to 20,026 distinct IP addresses, we only considered complete network paths for which we had identified all their hops ending up with data for 15,020 of the original 20,026 hosts",No,No,/,Research,Macro-level Internet Characteristics,Topology,,0
Hannah,DPSense: Differentially Private Crowdsourced Spectrum Sensing,https://dl.acm.org/authorize.cfm?key=N14354,CCS,2016,No,Create Derivative,extracting the traces from the center of Rome from CRAWDAD dataset roma/taxi,No,No,http://crawdad.org/roma/taxi/20140717 (original dataset),Industry,Macro-level Internet Characteristics,Topology,,3
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Create Derivative,"We use the mapping dataset from iPlane to map the IP addresses to Autonomous System numbers, equivalent registration times from the zone update data, and extract hour-of-the-day and day-of-the-week, ",Public,No,http://iplane.cs.washington.edu/data/data.html,Industry,Macro-level Internet Characteristics,Topology,,9
Hannah,TaintART: A Practical Multi-level Information-Flow Tracking System for Android RunTime,https://dl.acm.org/authorize.cfm?key=N14367,CCS,2016,No,Create Derivative,"Test  popular  apps  in  the _岩top  chart_褲  downloaded  from  the Google official market (Google Play) in May 2016, ",Public,No,/,Industry,Users & Organizations Characteristics,User Activities,,9
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Create Derivative," we build PII-Dodonew with size 161,510 by matching Dodonew with 51job and 12306 using email address",No,No,/,Research,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Create Derivative,"PII-000webhost with size 2,950 by matching 000webhost with Rootkit",No,No,/,Research,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Create Derivative,we further build three lists of password pairs for Chinese users by matching Dodonew and CSDN with the two PII-associated Chinese password lists using email address,No,No,/,Research,Users & Organizations Characteristics,User Information,,21
Hannah,New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,CCS,2016,No,Create Primary,Attacks based on those vulnerabilities crafted,Public,No,Data in paper,Research,Attacker Related,Attacks,,1
Hannah,PhishEye: Live Monitoring of Sandboxed Phishing Kits,https://dl.acm.org/authorize.cfm?key=N14341,CCS,2016,No,Create Primary,"We collected 643 unique phishing kits, which were uploaded on our honeypot over a period of five months from September 2015 to the end of January 2016, ",No,No,/,Industry,Attacker Related,Attacks,,3
Hannah,Identifying the Scan and Attack Infrastructures Behind Amplification DDoS Attacks,https://dl.acm.org/authorize.cfm?key=N14343,CCS,2016,No,Create Primary,"our modified AmpPot version observed 1,351,852 attacks",No,No,/,Research,Attacker Related,Attacks,,3
Hannah,Chainsaw: Chained Automated Workflow-based Exploit Generation,http://dl.acm.org/citation.cfm?id=2978380,CCS,2016,No,Create Primary,"199 first- and second-order injection exploitsChainsawwas tested on9 PHP web applications of different complexities, generating199  exploits,  including  30  second-order  exploits,  and  hasno false positives by design.",Only a few were discussed,No,Some specific exploits in data paper,Research,Attacker Related,Exploits,,0
Hannah,New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,CCS,2016,No,Create Primary,Vulnerabilities found,Public,No,Data in paper,Research,Attacker Related,Vulnerabilities,,1
Hannah,"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms",https://dl.acm.org/authorize.cfm?key=N14374,CCS,2016,No,Create Primary,"Found vulnerabilities related to integers, migrating from 32 bit and larger address space",Public,No,Data in paper,Research,Attacker Related,Vulnerabilities,,1
Hannah,Call Me Back! Attacks on System Server and System Apps in Android through Synchronous Callback,https://dl.acm.org/authorize.cfm?key=N14248,CCS,2016,No,Create Primary,Identified six previously unknown vulnerabilities in Android service systems,No (sent to Google),"No",Data in paper,Research,Attacker Related,Vulnerabilities,,2
Hannah,CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump,https://dl.acm.org/authorize.cfm?key=N14373,CCS,2016,No,Create Primary,"e compiled and configured vulnerable programs based on thedescription of the collected vulnerabilities, and successfully produce80 crashes using the PoCs corresponding to 73 vulnerabilities. ",Public,No,https://www.exploit-db.com/,Industry,Attacker Related,Vulnerabilities,,2
Hannah,The Misuse of Android Unix Domain Sockets and Security Implications,https://dl.acm.org/authorize.cfm?key=N14247,CCS,2016,No,Create Primary,Identified vulnerabilities in Android daemons and apps,No (sent to developers),No,https://sites.google.com/site/unixdomainsocketstudy/home,Research,Attacker Related,Vulnerabilities,,3
Hannah,Content Security Problems?,https://dl.acm.org/authorize.cfm?key=N14348,CCS,2016,No,Create Primary,built a dataset of CSP violations using our Chromium extension,No,No,/,Research,Attacker Related,Vulnerabilities,,3
Hannah,UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,CCS,2016,Yes,Create Primary,"Discovered many previously unknown information leak vulnerabilities in the latest Linux and Android kernels, 19 of which have been confirmed by Linux maintainers and Google, ","Sent to Google and Linux, Public",No,http://www.cvedetails.com/vulnerabilities-by-types.php,Research,Attacker Related,Vulnerabilities,,5
Hannah,UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,CCS,2016,Yes,Create Primary,conducted another study of kernel information leak vulnerabilities reported after 2013,No,No,/,Research,Attacker Related,Vulnerabilities,,5
Hannah,Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,CCS,2016,No,Create Primary,"360 affected packages from 23 distinct apps with vulnerability of Dropbox SDK versions 1.5.4 and 1.6.1,  394 affected packages from 51 distinct apps with an account hijacking vulnerability, 667 app versions of 296 distinct apps with a cumulative install-base of 3.7bn using ad libs with verified crypto misuse",No,No,/,Research,Attacker Related,Vulnerabilities,,11
Hannah,Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,CCS,2016,No,Create Primary,"we scan our library set for presence of API misusevulnerabilities [28, 9] that would expose the libs_验 host appsto cryptanalytic and code injection attacks and discover 18vulnerable libs (61 version",Public,No,/,Industry,Attacker Related,Vulnerabilities,,11
Hannah,On the Practical (In-)Security of 64-bit Block Ciphers Collision Attacks on HTTP over TLS and OpenVPN,https://dl.acm.org/authorize.cfm?key=N14377,CCS,2016,No,Create Primary,"Various vulnerabilities in Mozilla Firefox, OpenVPN, OpenSSL, Akami, Apple, Microsoft",Public,No,https://sweet32.info/,Research,Attacker Related,Vulnerabilities,,17
Hannah,High Fidelity Data Reduction for Big Data Security Dependency Analyses,https://dl.acm.org/authorize.cfm?key=N14371,CCS,2016,No,Create Primary,Data logs collected from more than 30 machines with various server models and operating systems,No,No,/,Industry,Defender Artifacts,Configurations,,1
Hannah,_岩Make Sure DSA Signing Exponentiations Really are Constant-Time,https://dl.acm.org/authorize.cfm?key=N14460,CCS,2016,No,Create Primary,collect 580 SM sequences from TLS handshakes and 260 from SSH,No,No,/,Research,Defender Artifacts,Configurations,,13
Hannah,Android ION Hazard: the Curse of Customizable Memory Management System,https://dl.acm.org/authorize.cfm?key=N14462,CCS,2016,No,Create Primary,"We have analyzed 17 Android devices in total,",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,3
Hannah,Secure Stable Matching at Scale,https://dl.acm.org/authorize.cfm?key=N14467,CCS,2016,No,Create Primary,dataset designed to model the 2016 national medical residency match,No,No,/,Industry,Macro-level Internet Characteristics,Applications,,3
Hannah,Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,No,Create Primary,"This dataset was used for base-line comparison, and all functions in this dataset has known groundtruth for metric validation. We prepared this dataset using BusyBox(v1.21  and  v1.20),  OpenSSL  (v1.0.1f  and  v1.0.1a)  and  coreutils(v6.5 and v6.7).  dataset of over 568,134 functions, Each function in the baseline dataset has atleast two instances:  one for query and another for search",No,No,/,Research,Macro-level Internet Characteristics,Applications,,6
Hannah,Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,No,Create Primary,"Firmware images from 8,126 devices across three architectures and 26 vendors,  ",Public,No,/,Research,Macro-level Internet Characteristics,Applications,,6
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Create Primary,"We collect authoritative nameservers for the domains within five minutes of domain registrations (i.e., the epoch that we have defined) from the zone update files and map them to a set of binary features, where 1 means the nameserver resolves the domain, ",No,No,/,Research,Macro-level Internet Characteristics,Applications,,9
Hannah,Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,CCS,2016,No,Create Primary,"Comprehensive repository of third-party libraries and applications containing 164 libraries of different categories and a total of 2,065 versions, version histories for the top 50 apps of each category on Play between Sep 2015 and July 2016, accumulating to 96,995 packages from 3,590 apps, meta-information, such as app and library release dates, ",No,No,/,Research,Macro-level Internet Characteristics,Applications,,11
Hannah,Practical Censorship Evasion Leveraging Content Delivery Networks,https://dl.acm.org/authorize.cfm?key=N14476,CCS,2016,No,Create Primary,all insecure edge servers of Akamai respond correctly to HTTPS requests for any of the 400 Akamai customer websites we tried,No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,1
Hannah,A Surfeit of SSH Cipher Suites,https://dl.acm.org/authorize.cfm?key=N14345,CCS,2016,No,Create Primary,"IPv4-address-space-wide scans for SSH servers using ZGrab/ZMap. These were conducted from November 11, 2015 to December 1, 2015 ",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,2
Hannah,A Surfeit of SSH Cipher Suites,https://dl.acm.org/authorize.cfm?key=N14345,CCS,2016,No,Create Primary,"IPv4-address-space-wide scans for SSH servers using ZGrab/ZMap. These were conductedfrom January 22, 2016 to January 27, 2016. ",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,2
Hannah,A Surfeit of SSH Cipher Suites,https://dl.acm.org/authorize.cfm?key=N14345,CCS,2016,No,Create Primary,"We found about 224 servers in each scan., also randomly sampled 2048 IPs which were reportingdropbear_2014.66 resp. OpenSSH 5.3 to understand what kind of systems were running these services, ",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,2
Hannah,A Systematic Analysis of the Juniper Dual EC Incident,https://dl.acm.org/authorize.cfm?key=N14378,CCS,2016,No,Create Primary,"Internet-wide scan of all IPv4 addresses on port 500, with various messages sent/recieved with certain criteria",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,9
Hannah,Limiting the Impact of Stealthy Attacks on Industrial Control Systems,https://dl.acm.org/authorize.cfm?key=N14326,CCS,2016,No,Create Primary,Network data we collected from an operational large-scale Supervisory Control and Data Acquisition (SCADA) system that manages more than 100 Programmable Logic Controllers,No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,16
Hannah,On the Practical (In-)Security of 64-bit Block Ciphers Collision Attacks on HTTP over TLS and OpenVPN,https://dl.acm.org/authorize.cfm?key=N14377,CCS,2016,No,Create Primary,Large number of HTTP requests,No,"No",/,Research,Macro-level Internet Characteristics,Network Traces,,17
Hannah,Identifying the Scan and Attack Infrastructures Behind Amplification DDoS Attacks,https://dl.acm.org/authorize.cfm?key=N14343,CCS,2016,No,Create Primary,"our dataset contained TTL values for 168 distinct sources for five measurements,",No,No,/,Research,Macro-level Internet Characteristics,Topology,,3
Hannah,Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14356,CCS,2016,No,Create Primary,AOL keyword search log,Public,No,/,Industry,Users & Organizations Characteristics,User Activities,,5
Hannah,The Sounds of the Phones: Dangers of Zero-Effort Second Factor Login based on Ambient Audio,https://dl.acm.org/authorize.cfm?key=N14303,CCS,2016,No,Create Primary,General population statistics via an online survey to determine the phone usage habits and patterns relevant to attacks,No,No,/,Research,Users & Organizations Characteristics,User Offline Characteristics,,2
Hannah,When CSI Meets Public WiFi: Inferring Your Mobile Phone Password via WiFi Signals,https://dl.acm.org/authorize.cfm?key=N14314,CCS,2016,No,Create Primary,Study of ten volunteers and their touch screen usage related to entering passcodes,No,No,/,Research,Users & Organizations Characteristics,User Offline Characteristics,,8
Hannah,Statistical Deobfuscation of Android Applications,https://dl.acm.org/authorize.cfm?key=N14368,CCS,2016,No,Existing,1784 non-obfuscated Android applications from F-Droid,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,7
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing," 1,781,962outsourced leaf certificates",Public,No,https://support.apple.com/en-us/HT202858,Industry,Defender Artifacts,Configurations,,5
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing,"3,275,635 self-managed leaf certificates",No,No,/,Research,Defender Artifacts,Configurations,,5
Hannah,Host of Troubles: Multiple Host Ambiguities in HTTP Implementations,https://dl.acm.org/authorize.cfm?key=N14450,CCS,2016,No,Existing,"1.5 million advertising impressions with about $110 on the Bit-torrent PC client uTorrent, which distributes Flash advertisements as part of the revenue model",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,0
Hannah,Acing the IOC Game: Toward Automatic Discovery and Analysis of Open-Source Cyber Threat Intelligence,https://dl.acm.org/authorize.cfm?key=N14391,CCS,2016,No,Existing,"71,000 articles collected from 45 leading technical blogs",No,No,/,Industry,Users & Organizations Characteristics,User Activities,,5
Hannah,How I Learned to be Secure: a Census-Representative Survey of Security Advice Sources and Behavior,https://dl.acm.org/authorize.cfm?key=N14384,CCS,2016,No,Existing,"Using a carefully pre-tested,  U.S.-census-representative  survey  of  526  users,  wepresent  an  overview  of  the  prevalence  of  respondents_验  aU.S.-census-representative survey of 526 users, cognitive interviews with five demographically-diverse participants",No,No,/,Industry,Users & Organizations Characteristics,User Opinions,,9
Hannah,FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,CCS,2016,No,Existing,Drebin dataset,Public,No,/,Industry,Attacker Related,Attacks,,3
Hannah,On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,No,Existing,The PBVault leak is likely from before June 2011 and has a substantial overlap with credentials that were obtained via keystroke logging and HTML form injection,Public,No,/,Industry,Attacker Related,Attacks,,5
Hannah,"The Shadow Nemesis: Inference Attacks on Efficiently Deployable, Efficiently Searchable Encryption",https://dl.acm.org/authorize.cfm?key=N14458,CCS,2016,No,Existing,"Enron email corpus includes real emails from the mailboxes of 150 employees of Enron Corporation, received between 2000 and 2002",No,No,/,Industry,Attacker Related,Attacks,,6
Hannah,"The Shadow Nemesis: Inference Attacks on Efficiently Deployable, Efficiently Searchable Encryption",https://dl.acm.org/authorize.cfm?key=N14458,CCS,2016,No,Existing,Ubuntu Chat Corpus is composed of archived chat logs from Ubuntu_验s Internet Relay Chat technical support channels. This corpus comes from the logs between July 2004 and October 2012,No,No,/,Industry,Attacker Related,Attacks,,6
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Existing,"exclusive blacklisted .com domains (i.e., not reported by other feeds) on URIBL",Public,No,/,Industry,Attacker Related,Attacks,,9
Hannah,An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,No,Existing,87 publicly available Java exploits (Metasploit (22 exploits),Public,No,"https://github.com/rapid7/metasploit-framework/tree/master/external/source/exploits",Industry,Attacker Related,Exploits,,2
Hannah,An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,No,Existing,Exploit-DB (2),Public,No,https://www.exploit-db.com,Industry,Attacker Related,Exploits,,2
Hannah,An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,No,Existing,"Packet Storm (5), ",Public,No,https://packetstormsecurity.com,Industry,Attacker Related,Exploits,,2
Hannah,An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,No,Existing," from the security research company Security Explorations (52), ",Public,No,http://www.security-explorations.com/en/SE-2012-01-poc.html,Industry,Attacker Related,Exploits,,2
Hannah,An In-Depth Study of More Than Ten Years of Java Exploitation,https://dl.acm.org/authorize.cfm?key=N14393,CCS,2016,No,Existing,an online repository for Java exploits) and associated CVE identifiers,Public,No,https://bitbucket.org/bhermann/java-exploit-library,Industry,Attacker Related,Exploits,,2
Hannah,FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,CCS,2016,No,Existing, list  of  malware  families,Public,No,https://forensics.spreitzenbarth.de/android-malware/,Industry,Attacker Related,Exploits,,3
Hannah,CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump,https://dl.acm.org/authorize.cfm?key=N14373,CCS,2016,No,Existing,73  memory  corruption  vulnerabilities archived in Offensive Security Exploit Database,Public,No,https://www.exploit-db.com/,Industry,Attacker Related,Vulnerabilities,,2
Hannah,Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,No,Existing,"Freely available vulnerability database for this effort and for the broader research community, 23 vulnerabilities in firmware images",Public/(sent to developers),No,/,Research,Attacker Related,Vulnerabilities,,6
Hannah,Making Smart Contracts Smarter,https://dl.acm.org/authorize.cfm?key=N14351,CCS,2016,No,Existing,"19,366 smart contracts from the blockchain as of May 5,  2016",Public,No,/,Industry,Attacker Related,Vulnerabilities,,38
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Existing,"exclusive blacklisted .com domains (i.e., not reported by other feeds) on Spamhaus",Public,No,/,Industry,Defender Artifacts,Alerts,,9
Hannah,Slitheen: Perfectly Imitated Decoy Routing through Traffic Replacement,https://dl.acm.org/authorize.cfm?key=N14475,CCS,2016,No,Existing,"visited the Alexa top 10,000 TLS sites that support our implemented ciphersuites",Public,No,http://www.alexa.com/topsites,Industry,Defender Artifacts,Configurations,,3
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing," SSL certificates from full IPv4 scans,      ",Public,No,https://scans.io/study/sonar.ssl,Industry,Defender Artifacts,Configurations,,5
Hannah,ECDSA Key Extraction from Mobile Devices via Nonintrusive Physical Side Channels,https://dl.acm.org/authorize.cfm?key=N14469,CCS,2016,No,Existing, leakage of 5000 OpenSSL ECDSA signatures executed on an iPhone 3GS,No,No,/,Research,Defender Artifacts,Configurations,,24
Hannah,Protecting Insecure Communications with Topology-aware Network Tunnels,https://dl.acm.org/authorize.cfm?key=N14331,CCS,2016,No,Existing,"we evaluated 10,000 popular web domains according to Alexa",Public,No,http://www.alexa.com/topsites,Industry,Macro-level Internet Characteristics,Applications,,0
Hannah,All Your DNS Records Point to Us,https://dl.acm.org/authorize.cfm?key=N14342,CCS,2016,No,Existing,"choose a snapshot of Alexa_验s top 1 million domain list for each year from 2010 to 2016, we use the DNS tool dig to retrieve the DNS records of every domain in D and S, first identify a list of popular third-party services. To this end, we cluster all CNAME and MX records based on their data fields and then manually check all email and top 200 non-email services in terms of the cluster size",Public,No,http://www.alexa.com/topsites,Industry,Macro-level Internet Characteristics,Applications,,0
Hannah,"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms",https://dl.acm.org/authorize.cfm?key=N14374,CCS,2016,No,Existing,200 popular open-source projects hosted on GitHub,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,1
Hannah,Practical Censorship Evasion Leveraging Content Delivery Networks,https://dl.acm.org/authorize.cfm?key=N14476,CCS,2016,No,Existing,"top 10,000 Alexa websites from 20 geographically-dispersed Planetlab nodes",Public,No,http://www.alexa.com/topsites,Industry,Macro-level Internet Characteristics,Applications,,1
Hannah,CSPAutoGen: Black-box Enforcement of Content Security Policy upon Real-world Websites,https://dl.acm.org/authorize.cfm?key=N14383,CCS,2016,No,Existing,"Alexa Top 50 websites, ",Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,2
Hannah,The Misuse of Android Unix Domain Sockets and Security Implications,https://dl.acm.org/authorize.cfm?key=N14247,CCS,2016,No,Existing,"APK files that corresponded to 14,644 apps on Google Play",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,3
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing, WHOIS data,Public,No,https://www.whoisxmlapi.com/    http://bulkwhoisapi.com/,Industry,Macro-level Internet Characteristics,Applications,,5
Hannah,Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,No,Existing,public dataset based upon two publicly-available firmware images ,Public,No,"ftp://ftp.dd-wrt.com/others/eko/BrainSlayer-V24-preSP2/2013/05-27-2013-r21676/senao-eoc5610/linux.bin , http://www.downloads.netgear.com/files/GDC/READYNAS-100/ReadyNASOS-6.1.6-arm.zip ",Industry,Macro-level Internet Characteristics,Applications,,6
Hannah,What Else is Revealed by Order-Revealing Encryption?,https://dl.acm.org/authorize.cfm?key=N14321,CCS,2016,No,Existing,real geographic datasets Cal,Public,No,http://www.cs.utah.edu/~lifeifei/SpatialDataset.htm,Industry,Macro-level Internet Characteristics,Applications,,9
Hannah,What Else is Revealed by Order-Revealing Encryption?,https://dl.acm.org/authorize.cfm?key=N14321,CCS,2016,No,Existing,real geographic dataset SpitzLoc,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,9
Hannah,What Else is Revealed by Order-Revealing Encryption?,https://dl.acm.org/authorize.cfm?key=N14321,CCS,2016,No,Existing,one real time-stamp dataset SpitzTime,Public,No,http://www.zeit.de/datenschutz/malte-spitz-data-retention,Industry,Macro-level Internet Characteristics,Applications,,9
