Name,URL,Conf.,Year,Used,Description,Produced,Description,Data
Obtaining in-context measurements of cellular network performance.,http://doi.acm.org/10.1145/2398776.2398807,imc,2012,,"Our network dataset consists of anonymized flow records and radio resource control events from approximately 20,000 devices connected to a large US- based cellular provider. ",,,
Cell vs. WiFi: on the performance of metro area mobile connections.,http://doi.acm.org/10.1145/2398776.2398808,imc,2012,,"The data we consider in our initial evaluation were collected from servers located in 15 metro areas over a period of 15 weeks from February 21, 2011 through June 5, 2011. ",,,
Network performance of smart mobile handhelds in a university campus WiFi network.,http://doi.acm.org/10.1145/2398776.2398809,imc,2012,,,,"We have collected two data sets. One data set is for three days, from 9am March 2 to 9am March 5, 2011. The other data set is for one day, from 9am April 23 to 9am April 24, 2012. ",
Tackling bufferbloat in 3G/4G networks.,http://doi.acm.org/10.1145/2398776.2398810,imc,2012,,,,a whole day with a one-minute interval between each run. That results in more than 300 samples for each experiment based on which we calculate the average and the confidence interval. ,
Breaking for commercials: characterizing mobile advertising.,http://doi.acm.org/10.1145/2398776.2398812,imc,2012,,"top 10 most popular free apps on Google Play|In this section we characterize ad traffic leveraging on a data set containing 1.7 billion traffic connections, which corresponds to 22TB of volume downloaded on 13th Aug. 2011 by more than 3 million subscribers of a major European mobile network.",,,
Screen-off traffic characterization and optimization in 3G/4G networks.,http://doi.acm.org/10.1145/2398776.2398813,imc,2012,,The UMICH data set [9] totals 118 GB and consists of five- month (05/12/2011 _ 10/12/2011) data (both cellular and WiFi) from 20 volunteers who used smartphones running Android 2.2. ,,,
Configuring DHCP leases in the smartphone era.,http://doi.acm.org/10.1145/2398776.2398814,imc,2012,,,,"We capture packet traces from two large wireless local area networks, one from a corporate office network and one from an educational campus network. Table 1 summarizes the two traces, including their static lease policies. ",
"Video telephony for end-consumers: measurement study of Google+, iChat, and Skype.",http://doi.acm.org/10.1145/2398776.2398816,imc,2012,,,,"In our Wireshark trace analysis, we capture those TCP and UDP sessions, whose durations are long enough (at least half of the conference ses- sion time) and data rates are significant ",
Range tomography: combining the practicality of boolean tomography with the resolution of analog tomography.,http://doi.acm.org/10.1145/2398776.2398817,imc,2012,,,,,
On traffic matrix completion in the internet.,http://doi.acm.org/10.1145/2398776.2398818,imc,2012,,"Our data consists of a snapshot of all active BGP paths in use by 376 ASes (monitors), taken at midnight UTC on August 6th, 2010. ",,,
DNS to the rescue: discerning content and services in a tangled web.,http://doi.acm.org/10.1145/2398776.2398819,imc,2012,,All our datasets are collected at the Points-of-Presence (PoP) of large ISPs where the end customers are connected to the Internet. ,,,
Taster's choice: a comparative analysis of spam feeds.,http://doi.acm.org/10.1145/2398776.2398821,imc,2012,,"In this work we compare ten distinct sources of spam data (which we call feeds), ranging in their level of detail from full e-mail content to only domain names of URLs in messages. ",,,
Crime scene investigation: SMS spam data analysis.,http://doi.acm.org/10.1145/2398776.2398822,imc,2012,,The analysis presented in this paper is based on traffic data provided by a tier-1 cellular operator in the United States.|The spammer data set is obtained as follows|The legitimate account data set ,,,
Longtime behavior of harvesting spam bots.,http://doi.acm.org/10.1145/2398776.2398823,imc,2012,,"web site operators provided us with complete access logs since January 2010. |In contrast to [24] and [25], our spam body consists of 620,000 spam e-mails and is larger by magnitudes.|We query the IP based spam blacklist provided by Project Honeypot for each page request to our monitored sites at the time of the visit. Blacklist data has been collected over a period of 13 months since July 2011 and aims to evaluate the efficiency of blacklisting for blocking harvester bots.",,,
Observing common spam in Twitter and email.,http://doi.acm.org/10.1145/2398776.2398824,imc,2012,,,,,
Beyond friendship: modeling user activity graphs on social network-based gifting applications.,http://doi.acm.org/10.1145/2398776.2398826,imc,2012,,,,,
Inside dropbox: understanding personal cloud storage services.,http://doi.acm.org/10.1145/2398776.2398827,imc,2012,,,,,
Reducing allocation errors in network testbeds.,http://doi.acm.org/10.1145/2398776.2398828,imc,2012,,,,,
Sharing the cost of backbone networks: cui bono?,http://doi.acm.org/10.1145/2398776.2398830,imc,2012,,,,,
"Content delivery and the natural evolution of DNS: remote dns trends, performance issues and alternative solutions.",http://doi.acm.org/10.1145/2398776.2398831,imc,2012,,,,,
"Measuring the deployment of IPv6: topology, routing and performance.",http://doi.acm.org/10.1145/2398776.2398832,imc,2012,,,,,
Measuring the impact of the copyright amendment act on New Zealand residential DSL users.,http://doi.acm.org/10.1145/2398776.2398833,imc,2012,,,,,
