Name,URL,Conf.,Year,Used,Description,Produced,Description
Anon-Pass: Practical Anonymous Subscriptions.,http://dx.doi.org/10.1109/SP.2013.29,sp,2013,\,\,\,\
ASM: A Programmable Interface for Extending Android Security.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/heuser,uss,2014,\,\,\,\
Automatic Generation of Data-Oriented Exploits,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-hu.pdf,uss,2015,No,\,Yes,FLOWSTITCH generates 19 data-oriented attacks from eight vulnerable pro- grams.
Automatically Detecting Vulnerable Websites Before They Turn Malicious.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,uss,2014,\,\,\,\
BareCloud: Bare-metal Analysis-based Evasive Malware Detection.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kirat,uss,2014,\,\,\,\
Blanket Execution: Dynamic Similarity Testing for Program Binaries and Components.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/egele,uss,2014,\,\,\,\
Brahmastra: Driving Apps to Test the Security of Third-Party Components.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bhoraskar,uss,2014,\,\,\,\
Burst ORAM: Minimizing ORAM Response Times for Bursty Access Patterns.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/dautrich,uss,2014,\,\,\,\
BYTEWEIGHT: Learning to Recognize Functions in Binary Code.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bao,uss,2014,\,\,\,\
Cardinal Pill Testing of System Virtual Machines.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/shi,uss,2014,\,\,\,\
Caveat Coercitor: Coercion-Evidence in Electronic Voting.,http://dx.doi.org/10.1109/SP.2013.32,sp,2013,\,\,\,\
Circuit Structures for Improving Efficiency of Security and Privacy Tools.,http://dx.doi.org/10.1109/SP.2013.40,sp,2013,\,\,\,\
Cookieless Monster: Exploring the Ecosystem of Web-Based Device Fingerprinting.,http://dx.doi.org/10.1109/SP.2013.43,sp,2013,\,\,\,\
De-anonymizing Programmers via Code Stylometry,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-caliskan-islam.pdf,uss,2015,No,\,Yes,"We collected C++ source of thousands of contestants from the annual international competition äóìGoogle Code Jamäóù.We collected a larger dataset of 1,600 programmers from various years. Each of the programmers had 9 source code samples."
"Declarative, Temporal, and Practical Programming with Capabilities.",http://dx.doi.org/10.1109/SP.2013.11,sp,2013,\,\,\,\
"Design, Implementation and Verification of an eXtensible and Modular Hypervisor Framework.",http://dx.doi.org/10.1109/SP.2013.36,sp,2013,\,\,\,\
Detecting Malicious Activity with DNS Backscatter,http://conferences.sigcomm.org/imc/2015/papers/p197.pdf,IMC on Internet Measurements,2015,Yes,".jp country code domain for Japan from all seven of their anycast sites, root  datasets  from the short-term, complete (unsampled) observations taken as part of the 2014 DITL collection [16 ] (for B-Root,  shortly after 2014 DITL), data for M-Rootäó»s 2015 DITL collection, 9  months  of  data taken  at  the  M-Root  server sampled with only 1 out of every 10 queries in deterministic manner, 5-month  unsampled  dataset  (B-long)  taken  from  B-Root",No,\
Detection of Low-Rate Attacks in Computer Networks,http://www.isi.edu/~johnh/PAPERS/Thatte08a.pdf,IEEE Global Internet Symposium 2008,2008,Yes,Real Internet traces,No,\
DSCRETE: Automatic Rendering of Forensic Information from Memory Images via Application Logic Reuse.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/saltaformaggio,uss,2014,\,\,\,\
Dynamic Hooks: Hiding Control Flow Changes within Non-Control Data.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/vogl,uss,2014,\,\,\,\
EASEAndroid: Automatic Policy Analysis and Refinement for Security Enhanced Android via Large-Scale Semi-Supervised Learning,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/wang-ruowen,uss,2015,No,\,Yes,Audit logs were collected anonymously from users who consented to provide diagnos- tic and usage data to help Samsung improve the quality and the performance of its products and services
Effective Attacks and Provable Defenses for Website Fingerprinting.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tao,uss,2014,\,\,\,\
Efficient Garbling from a Fixed-Key Blockcipher.,http://dx.doi.org/10.1109/SP.2013.39,sp,2013,\,\,\,\
Enforcing Forward-Edge Control-Flow Integrity in GCC &amp; LLVM.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/tice,uss,2014,\,\,\,\
Evidence of spatial embedding in the IPv4 router-level Internet network,https://arxiv.org/pdf/1410.3340v1.pdf,,2014,Yes,"Internet Topology Data Kit, geolocation acquired from the  MaxMind  Geolite  database  for  a  subset  of  the  routers  to  varying  levels  of  precision  ",No,\
Evilcohort: detecting communities of malicious accounts on online services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-stringhini.pdf,uss,2015,No,\,Yes,observe the email-sending activities on a large webmail service.
Exit from Hell? Reducing the Impact of Amplification DDoS Attacks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kuhrer,uss,2014,\,\,\,\
Faster Private Set Intersection Based on OT Extension.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/pinkas,uss,2014,\,\,\,\
Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures.,http://dx.doi.org/10.1109/SP.2013.18,sp,2013,\,\,\,\
"FLUSH+RELOAD: A High Resolution, Low Noise, L3 Cache Side-Channel Attack.",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/yarom,uss,2014,\,\,\,\
Follow the Money,http://conferences.sigcomm.org/imc/2013/papers/imc184s-gillAemb.pdf,IMC,2013,Yes,"HTTP, mHTTp, and Univ traffic",No,\
Friendship and mobility: User movement in location-based social networks.,http://cs.stanford.edu/people/jure/pubs/mobile-kdd11.pdf,KDD,2011,No,\,Yes,"Gowalla data contains 6, 442, 890 check-in locations of 196,586 users over the period of Feb. 2009 to Oct. 2010."
From the Aether to the Ethernet - Attacking the Internet using Broadcast Digital Television.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/oren,uss,2014,\,\,\,\
"Geolife: A collaborative social networking service among user, location and trajectory.",http://sites.computer.org/debull/A10june/geolife.pdf,Bulletin of the IEEE Computer Society Technical Committee on Data Engineering,2010,No,\,Yes,"Geolife data was collected from 182 users in a period of over three years. It recorded a wide range of usersäó» outdoor movements, represented by a series of tuples containing latitude, longitude and timestamp."
Ghost Talk: Mitigating EMI Signal Injection Attacks against Analog Sensors.,http://dx.doi.org/10.1109/SP.2013.20,sp,2013,\,\,\,\
Gyrophone: Recognizing Speech from Gyroscope Signals.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/michalevsky,uss,2014,\,\,\,\
Hiding Information in Flash Memory.,http://dx.doi.org/10.1109/SP.2013.26,sp,2013,\,\,\,\
How and How Much Traceroute Confuses Our Understanding of Network Paths,http://wpage.unina.it/pescape/doc/routerpaths_lanman2016.pdf,,2016,Yes,"List  of  102,404 reachable  destinations  in  different 16  prefixes  we  obtained from the PREDICT project. Our dataset contains more than 900 thousand IP-level (multi)routes and 324,313 IP addresses",No,\
Hulk: Eliciting Malicious Behavior in Browser Extensions.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kapravelos,uss,2014,\,\,\,\
Implementing TLS with Verified Cryptographic Security.,http://dx.doi.org/10.1109/SP.2013.37,sp,2013,\,\,\,\
Investigating the Computer Security Practices and Needs of Journalists,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/mcgregor,uss,2015,No,\,Yes,interview with 15 journalists
iSeeYou: Disabling the MacBook Webcam Indicator LED.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/brocker,uss,2014,\,\,\,\
JIGSAW: Protecting Resource Access by Inferring Programmer Expectations.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/vijaykumar,uss,2014,\,\,\,\
Just-In-Time Code Reuse: On the Effectiveness of Fine-Grained Address Space Layout Randomization.,http://dx.doi.org/10.1109/SP.2013.45,sp,2013,\,\,\,\
"LibFTE: A Toolkit for Constructing Practical, Format-Abiding Encryption Schemes.",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/luchaup,uss,2014,\,\,\,\
"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,,2014,Yes,"Seven passive and active measurement datasets collected from July 2013 through Oct 2013, ISI census, BGP  announcements  captured  by  all collectors (24 collectors peering with 184 peers) of the Routeviews and RIPE RIS projects, dataset compiled by Geoff Huston,  which  merges  the  extended  delegation  files from the 5 RIRs with IANAäó»s published registries, unsampled NetFlow records from all the border routers of SWITCH, per-flow  logs  from  a  vantage point monitoring traffic of about 25,000 residential ADSL customers of a major European ISP, full packet traces from the/8 network telescope operated at the University of California San Diego, arge European IXP interconnecting more than 490 networks,  exchanging more than 400 PB monthly, ISI Internet Census dataset it55w20130723, IP addresses from logs of Project Sonaräó»s HTTP (TCP port 80) scan of the entire IPv4 address space on October 29, 2013, etc",No,\
Lucky Thirteen: Breaking the TLS and DTLS Record Protocols.,http://dx.doi.org/10.1109/SP.2013.42,sp,2013,\,\,\,\
Man vs. Machine: Practical Adversarial Detection of Malicious Crowdsourcing Workers.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang,uss,2014,\,\,\,\
Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,"RIR Address Allocations Jan 2004 äóñ Jan 2014ä__18K allocation snapshots (5 daily), Routing: Route Views Jan 2004 äóñ Jan 2014 45,271 BGP table snapshots, Routing: RIPE Jan 2004 äóñ Jan 2014, Google IPv6 Client Adoption Sep 2008 äóñ Dec 2013 millions of daily global samples, Verisign TLD Zone Files Apr 2007 äóñ Jan 2014 daily snapshots ofä__2.5 million A+AAAA glue records (.com & .net), CAIDA Ark Performance Data Dec 2008 äóñ Dec 2013ä__10 million IPs probed daily, Arbor Networks ISP Traffic Data Mar 2010 äóñ Dec 2013ä__33-50% of global Internet traffic; 2013 daily median: 50 terabits/sec (avg.),Verisign TLD Packets: IPv4 Jun 2011 äóñ Dec 2013 4 global sites, 5 of 13 gTLD NS letters (.com/.net),ä__4.5Bn queries, Verisign TLD Packets: IPv6Jun 2011 äóñ Dec 2013 15 global sites, both gTLD NS letters (.com/.net) w/IPv6, 647M queries, Alexa Top Host Probing Apr 2011 äóñ Dec 2013 10,000 servers probed twice/month",No,\
Measuring Real-World Accuracies and Biases in Modeling Password Guessability,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/ur,uss,2015,No,\,Yes,"examine 13,345 passwords from four sets created under composition policie. analyze four automated guessing algorithms and one manual cracking approach"
Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,,2016,Yes,"PPI, Yeast, Homo, DutchElite, EVA, Erdos, DBLB-coauth, EPA, California, Routeview, AS_Caida, Dimes 3/2010, Aqualab, Itdk, Amazon",No,\
Mimesis Aegis: A Mimicry Privacy Shield-A System's Approach to Data Privacy on Public Cloud.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/lau,uss,2014,\,\,\,\
Never Been KIST: Tor's Congestion Management Blossoms with Kernel-Informed Socket Transport.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/jansen,uss,2014,\,\,\,\
ObliviStore: High Performance Oblivious Cloud Storage.,http://dx.doi.org/10.1109/SP.2013.25,sp,2013,\,\,\,\
On Limitations of Friendly Jamming for Confidentiality.,http://dx.doi.org/10.1109/SP.2013.21,sp,2013,\,\,\,\
On Measuring the Geographic Diversity of Internet Routes,https://arxiv.org/pdf/1601.01116v1.pdf,,2016,Yes,Traceroute dataset from IPlane,No,\
On the Effective Prevention of TLS Man-in-the-Middle Attacks in Web Applications.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/karapanos,uss,2014,\,\,\,\
On the Feasibility of Large-Scale Infections of iOS Devices.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tielei,uss,2014,\,\,\,\
On the Practical Exploitability of Dual EC in TLS Implementations.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/checkoway,uss,2014,\,\,\,\
One size does not fit all: 10 years of applying context-aware security,http://nsrg.eecs.umich.edu/publications/hst09_final.pdf,Technologies for Homeland Security 2009,2009,No,\,No,\
Optimizing Seed Selection for Fuzzing.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/rebert,uss,2014,\,\,\,\
Oxymoron: Making Fine-Grained Memory Randomization Practical by Allowing Code Sharing.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/backes,uss,2014,\,\,\,\
Password Managers: Attacks and Defenses.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/silver,uss,2014,\,\,\,\
Password Portfolios and the Finite-Effort User: Sustainably Managing Large Numbers of Accounts.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/florencio,uss,2014,\,\,\,\
Peeking into Your App without Actually Seeing It: UI State Inference and Novel Android Attacks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/chen,uss,2014,\,\,\,\
Pinocchio: Nearly Practical Verifiable Computation.,http://dx.doi.org/10.1109/SP.2013.47,sp,2013,\,\,\,\
Practical Control Flow Integrity and Randomization for Binary Executables.,http://dx.doi.org/10.1109/SP.2013.44,sp,2013,\,\,\,\
Practical Darknet Measurement,http://mdbailey.ece.illinois.edu/publications/ciss06_final.pdf,CISS,2006,No,\,No,\
Practical Timing Side Channel Attacks against Kernel Space ASLR.,http://dx.doi.org/10.1109/SP.2013.23,sp,2013,\,\,\,\
Precise Client-side Protection against DOM-based Cross-Site Scripting.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/stock,uss,2014,\,\,\,\
Predicting Usersäó» Motivations behind Location Check-Ins and Utility Implications of Privacy Protection Mechanisms,http://www.shokri.org/files/Shokri-NDSS2015.pdf,ndss,2015,No,\,Yes,"to grant us access to their Foursquare data, we rewarded them with a fixed amount of money (US $4.5 per HIT [2], [22]). "
Preventing Cryptographic Key Leakage in Cloud Virtual Machines.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/pattuk,uss,2014,\,\,\,\
Privacy in Pharmacogenetics: An End-to-End Case Study of Personalized Warfarin Dosing.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/fredrikson_matthew,uss,2014,\,\,\,\
Privacy-Preserving Ridge Regression on Hundreds of Millions of Records.,http://dx.doi.org/10.1109/SP.2013.30,sp,2013,\,\,\,\
Privee: An Architecture for Automatically Analyzing Web Privacy Policies.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/zimmeck,uss,2014,\,\,\,\
PrivExec: Private Execution as an Operating System Service.,http://dx.doi.org/10.1109/SP.2013.24,sp,2013,\,\,\,\
Protocol State Fuzzing of TLS Implementations,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-de-ruiter.pdf,uss,2015,No,\,Yes,analysed the nine different implementations listed in table #1. compare different modified equivalence algorithm.
PUFs in Security Protocols: Attack Models and Security Evaluations.,http://dx.doi.org/10.1109/SP.2013.27,sp,2013,\,\,\,\
Remote Detection of Bottleneck Links Using Spectral and Statistical Methods,https://www.isi.edu/~johnh/PAPERS/He09a.pdf,Computer Networks V 53 (N. 3),2009,Yes,"Iperf to generate TCP and UDP packet streams, which mimic TCP file downloads or UDP CBR traffic",No,\
ret2dir: Rethinking Kernel Isolation.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kemerlis,uss,2014,\,\,\,\
Revealing Middlebox Interference with Tracebox,http://conferences.sigcomm.org/imc/2013/papers/imc032s-detalA.pdf,IMC,2013,Yes,"top 5,000 Alexa web sites, deployed tracebox on PlanetLab, using 72 machines as vantage points (VPs). Each VP had a target list of 5,000 items build with the top 5,000 Alexa web sites",No,\
Revisiting SSL/TLS Implementations: New Bleichenbacher Side Channels and Attacks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/meyer,uss,2014,\,\,\,\
ROP is Still Dangerous: Breaking Modern Defenses.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/carlini,uss,2014,\,\,\,\
Scheduler-based Defenses against Cross-VM Side-channels.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/varadarajan,uss,2014,\,\,\,\
"SDDR: Light-Weight, Secure Mobile Encounters.",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/lentz,uss,2014,\,\,\,\
Search + Seizure: The Effectiveness of Interventions on SEO Campaigns,http://conferences2.sigcomm.org/imc/2014/papers/p359.pdf,IMC (Internet Measurement Conference),2014,No,\,Yes,"provide the first large-scale empirical characterization of SEO abuse for luxury brands. fetch visitor data for each store by visiting the publicly ac- cessible default AWStats URL, In the PSR data set, we found 68,193 äóìhackedäóù search results."
Securing Self-Virtualizing Ethernet Devices,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/smolyar,uss,2015,No,\,Yes,performance evaluation according to the methodology in RFC 2544
Security Analysis of a Full-Body Scanner.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/mowery,uss,2014,\,\,\,\
seL4: From General Purpose to a Proof of Information Flow Enforcement.,http://dx.doi.org/10.1109/SP.2013.35,sp,2013,\,\,\,\
Shades of Grey: On the effectiveness of reputation-based äóìblacklistsäóù,http://nsrg.eecs.umich.edu/publications/malware08_final.pdf,MALWARE 2008,2008,Yes,"Spam received by a large academic network consisting of 7,000 unique hosts, with millions of email messages, over a period 10 days in June of 2008",No,\
Size Does Matter: Why Using Gadget-Chain Length to Prevent Code-Reuse Attacks is Hard.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/goktas,uss,2014,\,\,\,\
SoK: Eternal War in Memory.,http://dx.doi.org/10.1109/SP.2013.13,sp,2013,\,\,\,\
SoK: P2PWNED - Modeling and Evaluating the Resilience of Peer-to-Peer Botnets.,http://dx.doi.org/10.1109/SP.2013.17,sp,2013,\,\,\,\
SoK: Secure Data Deletion.,http://dx.doi.org/10.1109/SP.2013.28,sp,2013,\,\,\,\
SoK: SSL and HTTPS: Revisiting Past Challenges and Evaluating Certificate Trust Model Enhancements.,http://dx.doi.org/10.1109/SP.2013.41,sp,2013,\,\,\,\
SoK: The Evolution of Sybil Defense via Social Networks.,http://dx.doi.org/10.1109/SP.2013.33,sp,2013,\,\,\,\
SpanDex: Secure Password Tracking for Android.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/cox,uss,2014,\,\,\,\
Spectral Fractal Dimension Trajectory to Measure Cognitive Complexity of Malicious DNS Traffic,http://worldcomp-proceedings.com/proc/p2016/SAM3798.pdf,SAM,2016,Yes,"Data set from PREDICT USA which contains  traces of a DNS distributed denial of service attack (DDOS), Data set from CAIDA USA which contains internet traces from optical fiber internet connectivity from 2002 and 2003",Yes,Data set from our experiment in which a PCAP file is captured from a lab computer which is being used for browsing and software development for the cyber security project
Speedtrap: Internet-Scale IPv6 Alias Resolution,http://conferences.sigcomm.org/imc/2013/papers/imc40s-luckieAemb.pdf,IMC,2013,Yes,"CAIDAäó»s Archipelago (Ark) infrastructure for March 2013, validation of the aliases using RANCID, STP-1, STP-2 and AP",Yes,"probe at a low rate of 20pps from a single VP, producing 26Kbps of traffic, evaluation of interfaces using their product to identify aliases"
SSOScan: Automated Testing of Web Applications for Single Sign-On Vulnerabilities.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/zhou,uss,2014,\,\,\,\
Static Detection of Second-Order Vulnerabilities in Web Applications.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/dahse,uss,2014,\,\,\,\
Stitching the Gadgets: On the Ineffectiveness of Coarse-Grained Control-Flow Integrity Protection.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/davi,uss,2014,\,\,\,\
Succinct Non-Interactive Zero Knowledge for a von Neumann Architecture.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/ben-sasson,uss,2014,\,\,\,\
TapDance: End-to-Middle Anticensorship without Flow Blocking.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wustrow,uss,2014,\,\,\,\
Targeted Threat Index: Characterizing and Quantifying Politically-Motivated Targeted Malware.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/hardy,uss,2014,\,\,\,\
Telepathwords: Preventing Weak Passwords by Reading Users' Minds.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/komanduri,uss,2014,\,\,\,\
The Crossfire Attack.,http://dx.doi.org/10.1109/SP.2013.19,sp,2013,\,\,\,\
The Emperor's New Password Manager: Security Analysis of Web-based Password Managers.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/li_zhiwei,uss,2014,\,\,\,\
The Internet Motion Sensor: A Distributed Blackhole Monitoring System,http://web.eecs.umich.edu/~farnam/pubs/2005-bc-ndss.pdf,ndss,2005,Yes,"One-week period of measurement, the IMS system observed over 286,000 unique IP addresses displaying the characteristics  of  Blaster  activity (Basically lots of their scans of their sensors from different date ranges werer used)",No,\
"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,uss,2014,\,\,\,\
The MALICIA Dataset: Identification and Analysis of Drive-by Download Operations.,https://lirias.kuleuven.be/bitstream/123456789/464045/1/malicia_dataset.pdf,International Journal of Information Security,2015,No,\,Yes,"collect over time how exploit servers areconfigured, which exploits they use, and what malware they distribute, grouping servers with similar configurations intooperations."
The Parrot Is Dead: Observing Unobservable Network Communications.,http://dx.doi.org/10.1109/SP.2013.14,sp,2013,\,\,\,\
To Pin or Not to PinäóîHelping App Developers Bullet Proof Their TLS Connections,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-oltrogge.pdf,uss,2015,No,\,Yes,#1. evaluate 639283 android apps for an overview od the applicability of pinning in the android universe. #2. evaluate update behaviour of 871911 unique users. #3. collect feed back from 45 developers #4. 20020535 calls to network related API calls.which the author recommended pinning.
Towards Characterizing International Routing Detours,https://arxiv.org/pdf/1606.05047.pdf,,2016,Yes,"MaxMind GeoLite City (free and paid), RIPE Atlas, CAIDA AS Relationship, XP websites, PeeringDB, PCH, CAIDA ITDK, iPlane, CAIDA Ark, iPlane,OpenIPMap, RIPE Atlas Measurements, RouteViews, RIPE, RIS",No,\
Towards Detecting Anomalous User Behavior in Online Social Networks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,uss,2014,\,\,\,\
Towards Practical Reactive Security Audit Using Extended Static Checkers.,http://dx.doi.org/10.1109/SP.2013.12,sp,2013,\,\,\,\
Towards Reliable Storage of 56-bit Secrets in Human Memory.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bonneau,uss,2014,\,\,\,\
"Trawling for Tor Hidden Services: Detection, Measurement, Deanonymization.",http://dx.doi.org/10.1109/SP.2013.15,sp,2013,\,\,\,\
TRUESET: Faster Verifiable Set Computations.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kosba,uss,2014,\,\,\,\
Trustworthy Whole-System Provenance for the Linux Kernel,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/bates,uss,2015,No,\,Yes,valuate the performance of LPM. Our bench- marks were run on a bare metal server machine with 12 GB memory and 2 Intel Xeon quad core CPUs.
Understanding Address Usage in the Visible Internet,http://www.isi.edu/~johnh/PAPERS/Cai09b.pdf,USC/ISI Technical Report,2009,Yes,"Internet ICMP surveys, 4.4M IP addresses probed the ping survey Nearly half of these (2.2M) have hostnames in the ISC reverse DNS survey",,
Understanding IPv6 Internet Background Radiation,http://conferences.sigcomm.org/imc/2013/papers/imc027-czyzA.pdf,IMC,2013,Yes,"BGP announcements across /12 IPv6 block from 5 RIRs (from /13 and /14 from RIPE NCC), Alexa top 1M domains, network probes of prefixes for four serves to find different types of packets, single week of IPv4 background radiation capture",No,\
Understanding the Dark Side of Domain Parking.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,uss,2014,\,\,\,\
Understanding the Domain Registration Behavior of Spammers,http://conferences.sigcomm.org/imc/2013/papers/imc247-haoA.pdf,IMC,2013,Yes,"DNZA file captures, WHOIS information, creation of a spam trap to collect spam, URIBL, SURBL, Spamhaus DBL (all three DNS blacklists)",No,\
Welcome to the Entropics: Boot-Time Entropy in Embedded Devices.,http://dx.doi.org/10.1109/SP.2013.46,sp,2013,\,\,\,\
