reason,type,keyWord,,
The data will be used to study malware activities targeting various locations over the world. ,,,,
The data will be used to create a more realistic attack source topology for a DDoS defense simulation study. Only the source IP or source prefix will be used.,,,,
The data will be used for purely research purposes. Our Research aims to detect attacks which have a network based vector and develop methods to mitigate the damage.,,,,
I am working with Michael Kallitsis on a data mining competition for U-M graduates.  The data are to be used in that effort.,,,,
We would like to use the DNS dataset for malware research.,,,,
"The purpose of this data is to act as a source of synthetic data to demonstrate an anomaly detector and data visualization capability in a research conference (CNW 2016) held at MIT Lincoln Laboratory. We intend to (a) run the pcaps in this data set through an IDS system to generate IDS alerts, and (b) process the pcaps to generate netflow records as well as DNS records. These output data will be used as input to a publicly releasable demonstration  of our anomaly detection and data visualization tool. The data sets we normally use, being real as opposed to synthetic, are not releasable. Note that the underlying pcaps which make up the data set will not be disclosed, only IDS alerts, netflows, and DNS records.",,,,
"We have a project that aims to estimate network distance between arbitrary Internet endpoints. For this purpose, we utilize Content Distribution Networks and ENDS0 client-subnet extension (ECS). Our measurement system requires no additional infrastructure to be deployed. The measured endpoints do not need to participate by sending or responding to probes. Our systemfurther generates no load on endpoints. It only queries DNS, whose infrastructure is designed for large loads. In order to validate our system's effectiveness, i.e., its ability to estimate network distance, we would significantly benefit from the requested data set. In particular, we have experienced anomalous behavior that we believe could be resolved by using the requested data set.",,,,
To validate certain statistical anomaly detection methods,,,,
"Our dependence of the internet has grown much faster than our understanding of its underlying strucure, global dynamics, operational threats, and overall health. Large-scale internet service disruptions due to malware and/or politically motivated activities occur with some regularity. We have developed a methodology that uses dark space data from the UCSD Network Telescope, that identifies networks affected by an outage, and determines what techniques are used to cause deliberate disruption. We obtain metrics to quantitatively gauge the geographic and topological extent of the impact of geophysical disasters on internet infrastructure, and techniques to investigate the chronological dynamics of the outage and restoration. The USC Lander datasets provide reference information on normally reachable hosts/networks for the study and targeted analysis of these large-scale internet outages. We have recently developed methodologies based on passive traffic analysis that allow additional insight into whether a given IP network prefix is actively used. We will combine our results with the USC Lander datasets to generate derived datasets that we plan to share through PREDICT. Researchers will be able to use these data sets for similar purposes as the existing USC Lander data sets, e.g., inference of address space utilization. This request is a follow-up to similar requests over the last years. We are only requesting the datasets not covered by these earlier requests.",,,,
"The purpose of the project is to correlate different logs from an enterprise network with the IDS alerts to improve the current state-of-the-art intrusion detection mechanism. But we have not found such logs from an enterprise network that are publicly available. So, the initial idea is to collect the existing datasets which meets a subset of our requirements and check whether those data can be correlated with some other datasets (i.e. botnets, malware DNS requests).",,,,
To validate certain statistical anomaly detection methods.,,,,
To validate certain statistical anomaly detection methods,,,,
To validate certain statistical anomaly detection methods.,,,,
To validate certain statistical anomaly detection methods,,,,
I want to use the data to help verify a new tool that attempts to identify inter-AS link interfaces.,,,,
The dataset is needed to validate certain anomaly detection methods.,,,,
A study of internet infrastructure for an urban focused architectural studio at Yale University.,,,,
"Conducting targeted traceroutes from cloud service providers. The connectivity of large cloud service providers, such as Amazon AWS, will be inferred from traceroutes to the hitlist IPs.",,,,
"Project Proposal: The mission of the UTSA Cyber Security Association is to provide training and professional events for students of the university who are interested in cyber security.In keeping with that mission, we will use the data from the NCCD Competitions to create training for our members on the identification of network attacks on large enterprise networks.The nature of the some of the questions we hope to answer are as follows:How do you select and isolate a signal/flow from the noise of routine network traffic, without direct visualization of the network traffic through Wireshark?How do you determine if a signal/flow is malicious without direct visualization of the network traffic through Wireshark? Does your cybersecurity solution/tool scale across massive amounts of data? ( greater than 1TB).Dataset Choice (Why this data set?):The best penetration testers/researchers in industry, and the best security minded college students are competing against each other.  This presents a rare opportunity to analyze ÃƒÂ¢Ã‚â‚¬Ã‚Å“security principles in practice.ÃƒÂ¢Ã‚â‚¬Ã‚ÂùSince there are multiple teams, each team presents discrete sets of data for analysis of security principles.  Thus we potentially get multiple data points.Since the data is captured from a cyber competition there is a guarantee of ""malicious"" traffic, and this guarantee presents with a data set against which our goals, questions, tools, and potential solutions can be tested.The data set has clear start and finish times, and is relatively short in duration (two days), but is saturated with different types of ""malicious traffic.""The data set is as close to a standard model as a researcher may find ""in the wild.""  That is, the strict rules governing red/blue team actions, and the same equipment/scenarios across multiple teams creates a fairly standardized model from which to conduct research.Final Goal:Create training slides (based on the above statements) for our student members.Thank you,Jose David Mireles",,,,
Review of prior year's competition,,,,
"We are developing a new method of increasing the efficiency of intrusion detection systems.  The request file should be a useful test set.",,,,
I am studying the robustness of the financial network system under a DHS S&T grant.  This research is looking for vulnerabilities in the nature of equity market trading.,,,,
"We are looking for data for our data analytics and visualization project especially targeted towards networks infrastructures and / or cybersecurity. The PCH and US Long-haul topology dataset particularly fits our infrastructure data needs while the GT Malware data can help us proceed with our cybersecurity research project. The project will utilize several graph theory techniques, scientific data analytics approaches and also include an interactive visualization web app development as part of the exploratory data analysis (EDA) process. It'll be a great help if we receive approval for the dataset. We shall also responsibly manage and restrict access in accordance to the usage policies in the terms of use.",,,,
Our research is to compare relationships between different cyber threat intelligence sources. Specifically we want to compare the content of this web site with what is available on HAILATAXII.,,,,
PhD Research,,,,
Graduate project research,,,,
To improve network visualization. ,,,,
Exploring the dataset to see if the information that was collected can be used as the input to some of the systems that we developed.,,,,
"We want to look into the dataset and see if the type of data and the information that were collected can be applied to the systems that our lab has developed. Hence we want to use this dataset as a mean to test our systems and produce interesting results out of them.We are currently exploring various dataset to see which one is more applicable to our needs.",,,,
"We are currently working on a research project at CCAA center and we would like to investigate these datasets in order to see whether we can use them. CCAA has been established under the National Science Foundation (NSF) Industry/University Cooperative Research Program (I/UCRC) in September 2013. The center is a public, private, and academic consortium established and led by the University of North Carolina at Charlotte in partnership with George Mason University and a broad membership of industry and government organizations.",,,,
"Hi. I would like to use the long haul fiber lines that you show on your map. I do not need any data or information about the lines, I just want to show where they are in the US like you do in your original map. I am planning on incorporating these lines into a map I am making, and the long haul fiber lines will just be background information. These lines are going into a map about railways in the U.S. If you would like to see the map I would add it too, let me know and I can send it your way. ",,,,
"Our dependence of the internet has grown much faster than our understanding of its underlying strucure, global dynamics, operational threats, and overall health. Large-scale internet service disruptions due to malware and/or politically motivated activities occur with some regularity.We have developed a methodology that uses dark space data from the UCSD Network Telescope, that identifies networks affected by an outage, and determines what techniques are used to cause deliberate disruption. We obtain metrics to quantitatively gauge the geographic and topological extent of the impact of geophysical disasters on internet infrastructure, and techniques to investigate the chronological dynamics of the outage and restoration.The USC Lander datasets provide reference information on normally reachable hosts/networks for the study and targeted analysis of these large-scale internet outages.We have recently developed methodologies based on passive traffic analysis that allow additional insight into whether a given IP network prefix is actively used.  We will combine our results  with the USC Lander datasets to generate derived datasets that  we plan to share through PREDICT.  Researchers will be able to use these data sets for similar purposes as the existing USC Lander data sets, e.g., inference of address space utilization.This request is a follow-up to similar requests over the last years. We are only requesting the datasets not covered by these earlier requests.",,,,
"We want to examine how different kinds of data like vulnerability scan data, firewall logs, operating system logs, web server logs etc. can be utilized to correlate IDS alerts to real attacks in a risk-aware way. As a result we need real world data that can meet at least some of our requirements.  ",,,,
The data will be used for a revision of the Reverse Traceroute system. It will be used to test support for the types of probes that are used as well as to improve the measurement techniques utilized by the system.,,,,
Malware distribution research,,,,
Analysis of long-haul backbone in Northwest Florida: Understanding fiber-optics infrastructure for economic opportunity,,,,
"In order to protect the members of our university, we want to look at the relationship between risky behavior in the phyiscal world and vulnerability to phishing attack. In other words, we want to see if things like smoking, excessive drinking, or promiscuity can predict when someone is more likely to trust a ""phishy""-looking email. We can't say for certain what we will do with the data in the logs until we see the fields available, but we are planning on looking at general demographics first.",,,,
Researching various long-haul communications links involving MIT facilities.,,,,
research of fiber routing paths for CT research network diversity,,,,
The data will be used to develop and test anomaly detection algorithms as part of a Capstone project for the MSPA graduation program at Northwestern University.,,,,
Research in attacker modeling,,,,
We are going to use this dataset for our NSF funded project. The aim of our project is to minimize the redundant probing on internet measurement techniques.,,,,
"As a participant in the Computational Cybersecurity in Compromised Environments (C3E) workshop, I plan to use this dataset to research solutions to the C3E challenge problem",,,,
We are going to use this data to perform our experiments on our NSF funded Internet Measurement project. We aim to create a new way of probing system that reduces the probing overhead.,,,,
"The motivation of our project is to develop a comprehensive system that will capture the Internet topology at fine granularity and periodically provide snapshots of the Internet backbone. The mapping system will then be utilized to investigate topological characteristics of the Internet and provide an underlay for applications to optimize their communications.This data sets will be merged with the others we are collecting from CAIDA,ROUTEVIEWS and CIDR in order to have the current collection of datasets together that we can run our tests on them. ",,,,
I am researching on novel ways to analyze a large quantity of system generated logs and messages to extract relevant security information and categorize security events. The data will be used to measure the performance of the feature extraction and event classification algorithms that I am developing. ,,,,
"Apply big data Techniques to Malware analysisClassify viruses using Dynamic behavior data and static features",,,,
Conducting network research and data analysis to identify new methods for communicating in an emerging technical environment. Developing and testing algorithms which may be applied to additional data sets.,,,,
We would like to investigate the possibility of using this dataset in one of our projects at Center for Configuration Analytics and Automation (CCAA). CCAA is a multi-university and multi-industry consortium established and led by the University of North Carolina at Charlotte in partnership with George Mason University and a broad membership of industry and government organizations,,,,
Use for malware analysis research project in Georgia Tech.,,,,
"The intended purpose for this request is to incorporate the DNS data feed into a Security Onion deployment. The Security Onion machine includes NSM tools, such as Bro IDS, which will allow for alerting and reporting of suspicious, or anomalous activity. The goal is to gauge the effectives of incorporating an external entities DNS feed (Georgia Tech).",,,,
The Astrolavos lab aims to provide generalizable solutions to security problems with high operational impact. We need malware related datasets to form ground truth of many projects.,,,,
Threat intelligence platform development,,,,
Just some comparison with other feed data.,,,,
"I work in the information security operations center, and would like the data for IOCs that will help find malicious traffic.",,,,
Member of SIGCOMM program committee and would like to review electronic component of published paper,,,,
The data will be used for a revision of the Reverse Traceroute system. It will be used to test support for the types of probes that are used as well as to improve the measurement techniques utilized by the system. ,,,,
For participation in the 2015 C3E challenge.  http://cps-vo.org/group/c3e/ccp,,,,
For the 2015 C3E challenge.  http://cps-vo.org/group/c3e/ccp,,,,
We intend to use this dataset as part of our ongoing border blocking project. Our goal for the use of the data would be to further reduce malicious incoming traffic destined for Duke.,,,,
"Correlate passive DNS pcap information with domains used by malicious or suspect executables.Correlate passive DNS data with other threat intel collected at GWU.Our goals are to improve detection and classification of existing data seen on our SIEM.We also just want to take a look at the data feed and its format to determine how it may best server the network security team at GWU.",,,,
"Operational security at Emory University, such alerting on activity for included hosts, or blocking requests to included hosts",,,,
to determine the effectiveness of algorithms on infiltration and ex-filtration of an attack on a system. ,,,,
This data will be used for research on network intrustion detection,,,,
The research this data is used for Network Intrusion Detection.,,,,
Conducting targeted traceroutes from cloud service providers,,,,
"This project focuses on NetFlow data. We attempt to transform theincoming stream of low-level data to a high-level understanding of thenetworkÃƒÂ¢Ã‚â‚¬Ã‚â„¢s operational status and reach actionable recommendations. EachNetFlow record includes some basic information about the sampled flow,including its source and destination address, duration, size, etc. Anindividual NetFlow record cannot give us much information about whathappens in the network. Therefore, instead of trying to understand whathappens at the level of individual flows, we focus our analysis on thelevel of aggregated flows. Aggregation will not be ÃƒÂ¢Ã‚â‚¬Ã‚Å“hardwiredÃƒÂ¢Ã‚â‚¬Ã‚Âù, e.g.,based on fixed prefix resolution. Instead, we will propose a clusteringalgorithm for flow aggregation that selects automatically the set offeatures that produce the most homogeneous clusters of NetFlow records.We will utilize spatio-temporal information of the NetFlow dataset torefine clusters to a meaningful homogeneous level. For example, a goodcluster of NetFlow records may end up being all NetFlix traffic thatoriginates from a certain Limelight caching site in Atlanta to allComcast customers in Macon GA during a 6-hour time period.After the clustering step is performed, the next task will be toidentify significant correlations between clusters.Temporal correlationsof these clusters are leveraged to form a graphical model between them.The graphical model with nodes being clusters of flows and edges beingtemporal correlations between them offers parsimonious model of networkdynamics. We will use this model to monitor the network for behavioralshifts and anomalies, which can be proxies for security attacks, networkproblems, structural changes or real changes in the behavior of thenetwork subscribers.",,,,
determine the effectiveness of determine infiltration and ex-filtration of malicious attitudes. ,,,,
"Our project involves studying various characteristics of real Internet traffic.  Our study (which has been approved by IRB,  CWRU IRB Protocol Number:  IRB-2012-171)   involves operating a traffic monitor on the border between our own campus and the Internet and analyzing collected traffic at this vantage point.  Our goal is to study TCP algorithm details,  including questions such as ACKs that cover multiple segments, and  frequency of TCP timestamp use.   We would like to augment our analysis with another vantage point.   Specifically, we are requesting 1 day of data containing just IP and TCP headers (including TCP options).   ",,,,
The motivation of the project is to develop a comprehensive system that will capture the Internet topology at fine granularity and periodically provide snapshots of the Internet backbone. The mapping system will then be utilized to investigate topological characteristics of the Internet and provide an underlay for applications to optimize their communications.,,,,
View and analyze traffic to work test effectiveness of snort rules,,,,
Data analysis for IDS/IPS tuning exercise,,,,
I am a graduate student at Texas A&M University researching deterrence in cybersecurity policy.  I am trying to conduct quantitative analysis on unclassified cyber data to see if major cyber events have caused a change in activity.  I will be using the data to conduct statistical analysis and then possibly be used in a research paper.  I do not intend to publish this paper or otherwise disclose it beyond the professor of the course.,,,,
"Continued work to identify and confirm high latency hosts, investigate subnet structure, develop failure detection methods based on observations of real ping responses.",,,,
The motivation of the project is to develop a comprehensive system that will capture the Internet topology at fine granularity and periodically provide snapshots of the Internet backbone. ,,,,
"Goals:1. Find top hacking methodology2. Find tools used3. Find ports usedObjective: Research past event data to prep team for national competition. This will not necessarily be used right now for publication but will be used to enhance classroom experience as well as prep experience for the CCDC groups.",,,,
Research attack vectors and successful exploitation attempts in order to build stronger defenses.,,,,
Conduct analysis of traffic used in a national cyber defense competition to use as a basis for other cyber defense competitions.,,,,
"Our dependence on the Internet has grown much faster than our understanding of its underlying structure, global dynamics, operational threats, and overall health. We have developed metrics to quantitatively gauge the geographic and topological extent of the impact of geophysical disasters on internet infrastructure, and techniques as they manifest themselves on the UCSD Network Telescope. This dataset will provide required reference information on known Internet outages.",,,,
"We intend to analyze the polygonal foot print of address blocksover the world in order to get a clear picture of IP block levelvisualization. We also intend to show how much of a given IP block is actually in use, in a visual manner.",,,,
Data sets support the analysis of paths (by organization) from major content providers to end-user networks.,,,,
"We intend to analyze the polygonal foot print of address blocks over the world in order to get a clear picture of IP block level visualization. We also intend to show how much of a given IP block is actually in use, in a visual manner.",,,,
I intend to use this information as research to help provide further understanding as to what sort of scale attacks take place on the Internet.,,,,
"I am currently advising Yitian Tang, an undergraduate student at the  University of Illinois at Urbana Champaign, in the context of an undergraduate research program, on Quickest Change Detection (QCD) methods, which is one of my research areas. One of the main goals of our project is to illustrate the usefulness of these techniques to the area of  cybersecurity.  Various QCD techniques have been proposed in the literature in order to design anomaly-based intrusion detection schemes.  We aim to explore the performance of novel techniques from quickest detection to this area and compare them with existing methods.  ",,,,
"Our dependence on the Internet has grown much faster than our understanding of its underlying structure, global dynamics, operational threats, and overall health. Large-scale internet service disruptions due to malware and/or politically-motiviated activities occur with some regularity. We have developed a methodology, using dark space data from the UCSD Network Telescope, that can identify the networks that are affected by an outage, and can determine what techniques are used to cause a deliberate disruption. We have developed metrics to quantitatively gauge the geographic and topological extent of the impact of geophysical disasters on internet infrastructure, and techniques to investigate the chronological dynamics of the outage and restoration. The USC Lander datasets will provide required reference information on normally reachable hosts/networks for the study and targeted analysis of these large-scale Internet outages.",,,,
"This project is intended to understand responsiveness properties of arbitrary internet hosts and subnetting characteristics.  The survey data is particularly useful given its repeated probing of wide aspects of the internet.  We now hope to look at longitudinal properties given older and newer data from what we have previously studied, and to confirm that conclusions observed in previously requested data held in 2014.NOTE: this is a partial renewal of survey_reprobing data previously requested including datasets 20111102-20131017, which need not be made available for download.",,,,
"Trace the source IP obfuscated due to network address translations (NAT).However, the data would be useful only if some of the devices are performing NAT and are operating at the Internet Level.",,,,
"Project: Perform IP trace using Syslog data to detect IP address obfuscation due to Network Address Translation (NAT)However, I would like some of the devices to have some NAT and have these devices operate at the Internet level.",,,,
"We are currently using the BGP data available from Route Views and RIPE to perform analysis on Internet topology and routing events, particularly as it relates to nation-states and organizations of interest. We would like to acquire additional data about Internet topology to perform additional analysis, and determine whether the CAIDA topology data provides additional insight missing from the data sources we're already using.",,,,
"Determining connectivity of large cloud service providers, such as Amazon AWS, via traceroutes to hitlist IPs.",,,,
Analysis of DoS attack traffic data in order to develop attack detection and mitigation mechanisms. Existing attack data will be used to extract features in order to select parameters required for training of a learning system which should detect generic DoS attack.,,,,
"Our dependence on the Internet has grown much faster than our understanding of its underlying structure, global dynamics, operational threats, and overall health. Large-scale internet service disruptions due to malware and/or politically-motiviated activities occur with some regularity. We have developed a methodology, using dark space data from the UCSD Network Telescope, that can identify the networks that are affected by an outage, and can determine what techniques are used to cause a deliberate disruption. We have developed metrics to quantitatively gauge the geographic and topological extent of the impact of geophysical disasters on internet infrastructure, and techniques to investigate the chronological dynamics of the outage and restoration. The USC Lander datasets will provide required reference information on normally reachable hosts/networks for the study and targeted analysis of these large-scale Internet outages.Note that this request is for the same datasets requested in earlier requests (id 8061 and 6800).",,,,
"These census, history and hitlist datasets provide reference information about reachable hosts and network, useful in several CAIDA studies, such as the analysis of network outages.",,,,
"The USC Lander datasets provide reference information on normally reachable hosts and networks, useful in various CAIDA studies such as network outages and network congestion.",,,,
"The project is to detecting cyber attack using artificial intelligence, such as clustering, KVM and SVM. The dataset will be used to clustering and training vector machine meanwhile testing training result. ",,,,
"Sorry to submit two separate request. As a new user, I apologize for the trouble. The same as my first request, basic purpose of the project is to look into clustering application in DDoS amplification. I'm mainly focusing on DNS amplification, but according to several papers similar amplification strategy can be used in NTP, SMTP and P2P. The dataset will be used to find special feature of attack traffic and cluster them with those features. It may help us to detect an attack from legal traffic. This request is for another two protocols I mentioned: NTP and SMTP",,,,
"Basic purpose of the project is to look into clustering application in DDoS amplification. I'm mainly focusing on DNS amplification, but according to several papers similar amplification strategy can be used in NTP, SMTP and P2P. The dataset will be used to find special feature of attack traffic and cluster them with those features. It may help us to detect an attack from legal traffic. ",,,,
We are working on Data Analytics Cyber Security project. The main goal of this project is to analyze the data to prevent cyber security threats. We use this data to analyze the various scenarios possible with this threats.,,,,
"The research project is about using multilevel memristors for hashing. This is a purely academic research project, and the data will be used to simulate hashing in an internet router.",,,,
Abstract: Large scale attack traffic present challenges identifying and classifying attack behaviors. Offline host and flow clustering attempt to group similar behaviors in order to expedite analysis. The goal of this research is to move such clustering online and generate attack models. The NCCDC logs will be mined for observables in order to cluster and produce the models.,,,,
To improve the visualization and processing of CAIDA's ITDK.,,,,
"This data set request revolves around the detection of anomalies in NTP traffic using advanced ideas in unsupervised machine learning.   In particular, we propose to use algorithms such as robust principal component analysis and manifold learning to assess the normal background state of a computer network and thereby detect sparse, anomalous departures from that ambient background.  The requested data will form a foundation for the development and validation of our algorithmic approaches.",,,,
"The goal of my research is to use ideas such as Robust Principal Component Analysis and Manifold learning for the detection of anomalies in network traffic.  This data will allow the testing of these ideas on synthetically generated data.Key objectives include the detection of anomalies that are indicative of network attacks.",,,,
"Study the economic impacts of protests. In order to do this we need high frequency data on economic activity and we believe internet traffic is a good proxy for this. The idea is to assess what are the economic consequences of protest and how people adapt to it.  For example, do people compensate for days lost (because of protests) overworking days before or after? How do governments (or other parties) react to protest depending on the extent of the protest and its impact on economic activity. ",,,,
The goal of the task is to extract features and develop a machine learning method that will be able to categorize passive DNA data into benign and malicious.  ,,,,
I would like to use this dataset to help me in executing network intrusion detection system that has the capabilities of dealing with imbalanced data between the normal and abnormal behaviour and the dealing with dynamic profiles to each the future traffic using the on-line statistics methods. ,,,,
"I am working on an Internet Oracle that will predict paths based on observed traceroutes. To do this, I need to collect a data set that targets a moderate number of destination hosts from a set of traceroute vantage points. I would like to issue a traceroute to each BGP atom. The hitlist will be used to choose likely responsive host within each BGP atom. ",,,,
I would like to use this dataset to analyze the raw data for a Statistics class.  I hope to find some trends and correlations that I can use as the foundation for my dissertation in Cyber-Security.  Eventually I would like to show that a security analyst can use passed malware trends to predict future malware attacks.,,,,
"DDoS classification for our CS194-16 Data Science course.  We would like to be able to successfully classify different types of DDoS attacks given characteristics of packet traces within a given time period, which can help in mitigating such attacks.",,,,
"I am currently working on developing a  framework that enables American Indian Tribes to easily collect and analyze data regarding broadband coverage on reservations that could be used as part of the application for FCC grant funding for broadband and telecom build-out.  I would like to use this data to establish finer-grained patterns in diurnal Internet usage in Tribal areas in the United States. This would be used as motivation for research into Tribal broadband development, as it is expected to show daily usage patterns similar to those observed in developing and low-GDP areas. ",,,,
The data will potentially be used for a research funded by the Distributed Analytics and Security Institute at Mississippi State University. The purpose of the research is to develop innovative methods and tools to better understand and defend against phishing attacks.  ,,,,
"We are a group of undergraduates at UPenn who are doing research into data visualization, especially with regards to anomaly detection. We have a full research proposal if requested.",,,,
"We are interested in information visualization, particularly with respect to anomalies in large data sets. We plan to use open source software to do the analysis and front-end, and just need sample data to get started with our tests. We have a full research proposal available if desired.",,,,
"Study the economic impacts of protests. In order to do this we need high frequency data on economic activity and we believe internet traffic is a good proxy for this. The idea is to assess what are the economic consequences of protest and how people adapt to it.For example, do people compensate for days lost (because of protests) overworking days before or after? How do governments (or other parties) react to protest depending on the extent of the protest and its impact on economic activity.We intend to combine the internet address survey reporbing data with maxmind geolite database(http://dev.maxmind.com/geoip/geoip2/geolite2/) to get the number of active IP addresses in a region.",,,,
"Project abstract:The rise of Cloud computing is being driven by the need to access content and services on any device. With the migration of access networks to all-IP and the growing trend of SDN-enabled networks, a shift in network architecture has begun that allows opportunity for a unified security architecture. This project proposes the design and creation of this architecture, comprised by a set of virtualized integrated network edge functions, that can provide early attack mitigation and protection against coordinated attacks originating across a diverse set of networks. Our approach simplifies and improves overall security for both Cloud and access networks. The dataset will be used to test our detection algorithms.",,,,
"My research project is about using situation awareness in cyber security domain. The goal of this project is to identify the relevant information that are sufficient to describe the attack. So I need some data, which includes both normal network packages and attacks. ",,,,
This request for the IP histlist data is for the use of this data in the iPlane project (http://iplane.cs.washington.edu). The IPs in this hitlist will be used as the targets for iPlane's probes.,,,,
This data will be used to develop a research paper on cyber security that will be submitted to the Journal of Information Systems.,,,,
To analyze cybersecurity for a potential publication in the Journal of Information Systems ,,,,
"I'm working on the study of pattern detection of different types of traffic. The goal is to identify and model specific behavior patterns for different users (or activities) in the system. I'd like to compare the models collected from users on each year of the competition and see how/if they evolve. ",,,,
"C3E challenge problem - Malware discovery",,,,
"Taking into account and managing risk perception is a major aspect of successful risk management. After all, many safety interventions ÃƒÂ¢Ã‚â‚¬Ã‚â€œ like cancer screenings or keeping computer software up-to-date ÃƒÂ¢Ã‚â‚¬Ã‚â€œ depend on the participation of the public for success.      There have been numerous studies on the relationship between actuarial risk and risk perception. It is well documented that risk perception and actuarial risk are not often aligned. For example, people perceive risks they dread or take involuntarily as more severe than others, so that skiing or plastic surgery are experienced as much less risky than they actually are.      For cyber security, the relationship between risk perception and actuarial risk is much less well studied. Most studies investigate how risk perception impacts behavior, e.g., to bank and shop online.     This study would shed light on the origins of risk perceptions rather than its consequences by combining data on actuarial risk with data from risk perception surveys in several countries. The PREDICT database would provide data on the actuarial risk, i.e., the frequency of various types of cyber-attacks. A simple regression analysis would reveal, whether people in countries suffering more attacks or in countries from which more attacks originate are more concerned about cybersecurity.     If there is a large gap between actuarial risk and risk perception ÃƒÂ¢Ã‚â‚¬Ã‚â€ù i.e., if people feel safe when they should not-, policy to manage cyber risk perception and to boost participation by the public in keeping computer systems safe is urgently needed. If there is no such gap, policymakers should try to benefit from the publicÃƒÂ¢Ã‚â‚¬Ã‚â„¢s awareness in order to develop cost-efficient cyber risk management efforts.  ",,,,
C3E challenge problem,,,,
Abstract: Large scale attack traffic present challenges identifying and classifying attack behaviors. Offline host and flow clustering attempt to group similar behaviors in order to expedite analysis. The goal of this research is to move such clustering online and generate attack models. The Skaion sensor alerts will be mined for observables in order to cluster and produce the models.,,,,
Abstract: Large scale attack traffic present challenges identifying and classifying attack behaviors. Offline host and flow clustering attempt to group similar behaviors in order to expedite analysis. The goal of this research is to move such clustering online and generate attack models. The DShield sensor alerts will be mined for observables in order to cluster and produce the models.,,,,
The motivation of the project is to develop a comprehensive system that will capture the Internet topology at fine granularity and periodically provide snapshots of the Internet backbone. The mapping system will then be utilized to investigate topological characteristics of the Internet and provide an underlay for applications to optimize their communications. Compared to the existing Internet topology measurement platforms.,,,,
need the dataset to test a new algorithm for attack detection,,,,
This work is in connection with the challenge problem for the C3E workshop - sponsored by SCORE. We will investigate recognizable patterns in DNS records for malware detection. ,,,,
Evaluation of large scale anomalies using information distance metrics.,,,,
"This research project focuses on using a cutting-edge graph database, STINGER (stingergraph.com), and proprietary analysis algorithms to find anomalous or interesting patterns of network access. We plan to use Netflow data to build a graph of connection activity which will store the protocol, port, length of connection, amount of bytes transferred, and any other relevant attributes for each connection. We will then use graph analytics to detect anomalous behavior, centers of gravity, and common network paths. We also want to determine how the network flows differ depending on protocol. In addition to static analysis of the complete graph, we plan to playback the Netflow data to build the graph in ""real time"" and perform streaming analysis. Overall, we wish to perform these analyses in anticipation of detecting interesting, anomalous, or malicious behavior on a high-throughput network in real time.",,,,
Our goal is to detect DDoS attacks using clustering techniques and principal  component analysis. We need multiple timeseries in order to achieve this. Our initial analysis involves post forensic analysis of the data sets. We would also like to explore real time detection using the findings of this analysis.,,,,
Network and Information Processing,,,,
I would like to get the data in order to research malware detection techniques for the 2014 C3E workshop.  This database was identified as useful for the challenge problem.  The results of my team's analysis of the data will be presented at the workshop this October (2014).,,,,
"We are now research into high performance traffic classification using feature decomposition and utilize parallel computing. Also we want to detect abnormal behavior of traffic flow. Please provides us this valuable dataset. Thank you! ",,,,
We are now research into high performance traffic classification using feature decomposition and utilize parallel computing. Also we want to detect abnormal behavior of traffic flow. Please provides us this valuable dataset. Thank you! ,,,,
We are researching into a highly performance traffic classification algorithm that can also detect abnormal condition of the traffic flow using features decomposition to boost performance. Please provide us DoS data set to train our algorithm. Thank you!,,,,
Conducting traceroutes to inspect the average number of AS hops from a cloud service provider to other Internet prefixes. Using the hitlist to determine the best IPs to direct the traceroutes towards.,,,,
 the purpose of requesting this dataset is to use it in a research project about flow-based intrusion detection. The purpose of this research project is to utilize semantics and context in intrusion detection,,,,
This data will be used by Georgia Tech CyberSecurity operations as a feed into various operational tools to help better protect the Georgia Tech users and data.,,,,
"We consider the problem of large scale multiple testing for data that have spatially clustered signals. With this structure, we apply techniques from change-point inference and propose a boundary detection algorithm so that the spatial clustering information can be utilized. We show that by exploiting the spatial structure, the precision of a multiple testing procedure can be improved substantially",,,,
"We are working under an NSF grant to produce a map of the Internet backbone. We will use this data in developing our own database, along with data on A.S. relationships. Thanks for your help!",,,,
"I will be directing my focus to this resource of data for a independent study in the Computer Science of my university. I must understand data format, structure, and domain knowledge.",,,,
"Our dependence of the internet has grown much faster than our understanding of its underlying strucure, global dynamics, operational threats, and overall health. Large-scale internet service disruptions due to malware and/or politically motivated activities occur with some regularity.We have developed a methodology that uses dark space data from the UCSD Network Telescope, that identifies networks affected by an outage, and determines what techniques are used to cause deliberate disruption. We obtain metrics to quantitatively gauge the geographic and topological extent of the impact of geophysical disasters on internet infrastructure, and techniques to investigate the chronological dynamics of the outage and restoration.The USC Lander datasets provide reference information on normally reachable hosts/networks for the study and targeted analysis of these large-scale internet outages.This request is a follow-up to requests submitted in April and November 2013. If possible, we request that standing access is granted to future census hitlist, history and census datasets for the USC Lander West monitor (i.e. the it##w sequence of datasets).",,,,
Look to mine spam for malicious URLs and other indicators to more proactive identify malicious infrastructure for remediation.,,,,
Using the data to analyze for patterns to more proactively identify use of DNS in malware.,,,,
The goal of this project is to determine which domains/networks have previously been involved with hosting malware activity with the overall intent that this will be anther input source into our project that is trying to determine the overall reputation of various networks on the Internet.  The information will be aggregated up from individual IP addresses to higher level aggregations such as prefixes/ASes or even organizations.,,,,
