Paper ID,Coder,Paper name,URL,Conference,Year,DHS funding,Data Used or Produced?,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Data Category
,Muwei,Consumer Attitudes Toward Data Breach Notifications and Loss of Personal Information,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/05/WEIS_2016_paper_11-2.pdf,WEIS,2016,No,Produced,"The survey was conducted using the American Life Panel, a nationally representative panel of more than 6,000 adults who participate in Internet-based surveys covering a diverse set of issues. Fielded between May 15 and June 1, 2015, the survey was designed to provide a snapshot of the frequency of breach notifications and the types of data compromised, as well as consumer reactions to the breach, the notification process, and the affected company. Our survey was fielded between May 14 and June 1, 2015, to 2,618 adults.",No,No,/,Research,Attacks
,Muwei,National-level risk assessment: A multi-country study of malware infections,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/06/WEIS_2016_paper_38-2-1.pdf,WEIS,2016,No,Produced,"Calculating Infection Rate basing on geometry. The five less infected countries were Aland Islands (1.4%), Japan (3%), Cayman Islands (3.4%), Finland (3.6%) and Liechtenstien (3.7%), while the five most infected countries were Ethiopia (63.8%), Iraq (54.5%), Pakistan (54.2%), Yemen (51.8%) and Sudan (51.2%)",No,No,/,Research,Attacks
,Muwei,Strategic News Bundling and Privacy Breach Disclosures,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/05/WEIS_2016_paper_20-1.pdf,WEIS,2016,No,Produced,I build a novel dataset of privacy breaches and hacking from publicly available data from different privacy specialized websites. I construct a large dataset of stocks and news reports of publicly traded companies ,No,No,/,Research,Attacks
,Muwei,RAPTOR: Routing Attacks on Privacy in Tor,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-sun.pdf,USENIX,2015,No,Produced,"Attack Tor and measure the actual forwarding path taken by packets entering and exiting the Tor network. 62500 totally possible Tor circuits. #2. 612+ million BGP updates per-taining to 550,000 IP prefixes collected by six RIPE- maintained BGP Looking Glass",Yes,No,https://collector.torproject.org,Research,Attacks
,Muwei,Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,CCS,2015,No,Produced,"packet-level traces for Tor Pluggable Transport traffic collected in controlled environments, website fingerprint attack",No,No,/,Research,Attacks
,Muwei,Dissecting Android Malware: Characterization and Evolution.,http://nieh.net/teaching/e6998/papers/OAKLAND12.pdf,IEEE Security and Privacy,2012,No,Produced,"We obtain the list by carefully examining the related security announcements, threat reports, and blog contents from existing mobile anti- virus companies and active researchers, Our dataset has 1260 samples",No,No,/,Research,Attacks
,Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813669,CCS,2015,No,Produced,"The certificate blacklist output by our infrastructure contains 2,170 CA-issued code signing certificates",No,No,/,Research,Attacks
,Muwei,The Ever-Changing Labyrinth: A Large-Scale Analysis of Wildcard DNS Powered Blackhat SEO',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/du,USENIX,2016,No,Produced,"examined over 13 million domains under 22 TLDs/SLDs and discovered over 458K SEO domains. Finally, we measured the spider-pool ecosystem on top of these domains and analyzed the crawling results from 21 spider pools",No,No,/,Research,Attacks
,Muwei,A Comprehensive Measurement Study of Domain Generating Malware',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/plohmann,USENIX,2016,No,Produced,43 DGA based malware famillies and variants,Yes,No,https://dgarchive.caad.fkie.fraunhofer.de,Research,Attacks
,Muwei,Towards Measuring and Mitigating Social Engineering Software Download Attacks',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/nelms,USENIX,2016,No,Produced,collect and reconstruct more than two thousand examples of in-thewild SE download attacks from live network traffic.,No,No,/,Research,Attacks
,Muwei,Finding Unknown Malice in 10 Seconds: Mass Vetting for New Threats at the Google-Play Scale,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/chen-kai,USENIX,2015,No,Produced,"Over the 127,429 malicious apps detected in our study",No,No,/,Research,Attacks
,Muwei,Evilcohort: detecting communities of malicious accounts on online services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-stringhini.pdf,USENIX,2015,Yes,Produced,"In total, Lis com- posed of 66,509 malicious accounts",No,No,/,Research,Attacks
,Hannah,Traveling the Silk Road: A Measurement Analysis of a Large Anonymous Online Marketplace,https://www.andrew.cmu.edu/user/nicolasc/publications/TR-CMU-CyLab-12-018.pdf,WWW 2013 (22nd international world wide web conference),2013,No,Produced,"gather and analyze data over eight months between the end of 2011 and 2012, including daily crawls of the marketplace for nearly six months in 2012 (February 3, 2012 ‰ÛÒ July 24, 2012)",Yes,No,https://arima.cylab.cmu.edu/sr/,Research,Cybercrime Infrastructure
,Muwei,MyTrackingChoices: Pacifying the Ad-Block War by Enforcing User Privacy Preferences,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/05/WEIS_2016_paper_48.pdf,WEIS,2016,No,Produced,"we have approximately 76000 entries for English language. Three additional lists of unigrams and bigrams, although with a fewer number of entries, are also available for French, Spanish and Italian.The collected data is from those users of MyTrackingChoices who downloaded it directly from Chrome Web Store. In order to study blocking ad behaviors.",No,No,/,Research,Cybercrime Infrastructure
,Muwei,Measuring the longitudinal evolution of the online anonymous marketplace ecosystem,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-soska.pdf,USENIX,2015,Yes,Produced,crawling online anonymous marketplaces,No,No,/,Research,Cybercrime Infrastructure
,Hannah,Chainsaw: Chained Automated Workflow-based Exploit Generation,http://dl.acm.org/citation.cfm?id=2978380,CCS,2016,No,Produced,199 first- and second-order injection exploits,Only a few were discussed,\,Some specific exploits in data paper,Research,Exploits
,Hannah,The Sounds of the Phones: Dangers of Zero-Effort Second Factor Login based on Ambient Audio,https://dl.acm.org/authorize.cfm?key=N14303,CCS,2016,No,Produced,General population statistics via an online survey to determine the phone usage habits and patterns relevant to attacks,No,No,\,Research,Offline Characteristics
,Hannah,When CSI Meets Public WiFi: Inferring Your Mobile Phone Password via WiFi Signals,https://dl.acm.org/authorize.cfm?key=N14314,CCS,2016,No,Produced,Study of ten volunteers and their touch screen usage related to entering passcodes,No,No,\,Research,Offline Characteristics
,Muwei,International Comparison of Bank Fraud Reimbursement: Customer Perceptions and Contractual Terms,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/05/WEIS_2016_paper_78-1.pdf,WEIS,2016,No,Produced," We surveyed the terms and conditions of 30 banks operating in 25 countries. The terms and conditions were reviewed to identify instructions or advice on security. This included how users should handle the PINs associated with their cards, as well as telephone and Internet banking credentials. The documents are worked through by 151 participants.",No,No,/,Research,Offline Characteristics
,Muwei,To Pin or Not to Pin‰ÛÓHelping App Developers Bullet Proof Their TLS Connections,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-oltrogge.pdf,USENIX,2015,No,Produced,"we instrument telemetry data from a popular anti-virus software provider. We evaluate the update behaviour of 871,911 unique users from January 2014 to December 2014",No,No,/,Research,Offline Characteristics
,Muwei,To Pin or Not to Pin‰ÛÓHelping App Developers Bullet Proof Their TLS Connections,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-oltrogge.pdf,USENIX,2015,No,Produced,We there- fore collected feedback from 45 developers of apps for which we would recommend pinning.,No,No,/,Research,Offline Characteristics
,Muwei,De-anonymizing Programmers via Code Stylometry,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-caliskan-islam.pdf,USENIX,2015,No,Produced,"We collected a larger dataset of 1,600 programmers from various years. Each of the programmers had 9 source code samples.",No,No,/,Research,Offline Characteristics
,Muwei,Investigating the Computer Security Practices and Needs of Journalists,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/mcgregor,USENIX,2015,No,Produced,We interviewed 15 journalists employed in a range of well-respected journalistic institutions in the United States and France,No,No,/,Research,Offline Characteristics
,Muwei,The Million-Key Question‰ÛÓInvestigating the Origins of RSA Public Keys,https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_svenda.pdf,USENIX,2016,No,Produced,"analysed over 60 million freshly generated key pairs from 22 open- and closedsource libraries and from 16 different smartcards, revealing significant leakage",No,No,/,Research,Password Lists
,Muwei,Measuring Real-World Accuracies and Biases in Modeling Password Guessability,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/ur,USENIX,2015,No,Produced,we leverage passwords that our group col- lected for prior studies of password-composition poli- cies,No,No,/,Research,Password Lists
,Hannah,Reliable Third-Party Library Detection in Android and its Security Applications,https://dl.acm.org/authorize.cfm?key=N14369,CCS,2016,No,Produced,"Comprehensive repository of third-party libraries and applications containing 164 libraries of different categories and a total of 2,065 versions, version histories for the top 50 apps of each category on Play between Sep 2015 and July 2016, accumulating to 96,995 packages from 3,590 apps, meta-information, such as app and library release dates, ",No,No,\,Research,PopulationEnumeration
,Muwei,A Large-Scale Analysis of the Security of Embedded Firmwares,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/costin,USENIX,2014,No,Produced,"we collected an initial set of 759,273 files (totaling 1.8TB of storage space) from publicly accessible firmware update sites",No,No,/,Research,PopulationEnumeration
,Muwei,The SICILIAN Defense: Signature-based Whitelisting of Web JavaScript,http://dl.acm.org/citation.cfm?doid=2810103.2813710,CCS,2015,No,Produced,"Based on our observation on 33,302 scripts hosted on Alexa‰Ûªs top 500 sites, 93% of the scripts remain static over time and the rest 7% change",No,No,/,Research,PopulationEnumeration
,Muwei,Tracing Information Flows Between Ad Exchanges Using Retargeted Ads',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/bashir,USENIX,2016,No,Produced,"Crawl to get we collected 571,636 unique images about ads in total",No,No,/,Research,PopulationEnumeration
,Muwei,An In-Depth Analysis of Disassembly on Full-Scale x86/x64 Binaries',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/bashir,USENIX,2016,No,Produced,We explore a wide variety of 981 realistic binaries,No,No,/,Research,PopulationEnumeration
,Muwei,Internet Jones and the Raiders of the Lost Trackers: An Archaeological Study of Web Tracking from 1996 to 2016',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/lerner,USENIX,2016,No,Produced,"collects tracking- relevant data, such as third-party requests, cookies, and the use of certain JavaScript APIs",No,No,/,Research,PopulationEnumeration
,Muwei,On Demystifying the Android Application Framework: Re-Visiting Android Permission Specification Analysis',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/backes_android,USENIX,2016,No,Produced,collect complexity information about the application framework,Yes,No,http://www.axplorer.org,Research,PopulationEnumeration
,Muwei,Harvesting Inconsistent Security Configurations in Custom Android ROMs via Differential Analysis',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/aafer,USENIX,2016,No,Produced,"We collected 591 Android ROMs from Samsung Updates [4], other sources [3, 1, 2], and physical devices. These images are customized by 11 vendors, for around 135 models, 45 regions and 8 carriers.",No,No,/,Research,PopulationEnumeration
,Muwei,Protecting Privacy of BLE Device Users',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/fawaz,USENIX,2016,No,Produced,study the behavior of more than 200 types of BLE-equipped devices,No,No,/,Research,PopulationEnumeration
,Hannah,Friendship and mobility: User movement in location-based social networks.,http://cs.stanford.edu/people/jure/pubs/mobile-kdd11.pdf,KDD,2011,No,Produced,"Gowalla data contains 6, 442, 890 check-in locations of 196,586 users over the period of Feb. 2009 to Oct. 2010.",No,No,\,Research,Regular Network/Behavior Data
,Hannah,"Geolife: A collaborative social networking service among user, location and trajectory.",http://sites.computer.org/debull/A10june/geolife.pdf,Bulletin of the IEEE Computer Society Technical Committee on Data Engineering,2010,No,Produced,"Geolife data was collected from 182 users in a period of over three years. It recorded a wide range of users‰Ûª outdoor movements, represented by a series of tuples containing latitude, longitude and timestamp.",Yes,No,\,Research,Regular Network/Behavior Data
,Muwei,Seeing through Network-Protocol Obfuscation,http://dl.acm.org/citation.cfm?doid=2810103.2813715,CCS,2015,No,Produced,packet-level traffic traces collected at various locations in a campus network,No,No,/,Research,Regular Network/Behavior Data
,Muwei,Website-Targeted False Content Injection by Network Operators',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/nakibly,USENIX,2016,No,Produced,"In ad- dition, we list the length of time we monitored the traffic as well as the total volume traffic and number of sessions the monitoring system processed. In aggregate, we mon- itored the traffic of more than 75,000 users, while pro- cessing 1.4 petabits carried by 129 million HTTP ses- sions contacting servers having more than 1.5 million distinct IP addresses.",No,No,/,Research,Regular Network/Behavior Data
,Muwei,Towards Detecting Anomalous User Behavior in Online Social Networks,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,USENIX,2014,No,Produced,collect data for over 6.8K users using real-world ground-truth data about normal and anomalous user behavior on Facebook.,No,No,/,Research,Regular Network/Behavior Data
,Muwei,Towards Detecting Anomalous User Behavior in Online Social Networks,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,USENIX,2014,No,Produced,"collected the publicly visible like and Timeline [34] activity of 13,991 users over the 26 month period ending in August 2013",No,No,/,Research,Regular Network/Behavior Data
,Muwei,Evilcohort: detecting communities of malicious accounts on online services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-stringhini.pdf,USENIX,2015,Yes,Produced,"Our dataset was composed of the emails generated by 21,387,006 distinct online accounts over a period of one day. In total, this dataset contained 72,471,992 emails.",No,No,/,Research,Regular Network/Behavior Data
,Hannah,Uncovering Network Tarpits with Degreaser,http://dl.acm.org/citation.cfm?id=2664285,N/A,2014,Yes,Produced,107 different tarpit subnetworks ranging in size from /16 (with up to 2^16 fake hosts) to /24 (with up to 2^8 fake hosts),No,\,\,Research,Topology/ScanData
,Hannah,A Systematic Analysis of the Juniper Dual EC Incident,https://dl.acm.org/authorize.cfm?key=N14378,CCS,2016,No,Produced,"Internet-wide scan of all IPv4 addresses on port 500, with various messages sent/recieved with certain criteria",No,No,\,Research,Topology/ScanData
,Muwei,Circuit Fingerprinting Attacks: Passive Deanonymization of Tor Hidden Services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-kwon.pdf,USENIX,2015,No,Produced,this experiment is to understand the usage of IP and RP circuits from the hidden server and from the client points of view.,Yes,No,http://people.csail.mit.edu/kwonal/hswf.tar.gz,Research,Topology/ScanData
,Muwei,Circuit Fingerprinting Attacks: Passive Deanonymization of Tor Hidden Services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-kwon.pdf,USENIX,2015,No,Produced,gathered data to test OP servicing a normal user and a hidden service for both closed and open world settings,Yes,No,http://people.csail.mit.edu/kwonal/hswf.tar.gz,Research,Topology/ScanData
,Muwei,In the Compression Hornet‰Ûªs Nest: A Security Study of Data Compression in Network Services,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/pellegrino,USENIX,2015,No,Produced,"Nmap Security Scanner tool, HTTP servers of the first 1000 domains of the Alexa DB",No,No,/,Research,Topology/ScanData
,Muwei,A Measurement Study on Co-residence Threat inside the Cloud,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/xu,USENIX,2015,No,Produced,"Trace-routing from our instances to over 650,000 target instances takes more than 8 days",No,No,/,Research,Topology/ScanData
,Muwei,Analysis of the HTTPS Certificate Ecosystem,http://conferences.sigcomm.org/imc/2013/papers/imc257-durumericAemb.pdf,Sigcomm,2013,Yes,Produced,"completed 110 exhaustive scans of the public IPv4 address space. we completed upwards of 400 billion SYN probes and 2.55 billion TLS handshakes, collecting and parsing 42.4 million unique X.509 certificates from 109 million hosts.",No,No,/,Research,Topology/ScanData
,Muwei,A Comprehensive Measurement Study of Domain Generating Malware',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/plohmann,USENIX,2016,No,Produced,"Taking data of 3 months starting in May 2015 from this feed, we examined a total of 1,235,443 sandbox runs, performing a total of 15,660,256 DNS queries to- wards 959,607 unique domain names.",No,No,/,Research,Topology/ScanData
,Hannah,"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms",https://dl.acm.org/authorize.cfm?key=N14374,CCS,2016,No,Produced,"Found vulnerabilities related to integers, migrating from 32 bit and larger address space",Yes,No,Data in paper,Research,Vulnerabilities
,Hannah,UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,CCS,2016,Yes,Produced,"Discovered many previously unknown information leak vulnerabilities in the latest Linux and Android kernels, 19 of which have been confirmed by Linux maintainers and Google, ","Sent to Google and Linux, Yes",No,http://www.cvedetails.com/vulnerabilities-by-types.php,Research,Vulnerabilities
,Hannah,UniSan: Proactive Kernel Memory Initialization to Eliminate Data Leakages,https://dl.acm.org/authorize.cfm?key=N14304,CCS,2016,Yes,Produced,conducted another study of kernel information leak vulnerabilities reported after 2013,No,No,\,Research,Vulnerabilities
,Hannah,New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks,https://dl.acm.org/authorize.cfm?key=N14328,CCS,2016,No,Produced,Vulnerabilities found,Yes,No,Data in paper,Research,Vulnerabilities
,Hannah,The Misuse of Android Unix Domain Sockets and Security Implications,https://dl.acm.org/authorize.cfm?key=N14247,CCS,2016,No,Produced,Identified vulnerabilities in Android daemons and apps,No (sent to developers),No,https://sites.google.com/site/unixdomainsocketstudy/home,Research,Vulnerabilities
,Hannah,On the Practical (In-)Security of 64-bit Block Ciphers Collision Attacks on HTTP over TLS and OpenVPN,https://dl.acm.org/authorize.cfm?key=N14377,CCS,2016,No,Produced,"Various vulnerabilities in Mozilla Firefox, OpenVPN, OpenSSL, Akami, Apple, Microsoft",Yes,No,https://sweet32.info/,Research,Vulnerabilities
,Hannah,Scalable Graph-based Bug Search for Firmware Images,https://dl.acm.org/authorize.cfm?key=N14379,CCS,2016,No,Produced,"Freely available vulnerability database for this effort and for the broader research community, 23 vulnerabilities in firmware images",Yes/(sent to developers),No,\,Research,Vulnerabilities
,Hannah,Call Me Back! Attacks on System Server and System Apps in Android through Synchronous Callback,https://dl.acm.org/authorize.cfm?key=N14248,CCS,2016,No,Produced,Identified six previously unknown vulnerabilities in Android service systems,No (sent to Google),"No",Data in paper,Research,Vulnerabilities
,Muwei,In the Compression Hornet‰Ûªs Nest: A Security Study of Data Compression in Network Services,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/pellegrino,USENIX,2015,No,Produced,review three popular communication protocols and test 19 implementations against highly-compressed protocol messages and find nine vulerabilities,Yes,No,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2014-0118,Research,Vulnerabilities
,Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Produced,"We collect data over a period of one year, from Febru- ary 2014 to January 2015. Out of the 1.1 billion tweets collected during this period, 287,717 contain explicit ref- erences to CVE IDs",No,No,/,Research,Vulnerabilities
,Muwei,From Facepalm to Brain Bender: Exploring Client-Side Cross-Site Scripting,http://dl.acm.org/citation.cfm?doid=2810103.2813625,CCS,2015,No,Produced,"analyze a set of 1,273 real-world vulnerabilities contained on the Alexa Top 10k domains using a specifically designed architecture",No,No,/,Research,Vulnerabilities
,Muwei,"Hey, You Have a Problem: On the Feasibility of Large-Scale Web Vulnerability Notification',",https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/stock,USENIX,2016,No,Produced,"survey existing communication channels and evaluate their usability in an automated notification process. Using a data set of over 44,000 vulnerable Web sites",No,No,/,Research,Vulnerabilities
,Muwei,"You‰Ûªve Got Vulnerability: Exploring Effective Vulnerability Notifications""",https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/li,USENIX,2016,No,Produced,monitored vulnerable systems for several weeks to determine their rate of remediation,No,No,/,Research,Vulnerabilities
,Muwei,VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits,http://dl.acm.org/citation.cfm?doid=2810103.2813604,CCS,2015,No,Produced,we created a database of commits that introduced known vulnerabilities in open- source projects and which features we extracted from the commits.,Yes,No,https://www.dropbox.com/s/x1shbyw0nmd2x45/vcc-database.dump?dl=0,Research,Vulnerabilities
,Muwei,IDENTITY THEFT AS A TEACHABLE MOMENT,http://weis2016.econinfosec.org/wp-content/uploads/sites/2/2016/05/WEIS_2016_paper_14-1.pdf,WEIS,2016,No,Used," We use the Federal Reserve Bank of New York Consumer Credit Panel/Equifax data set (hereafter, CCP), combined with additional information on the timing (placement) and type of fraud alerts obtained from Equifax by the Payment Cards Center.",No,No,\,Research,Adverse Events
,Muwei,A Look at Targeted Attacks Through the Lense of an NGO,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,USENIX,2014,No,Used,"we analyze 1,493 suspicious emails col- lected over a four-year period by two members of the World Uyghur Congress (WUC)",No,No,/,Research,Adverse Events
,Hannah,Shades of Grey: On the effectiveness of reputation-based ‰ÛÏblacklists‰Ûù,http://nsrg.eecs.umich.edu/publications/malware08_final.pdf,MALWARE 2008,2008,Yes,Used,"Spam received by a large academic network consisting of 7,000 unique hosts, with millions of email messages, over a period 10 days in June of 2008",No,No,\,Industry,Attacks
,Hannah,The Blaster Worm: Then and Now,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1492337,IEEE Security and Privacy 3(4),2005,Yes,Used,IMS data of Blaster in August 2003 and 2004,No,No,\,Research,Attacks
,Hannah,Data Reduction for the Scalable Automated Analysis of Distributed Darknet Traffic,http://dl.acm.org/citation.cfm?id=1251107,IMC 2005,2005,Yes,Used,"Data from 14 darknet monitors ranging in size from a /25 monitor to a /17 monitor over a period of 10 days between August 18, 2004 and August 28, 2004,   ",No,No,\,Research,Attacks
,Hannah,CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump,https://dl.acm.org/authorize.cfm?key=N14373,CCS,2016,No,Used,80 crashes corresponding to the memory corruption vulnerabilities,Yes,No,https://www.exploit-db.com/,Industry,Attacks
,Hannah,FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,CCS,2016,No,Used,Drebin dataset,Yes,No,\,Industry,Attacks
,Hannah,FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature,https://dl.acm.org/authorize.cfm?key=N14392,CCS,2016,No,Used, list  of  malware  families,Yes,No,https://forensics.spreitzenbarth.de/android-malware/,Industry,Attacks
,Hannah,Detecting Advanced Persistent Threats using Fractal Dimension based Machine Learning Classification ,http://dl.acm.org/citation.cfm?id=2875484,ACM on Privacy and Security Analytics,2016,No,Used,"APTs were collected from Contagio malware database, ",Yes,No,https://www.mediafire.com/folder/c2az029ch6cke/TRAFFIC_PATTERNS_COLLECTION#734479hwy1b97 ,Industry,Attacks
,Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Used,specific  darknet  dataset  including  mostly  DDoS  traffic  collected in 2012 via UCSD Network Telescope,Yes,No,http://www.caida.org/data/passive/telescope-educationaldataset.xml,Industry,Attacks
,Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Used,specific  darknet  dataset  including only  normal traffic  from  2008 via UCSD Network Telescope,Yes,No,http://www.caida.org/data/passive/passive2008dataset.xml,Industry,Attacks
,Hannah,"Feature Selection for Robust Backscatter DDoSDetection",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7365905,LCN Workshop,2015,No,Used,specific  darknet  dataset  including only  normal traffic  from  2014 via UCSD Network Telescope,Yes,No,http://www.caida.org/data/passive/passive2014dataset.xml,Industry,Attacks
,Hannah,Statistical Deobfuscation of Android Applications,https://dl.acm.org/authorize.cfm?key=N14368,CCS,2016,No,Used,one sample from each of the 49 malware families,No,No,\,Industry,Attacks
,Hannah,Data Reduction for the Scalable Automated Analysis of Distributed Darknet Traffic,http://dl.acm.org/citation.cfm?id=1251107,IMC 2005,2005,Yes,Used,"Number of source IP addresses at each of the 41 darknets during a 21-day period, from March 19th through April 9th, 2005,",No,No,\,Research,Attacks
,Hannah,Data Reduction for the Scalable Automated Analysis of Distributed Darknet Traffic,http://dl.acm.org/citation.cfm?id=1251107,IMC 2005,2005,Yes,Used,"31 darknets, we examined the top 10 destination ports, based on the number of packets, and compared these lists across darknet",No,No,\,Research,Attacks
