Paper, URL, Conference, Year,data,description,txtName
"Attacking the Washington, D.C. Internet Voting System.",https://doi.org/10.1007/978-3-642-32946-3_10,fc,2012,,,
Aurasium: Practical Policy Enforcement for Android Applications.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/xu_rubin,uss,2012,,,
Automated Synthesis of Secure Distributed Applications.,http://www.internetsociety.org/automated-synthesis-secure-distributed-applications,ndss,2012,,,
Autonomous learning for detection of JavaScript attacks: vision or reality?,http://doi.acm.org/10.1145/2381896.2381911,ccsaisec,2012,,,
B@bel: Leveraging Email Delivery for Spam Mitigation.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/stringhini,uss,2012,,,
Before we knew it: an empirical study of zero-day attacks in the real world.,http://doi.acm.org/10.1145/2382196.2382284,ccs,2012,,,
Beyond Disk Imaging for Preserving User State in Network Testbeds.,https://www.usenix.org/conference/cset12/workshop-program/presentation/mirkovic,usscset,2012,,,
Beyond friendship: modeling user activity graphs on social network-based gifting applications.,http://doi.acm.org/10.1145/2398776.2398826,imc,2012,,,
Billion-Gate Secure Computation with Malicious Adversaries.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/kreuter,uss,2012,,,
Binary stirring: self-randomizing instruction addresses of legacy x86 binary code.,http://doi.acm.org/10.1145/2382196.2382216,ccs,2012,,,
Bitter to Better - How to Make Bitcoin a Better Currency.,https://doi.org/10.1007/978-3-642-32946-3_29,fc,2012,,,
Blacksheep: detecting compromised hosts in homogeneous crowds.,http://doi.acm.org/10.1145/2382196.2382234,ccs,2012,,,
BLACR: TTP-Free Blacklistable Anonymous Credentials with Reputation.,http://www.internetsociety.org/blacr-ttp-free-blacklistable-anonymous-credentials-reputation,ndss,2012,,,
Breaking for commercials: characterizing mobile advertising.,http://doi.acm.org/10.1145/2398776.2398812,imc,2012,,,
Building Verifiable Trusted Path on Commodity x86 Computers.,https://doi.org/10.1109/SP.2012.42,sp,2012,,,
Bypassing Space Explosion in Regular Expression Matching for Network Intrusion Detection and Prevention Systems.,http://www.internetsociety.org/bypassing-space-explosion-regular-expression-matching-network-intrusion-detection-and-prevention,ndss,2012,,,
Can you GET me now?: estimating the time-to-first-byte of HTTP transactions with passive measurements.,http://doi.acm.org/10.1145/2398776.2398789,imc,2012,,,
Cell vs. WiFi: on the performance of metro area mobile connections.,http://doi.acm.org/10.1145/2398776.2398808,imc,2012,,,
CensorSpoofer: asymmetric communication using IP spoofing for censorship-resistant web browsing.,http://doi.acm.org/10.1145/2382196.2382212,ccs,2012,,,
Charm: A Framework for Rapidly Prototyping Cryptosystems.,http://www.internetsociety.org/charm-framework-rapidly-prototyping-cryptosystems,ndss,2012,,,
CHEX: statically vetting Android apps for component hijacking vulnerabilities.,http://doi.acm.org/10.1145/2382196.2382223,ccs,2012,,,
Chimera: A Declarative Language for Streaming Network Traffic Analysis.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/borders,uss,2012,,,
Chrome Extensions: Threat Analysis and Countermeasures.,http://www.internetsociety.org/chrome-extensions-threat-analysis-and-countermeasures,ndss,2012,,,
Clash Attacks on the Verifiability of E-Voting Systems.,https://doi.org/10.1109/SP.2012.32,sp,2012,,,
Classifying internet one-way traffic.,http://doi.acm.org/10.1145/2398776.2398781,imc,2012,,,
Clickjacking: Attacks and Defenses.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/huang,uss,2012,,,
Collaborative Red Teaming for Anonymity System Evaluation.,https://www.usenix.org/conference/cset12/workshop-program/presentation/clark,usscset,2012,,,
Collaborative TCP sequence number inference attack: how to crack sequence number under a second.,http://doi.acm.org/10.1145/2382196.2382258,ccs,2012,,,
CommitCoin: Carbon Dating Commitments with Bitcoin - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_28,fc,2012,,,
Computational soundness without protocol restrictions.,http://doi.acm.org/10.1145/2382196.2382270,ccs,2012,,,
Computational verification of C protocol implementations by symbolic execution.,http://doi.acm.org/10.1145/2382196.2382271,ccs,2012,,,
Concurrent prefix hijacks: occurrence and impacts.,http://doi.acm.org/10.1145/2398776.2398780,imc,2012,,,
Conducting an Ethical Study of Web Traffic.,https://www.usenix.org/conference/cset12/workshop-program/presentation/duncan,usscset,2012,,,
Configuring DHCP leases in the smartphone era.,http://doi.acm.org/10.1145/2398776.2398814,imc,2012,,,
"Confused, timid, and unstable: picking a video streaming rate is hard.",http://doi.acm.org/10.1145/2398776.2398800,imc,2012,,,
Congestion-Aware Path Selection for Tor.,https://doi.org/10.1007/978-3-642-32946-3_9,fc,2012,,,
"Content delivery and the natural evolution of DNS: remote dns trends, performance issues and alternative solutions.",http://doi.acm.org/10.1145/2398776.2398831,imc,2012,,,
Crime scene investigation: SMS spam data analysis.,http://doi.acm.org/10.1145/2398776.2398822,imc,2012,,,
Cross-VM side channels and their use to extract private keys.,http://doi.acm.org/10.1145/2382196.2382230,ccs,2012,,,
Cryptographic Rule-Based Trading - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_6,fc,2012,,,
CTL: A Platform-Independent Crypto Tools Library Based on Dataflow Programming Paradigm.,https://doi.org/10.1007/978-3-642-32946-3_22,fc,2012,,,
Data Node Encrypted File System: Efficient Secure Deletion for Flash Memory.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/reardon,uss,2012,,,
DCast: sustaining collaboration in overlay multicast despite rational collusion.,http://doi.acm.org/10.1145/2382196.2382256,ccs,2012,,,
Deanonymizing mobility traces: using social network as a side-channel.,http://doi.acm.org/10.1145/2382196.2382262,ccs,2012,,,
Deploying Secure Multi-Party Computation for Financial Data Analysis - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_5,fc,2012,,,
Designing Privacy-Preserving Smart Meters with Low-Cost Microcontrollers.,https://doi.org/10.1007/978-3-642-32946-3_18,fc,2012,,,
"Detecting Hoaxes, Frauds, and Deception in Writing Style Online.",https://doi.org/10.1109/SP.2012.34,sp,2012,,,
Detecting prefix hijackings in the internet with argus.,http://doi.acm.org/10.1145/2398776.2398779,imc,2012,,,
Differentially private sequential data publication via variable-length n-grams.,http://doi.acm.org/10.1145/2382196.2382263,ccs,2012,,,
Discovering Semantic Data of Interest from Un-mappable Memory with Confidence.,http://www.internetsociety.org/discovering-semantic-data-interest-un-mappable-memory-confidence,ndss,2012,,,
Dissecting Android Malware: Characterization and Evolution.,https://doi.org/10.1109/SP.2012.16,sp,2012,,,
Distance Hijacking Attacks on Distance Bounding Protocols.,http://www.internetsociety.org/distance-hijacking-attacks-distance-bounding-protocols,ndss,2012,,,
Distance Hijacking Attacks on Distance Bounding Protocols.,https://doi.org/10.1109/SP.2012.17,sp,2012,,,
Disturbed Playing: Another Kind of Educational Security Games.,https://www.usenix.org/conference/cset12/workshop-program/presentation/koch,usscset,2012,,,
DNS to the rescue: discerning content and services in a tangled web.,http://doi.acm.org/10.1145/2398776.2398819,imc,2012,,,
Do Malware Reports Expedite Cleanup? An Experimental Study.,https://www.usenix.org/conference/cset12/workshop-program/presentation/vasek,usscset,2012,,,
Don't Trust Satellite Phones: A Security Analysis of Two Satphone Standards.,https://doi.org/10.1109/SP.2012.18,sp,2012,,,
Double-spending fast payments in bitcoin.,http://doi.acm.org/10.1145/2382196.2382292,ccs,2012,,,
DroidScope: Seamlessly Reconstructing the OS and Dalvik Semantic Views for Dynamic Android Malware Analysis.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/yan,uss,2012,,,
Dynamic Accumulator Based Discretionary Access Control for Outsourced Storage with Unlinkable Access - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_16,fc,2012,,,
Dynamic searchable symmetric encryption.,http://doi.acm.org/10.1145/2382196.2382298,ccs,2012,,,
Early detection of malicious behavior in JavaScript code.,http://doi.acm.org/10.1145/2381896.2381901,ccsaisec,2012,,,
Efficient and Scalable Socware Detection in Online Social Networks.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/rahman,uss,2012,,,
Efficient Private Proximity Testing with GSM Location Sketches.,https://doi.org/10.1007/978-3-642-32946-3_7,fc,2012,,,
"Efficient, Compromise Resilient and Append-Only Cryptographic Schemes for Secure Audit Logging.",https://doi.org/10.1007/978-3-642-32946-3_12,fc,2012,,,
Enabling Users to Self-manage Networks: Collaborative Anomaly Detection in Wireless Personal Area Networks.,https://doi.org/10.1007/978-3-642-34638-5_5,fcw,2012,,,
Enemy of the State: A State-Aware Black-Box Web Vulnerability Scanner.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/doupe,uss,2012,,,
Enhanced Operating System Security Through Efficient and Fine-grained Address Space Randomization.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/giuffrida,uss,2012,,,
Enhancing Tor's performance using real-time traffic classification.,http://doi.acm.org/10.1145/2382196.2382208,ccs,2012,,,
Establishing Browser Security Guarantees through Formal Shim Verification.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/jang,uss,2012,,,
Ethical and Secure Data Sharing across Borders.,https://doi.org/10.1007/978-3-642-34638-5_13,fcw,2012,,,
EvilSeed: A Guided Approach to Finding Malicious Web Pages.,https://doi.org/10.1109/SP.2012.33,sp,2012,,,
Evolution of a location-based online social network: analysis and models.,http://doi.acm.org/10.1145/2398776.2398793,imc,2012,,,
"Evolution of social-attribute networks: measurements, modeling, and implications using google+.",http://doi.acm.org/10.1145/2398776.2398792,imc,2012,,,
Fathom: a browser-based network measurement platform.,http://doi.acm.org/10.1145/2398776.2398786,imc,2012,,,
Fides: selectively hardening software application components against kernel-level or process-level malware.,http://doi.acm.org/10.1145/2382196.2382200,ccs,2012,,,
Flash Memory for Ubiquitous Hardware Security Functions: True Random Number Generation and Device Fingerprints.,https://doi.org/10.1109/SP.2012.12,sp,2012,,,
FlowFox: a web browser with flexible and precise information flow control.,http://doi.acm.org/10.1145/2382196.2382275,ccs,2012,,,
Formalizing and Enforcing Purpose Restrictions in Privacy Policies.,https://doi.org/10.1109/SP.2012.21,sp,2012,,,
Foundations of garbled circuits.,http://doi.acm.org/10.1145/2382196.2382279,ccs,2012,,,
Foundations of Logic-Based Trust Management.,https://doi.org/10.1109/SP.2012.20,sp,2012,,,
FreeMarket: Shopping for free in Android applications.,http://www.internetsociety.org/freemarket-shopping-free-android-applications,ndss,2012,,,
From Throw-Away Traffic to Bots: Detecting the Rise of DGA-Based Malware.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/antonakakis,uss,2012,,,
Full proof cryptography: verifiable compilation of efficient zero-knowledge protocols.,http://doi.acm.org/10.1145/2382196.2382249,ccs,2012,,,
Fuzzing with Code Fragments.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/holler,uss,2012,,,
Gatling: Automatic Attack Discovery in Large-Scale Distributed Systems.,http://www.internetsociety.org/gatling-automatic-attack-discovery-large-scale-distributed-systems,ndss,2012,,,
Ghost Domain Names: Revoked Yet Still Resolvable.,http://www.internetsociety.org/ghost-domain-names-revoked-yet-still-resolvable,ndss,2012,,,
Gone in 360 Seconds: Hijacking with Hitag2.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/verdult,uss,2012,,,
GPS software attacks.,http://doi.acm.org/10.1145/2382196.2382245,ccs,2012,,,
Guess Again (and Again and Again): Measuring Password Strength by Simulating Password-Cracking Algorithms.,https://doi.org/10.1109/SP.2012.38,sp,2012,,,
Guess Who's Texting You? Evaluating the Security of Smartphone Messaging Applications.,http://www.internetsociety.org/guess-whos-texting-you-evaluating-security-smartphone-messaging-applications,ndss,2012,,,
"Hey, You, Get Off of My Market: Detecting Malicious Apps in Official and Alternative Android Markets.",http://www.internetsociety.org/hey-you-get-my-market-detecting-malicious-apps-official-and-alternative-android-markets,ndss,2012,,,
High Stakes: Designing a Privacy Preserving Registry.,https://doi.org/10.1007/978-3-642-34638-5_3,fcw,2012,,,
Host Fingerprinting and Tracking on the Web: Privacy and Security Implications.,http://www.internetsociety.org/host-fingerprinting-and-tracking-web-privacy-and-security-implications,ndss,2012,,,
Hourglass schemes: how to prove that cloud files are encrypted.,http://doi.acm.org/10.1145/2382196.2382227,ccs,2012,,,
How Does Your Password Measure Up? The Effect of Strength Meters on Password Creation.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/ur,uss,2012,,,
How secure are power network signature based time stamps?,http://doi.acm.org/10.1145/2382196.2382243,ccs,2012,,,
Hubble: Transparent and Extensible Malware Analysis by Combining Hardware Virtualization and Software Emulation.,http://www.internetsociety.org/hubble-transparent-and-extensible-malware-analysis-combining-hardware-virtualization-and-software,ndss,2012,,,
Hummingbird: Privacy at the Time of Twitter.,https://doi.org/10.1109/SP.2012.26,sp,2012,,,
I Forgot Your Password: Randomness Attacks Against PHP Applications.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/argyros,uss,2012,,,
Identifying and Analyzing Pointer Misuses for Sophisticated Memory-corruption Exploit Diagnosis.,http://www.internetsociety.org/identifying-and-analyzing-pointer-misuses-sophisticated-memory-corruption-exploit-diagnosis,ndss,2012,,,
ILR: Where'd My Gadgets Go?,https://doi.org/10.1109/SP.2012.39,sp,2012,,,
Impact of Spam Exposure on User Engagement.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/dasgupta,uss,2012,,,
Improving malware classification: bridging the static/dynamic gap.,http://doi.acm.org/10.1145/2381896.2381900,ccsaisec,2012,,,
Innocent by association: early recognition of legitimate users.,http://doi.acm.org/10.1145/2382196.2382235,ccs,2012,,,
Inside dropbox: understanding personal cloud storage services.,http://doi.acm.org/10.1145/2398776.2398827,imc,2012,,,
Insights into User Behavior in Dealing with Internet Attacks.,http://www.internetsociety.org/insights-user-behavior-dealing-internet-attacks,ndss,2012,,,
Intransitive noninterference in nondeterministic systems.,http://doi.acm.org/10.1145/2382196.2382288,ccs,2012,,,
It's Not Stealing If You Need It: A Panel on the Ethics of Performing Research Using Public Data of Illicit Origin.,https://doi.org/10.1007/978-3-642-34638-5_11,fcw,2012,,,
Kargus: a highly-scalable software-based intrusion detection system.,http://doi.acm.org/10.1145/2382196.2382232,ccs,2012,,,
kGuard: Lightweight Kernel Protection against Return-to-User Attacks.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/kemerlis,uss,2012,,,
Knowing your enemy: understanding and detecting malicious web advertising.,http://doi.acm.org/10.1145/2382196.2382267,ccs,2012,,,
Kruiser: Semi-synchronized Non-blocking Concurrent Kernel Heap Buffer Overflow Monitoring.,http://www.internetsociety.org/kruiser-semi-synchronized-non-blocking-concurrent-kernel-heap-buffer-overflow-monitoring,ndss,2012,,,
LAP: Lightweight Anonymity and Privacy.,https://doi.org/10.1109/SP.2012.37,sp,2012,,,
Large-Scale Privacy-Preserving Mapping of Human Genomic Sequences on Hybrid Clouds.,http://www.internetsociety.org/large-scale-privacy-preserving-mapping-human-genomic-sequences-hybrid-clouds,ndss,2012,,,
LASTor: A Low-Latency AS-Aware Tor Client.,https://doi.org/10.1109/SP.2012.35,sp,2012,,,
Learning from Early Attempts to Measure Information Security Performance.,https://www.usenix.org/conference/cset12/workshop-program/presentation/zhang,usscset,2012,,,
Learning stateful models for network honeypots.,http://doi.acm.org/10.1145/2381896.2381904,ccsaisec,2012,,,
"Leveraging choice"" to automate authorization hook placement.""",http://doi.acm.org/10.1145/2382196.2382215,ccs,2012,,,
Linguistic Properties of Multi-word Passphrases.,https://doi.org/10.1007/978-3-642-34638-5_1,fcw,2012,,,
Location leaks over the GSM air interface.,http://www.internetsociety.org/location-leaks-over-gsm-air-interface,ndss,2012,,,
Longtime behavior of harvesting spam bots.,http://doi.acm.org/10.1145/2398776.2398823,imc,2012,,,
"Machine-generated algorithms, proofs and software for the batch verification of digital signature schemes.",http://doi.acm.org/10.1145/2382196.2382248,ccs,2012,,,
Making argument systems for outsourced computation practical (sometimes).,http://www.internetsociety.org/making-argument-systems-outsourced-computation-practical-sometimes,ndss,2012,,,
Manufacturing compromise: the emergence of exploit-as-a-service.,http://doi.acm.org/10.1145/2382196.2382283,ccs,2012,,,
MAPLE: a scalable architecture for maintaining packet latency measurements.,http://doi.acm.org/10.1145/2398776.2398788,imc,2012,,,
"Measuring the deployment of IPv6: topology, routing and performance.",http://doi.acm.org/10.1145/2398776.2398832,imc,2012,,,
Measuring the impact of the copyright amendment act on New Zealand residential DSL users.,http://doi.acm.org/10.1145/2398776.2398833,imc,2012,,,
"Measuring vote privacy, revisited.",http://doi.acm.org/10.1145/2382196.2382295,ccs,2012,,,
Memento: Learning Secrets from Process Footprints.,https://doi.org/10.1109/SP.2012.19,sp,2012,,,
Memory-Efficient Garbled Circuit Generation for Mobile Devices.,https://doi.org/10.1007/978-3-642-32946-3_19,fc,2012,,,
Methodically Modeling the Tor Network.,https://www.usenix.org/conference/cset12/workshop-program/presentation/jansen,usscset,2012,,,
Methodology for a Field Study of Anti-malware Software.,https://doi.org/10.1007/978-3-642-34638-5_7,fcw,2012,,,
Metrics for Measuring ISP Badness: The Case of Spam - (Short Paper).,https://doi.org/10.1007/978-3-642-32946-3_8,fc,2012,,,
Minimizing private data disclosures in the smart grid.,http://doi.acm.org/10.1145/2382196.2382242,ccs,2012,,,
Mining Your Ps and Qs: Detection of Widespread Weak Keys in Network Devices.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/heninger,uss,2012,,,
Mitigating sampling error when measuring internet client IPv6 capabilities.,http://doi.acm.org/10.1145/2398776.2398787,imc,2012,,,
Mobile data charging: new attacks and countermeasures.,http://doi.acm.org/10.1145/2382196.2382220,ccs,2012,,,
MoCFI: A Framework to Mitigate Control-Flow Attacks on Smartphones.,http://www.internetsociety.org/mocfi-framework-mitigate-control-flow-attacks-smartphones#overlay-context=mocfi-framework-mitigate-control-flow-attacks-smartphones,ndss,2012,,,
Multi-scale dynamics in a massive online social network.,http://doi.acm.org/10.1145/2398776.2398795,imc,2012,,,
My Privacy Policy: Exploring End-user Specification of Free-form Location Access Rules.,https://doi.org/10.1007/978-3-642-34638-5_8,fcw,2012,,,
Neighborhood watch: security and privacy analysis of automatic meter reading systems.,http://doi.acm.org/10.1145/2382196.2382246,ccs,2012,,,
Network performance of smart mobile handhelds in a university campus WiFi network.,http://doi.acm.org/10.1145/2398776.2398809,imc,2012,,,
Neuroscience Meets Cryptography: Designing Crypto Primitives Secure Against Rubber Hose Attacks.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/bojinov,uss,2012,,,
New Attacks on Timing-based Network Flow Watermarks.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/zin,uss,2012,,,
New kid on the block: exploring the google+ social graph.,http://doi.acm.org/10.1145/2398776.2398794,imc,2012,,,
New privacy issues in mobile telephony: fix and verification.,http://doi.acm.org/10.1145/2382196.2382221,ccs,2012,,,
New Results for Timing-Based Attestation.,https://doi.org/10.1109/SP.2012.45,sp,2012,,,
Newton Meets Vivaldi: Using Physical Laws to Secure Virtual Coordinate Systems.,http://www.internetsociety.org/newton-meets-vivaldi-using-physical-laws-secure-virtual-coordinate-systems,ndss,2012,,,
Non-tracking web analytics.,http://doi.acm.org/10.1145/2382196.2382268,ccs,2012,,,
Nonparametric semi-supervised learning for network intrusion detection: combining performance improvements with realistic in-situ training.,http://doi.acm.org/10.1145/2381896.2381905,ccsaisec,2012,,,
OB-PWS: Obfuscation-Based Private Web Search.,https://doi.org/10.1109/SP.2012.36,sp,2012,,,
ObliviAd: Provably Secure and Practical Online Behavioral Advertising.,https://doi.org/10.1109/SP.2012.25,sp,2012,,,
Oblivious Decision Programs from Oblivious Transfer: Efficient Reductions.,https://doi.org/10.1007/978-3-642-32946-3_20,fc,2012,,,
Oblivious Printing of Secret Messages in a Multi-party Setting.,https://doi.org/10.1007/978-3-642-32946-3_26,fc,2012,,,
Observing common spam in Twitter and email.,http://doi.acm.org/10.1145/2398776.2398824,imc,2012,,,
Obtaining in-context measurements of cellular network performance.,http://doi.acm.org/10.1145/2398776.2398807,imc,2012,,,
Off-path TCP Sequence Number Inference Attack - How Firewall Middleboxes Reduce Security.,https://doi.org/10.1109/SP.2012.29,sp,2012,,,
On Breaking SAML: Be Whoever You Want to Be.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/somorovsky,uss,2012,,,
"On Limitations of Designing Leakage-Resilient Password Systems: Attacks, Principals and Usability.",http://www.internetsociety.org/limitations-designing-leakage-resilient-password-systems-attacks-principals-and-usability,ndss,2012,,,
On Secure Two-Party Integer Division.,https://doi.org/10.1007/978-3-642-32946-3_13,fc,2012,,,
On significance of the least significant bits for differential privacy.,http://doi.acm.org/10.1145/2382196.2382264,ccs,2012,,,
On the effectiveness of using state-of-the-art machine learning techniques to launch cryptographic distinguishing attacks.,http://doi.acm.org/10.1145/2381896.2381912,ccsaisec,2012,,,
On the Feasibility of Internet-Scale Author Identification.,https://doi.org/10.1109/SP.2012.46,sp,2012,,,
On the Feasibility of Side-Channel Attacks with Brain-Computer Interfaces.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/martinovic,uss,2012,,,
On the incompleteness of the AS-level graph: a novel methodology for BGP route collector placement.,http://doi.acm.org/10.1145/2398776.2398803,imc,2012,,,
On the parameterized complexity of the workflow satisfiability problem.,http://doi.acm.org/10.1145/2382196.2382287,ccs,2012,,,
On traffic matrix completion in the internet.,http://doi.acm.org/10.1145/2398776.2398818,imc,2012,,,
Operating system framed in case of mistaken identity: measuring the success of web-based spoofing attacks on OS password-entry dialogs.,http://doi.acm.org/10.1145/2382196.2382237,ccs,2012,,,
Optimally Robust Private Information Retrieval.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/devet,uss,2012,,,
Origin-Bound Certificates: A Fresh Approach to Strong Client Authentication for the Web.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/dietz,uss,2012,,,
OTO: online trust oracle for user-centric trust establishment.,http://doi.acm.org/10.1145/2382196.2382239,ccs,2012,,,
PathCutter: Severing the Self-Propagation Path of XSS JavaScript Worms in Social Web Networks.,http://www.internetsociety.org/pathcutter-severing-self-propagation-path-xss-javascript-worms-social-web-networks,ndss,2012,,,
"Peek-a-Boo, I Still See You: Why Efficient Traffic Analysis Countermeasures Fail.",https://doi.org/10.1109/SP.2012.28,sp,2012,,,
PeerPress: utilizing enemies' P2P strength against them.,http://doi.acm.org/10.1145/2382196.2382257,ccs,2012,,,
PERM: practical reputation-based blacklisting without TTPS.,http://doi.acm.org/10.1145/2382196.2382294,ccs,2012,,,
Persistent OSPF Attacks.,http://www.internetsociety.org/persistent-ospf-attacks,ndss,2012,,,
PharmaLeaks: Understanding the Business of Online Pharmaceutical Affiliate Programs.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/mccoy,uss,2012,,,
Plaintext-Recovery Attacks Against Datagram TLS.,http://www.internetsociety.org/plain-text-recovery-attacks-against-datagram-tls,ndss,2012,,,
Policy-Sealed Data: A New Abstraction for Building Trusted Cloud Services.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/santos,uss,2012,,,
Populated IP addresses: classification and applications.,http://doi.acm.org/10.1145/2382196.2382233,ccs,2012,,,
Practical yet universally composable two-server password-authenticated secret sharing.,http://doi.acm.org/10.1145/2382196.2382252,ccs,2012,,,
Precise enforcement of progress-sensitive security.,http://doi.acm.org/10.1145/2382196.2382289,ccs,2012,,,
Priceless: the role of payments in abuse-advertised goods.,http://doi.acm.org/10.1145/2382196.2382285,ccs,2012,,,
Privacy Enhanced Access Control for Outsourced Data Sharing.,https://doi.org/10.1007/978-3-642-32946-3_17,fc,2012,,,
Privacy-aware personalization for mobile advertising.,http://doi.acm.org/10.1145/2382196.2382266,ccs,2012,,,
Privacy-preserving Logarithmic-time Search on Encrypted Data in Cloud.,http://www.internetsociety.org/privacy-preserving-logarithmic-time-search-encrypted-data-cloud,ndss,2012,,,
Privacy-Preserving Social Plugins.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/kontaxis,uss,2012,,,
Privacy-Preserving Stream Aggregation with Fault Tolerance.,https://doi.org/10.1007/978-3-642-32946-3_15,fc,2012,,,
Private Set Intersection: Are Garbled Circuits Better than Custom Protocols?,http://www.internetsociety.org/private-set-intersection-are-garbled-circuits-better-custom-protocols,ndss,2012,,,
PrivateFS: a parallel oblivious file system.,http://doi.acm.org/10.1145/2382196.2382299,ccs,2012,,,
Privilege Separation in HTML5 Applications.,https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/akhawe,uss,2012,,,
Program popularity and viewer behaviour in a large TV-on-demand system.,http://doi.acm.org/10.1145/2398776.2398798,imc,2012,,,
