Paper, URL, Conference, Year
"ACTIDS: an active strategy for detecting and localizing network attacks.",http://doi.acm.org/10.1145/2517312.2517323,ccsaisec,2013
"What you want is not what you get: predicting sharing policies for text-based content on facebook.",http://doi.acm.org/10.1145/2517312.2517317,ccsaisec,2013
"On the hardness of evading combinations of linear classifiers.",http://doi.acm.org/10.1145/2517312.2517318,ccsaisec,2013
"A close look on <i>n</i>-grams in intrusion detection: anomaly detection vs. classification.",http://doi.acm.org/10.1145/2517312.2517316,ccsaisec,2013
"Strato: A Retargetable Framework for Low-Level Inlined-Reference Monitors.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/zeng,uss,2013
"Alice in Warningland: A Large-Scale Field Study of Browser Security Warning Effectiveness.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/akhawe,uss,2013
"On the Security of RC4 in TLS.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/alFardan,uss,2013
"Language-based Defenses Against Untrusted Browser Origins.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/bhargavan,uss,2013
"Native x86 Decompilation Using Semantics-Preserving Structural Analysis and Iterative Control-Flow Structuring.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/schwartz,uss,2013
"Flexible and Fine-grained Mandatory Access Control on Android for Diverse Security and Privacy Policies.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/bugiel,uss,2013
"Secure Outsourced Garbled Circuit Evaluation for Mobile Devices.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/carter,uss,2013
"Proactively Accountable Anonymous Messaging in Verdict.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/corrigan-gibbs,uss,2013
"FIE on Firmware: Finding Vulnerabilities in Embedded Systems Using Symbolic Execution.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/davidson,uss,2013
"CacheAudit: A Tool for the Static Analysis of Cache Side Channels.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/doychev,uss,2013
"ZMap: Fast Internet-wide Scanning and Its Security Applications.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/durumeric,uss,2013
"An Empirical Study of Vulnerability Rewards Programs.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/finifter,uss,2013
"ZQL: A Compiler for Privacy-Preserving Data Processing.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/fournet,uss,2013
"Let Me Answer That for You: Exploiting Broadcast Information in Cellular Networks.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/golde,uss,2013
"Dowsing for Overflows: A Guided Fuzzer to Find Buffer Boundary Violations.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/papers/haller,uss,2013
"Securing Computer Hardware Using 3D Integrated Circuit (IC) Technology and Split Manufacturing for Obfuscation.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/imeson,uss,2013
"Enabling Fine-Grained Permissions for Augmented Reality Applications with Recognizers.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/jana,uss,2013
"Towards Automatic Software Lineage Inference.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/papers/jang,uss,2013
"Greystar: Fast and Accurate Detection of SMS Spam Numbers in Large Cellular Networks Using Gray Phone Space.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/jiang,uss,2013
"Eradicating DNS Rebinding with the Extended Same-origin Policy.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/johns,uss,2013
"Revolver: An Automated Approach to the Detection of Evasive Web-based Malware.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/kapravelos,uss,2013
"DupLESS: Server-Aided Encryption for Deduplicated Storage.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/bellare,uss,2013
"PCF: A Portable Circuit Format for Scalable Two-Party Secure Computation.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/kreuter,uss,2013
"KI-Mon: A Hardware-assisted Event-triggered Monitoring Platform for Mutable Kernel Object.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/lee,uss,2013
"Measuring the Practical Impact of DNSSEC Deployment.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/lian,uss,2013
"Automatic Mediation of Privacy-Sensitive Resource Access in Smartphone Applications.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/livshits,uss,2013
"ExecScent: Mining for New C&amp;C Domains in Live Networks with Adaptive Control Protocol Templates.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/nelms,uss,2013
"Sancus: Low-cost Trustworthy Extensible Networked Devices with a Zero-software Trusted Computing Base.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/noorman,uss,2013
"Effective Inter-Component Communication Mapping in Android: An Essential Step Towards Holistic Security Analysis.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/octeau,uss,2013
"WHYPER: Towards Automating Risk Assessment of Mobile Applications.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/pandita,uss,2013
"Transparent ROP Exploit Mitigation Using Indirect Branch Tracing.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/pappas,uss,2013
"Practical Comprehensive Bounds on Surreptitious Communication over DNS.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/paxson,uss,2013
"Securing Embedded User Interfaces: Android and Beyond.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/roesner,uss,2013
"Impression Fraud in On-line Advertising via Pay-Per-View Networks.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/springborn,uss,2013
"Trafficking Fraudulent Accounts: The Role of the Underground Market in Twitter Spam and Abuse.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/thomas,uss,2013
"Dismantling Megamos Crypto: Wirelessly Lockpicking a Vehicle Immobilizer.",https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/verdult,uss,2013
"You Are How You Click: Clickstream Analysis for Sybil Detection.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/wang,uss,2013
"Jekyll on iOS: When Benign Apps Become Evil.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/wang_tielei,uss,2013
"MetaSymploit: Day-One Defense against Script-based Attacks with Security-Enhanced Symbolic Analysis.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/papers/wang,uss,2013
"Steal This Movie: Automatically Bypassing DRM Protection in Streaming Media Services.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/wang_ruoyu,uss,2013
"Take This Personally: Pollution Attacks on Personalized Services.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/xing,uss,2013
"Control Flow Integrity for COTS Binaries.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/Zhang,uss,2013
"On the Security of Picture Gesture Authentication.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/zhao,uss,2013
"The Velocity of Censorship: High-Fidelity Detection of Microblog Post Deletions.",https://www.usenix.org/conference/usenixsecurity13/technical-sessions/paper/zhu,uss,2013
"Clear and Present Data: Opaque Traffic and its Security Implications for the Future.",http://internetsociety.org/doc/clear-and-present-data-opaque-traffic-and-its-security-implications-future,ndss,2013
"Secure Computation on Floating Point Numbers.",http://internetsociety.org/doc/secure-computation-floating-point-numbers,ndss,2013
"Does Counting Still Count? Revisiting the Security of Counting based User Authentication Protocols against Statistical Attacks.",http://internetsociety.org/doc/does-counting-still-count-revisiting-security-counting-based-user-authentication-protocols,ndss,2013
"Low-cost Standard Signatures in Wireless Sensor Networks: A Case for Reviving Pre-computation Techniques?",http://internetsociety.org/doc/low-cost-standard-signatures-wireless-sensor-networks-case-reviving-pre-computation-techniques,ndss,2013
"Privacy-Enhancing Technologies for Medical Tests Using Genomic Data.",http://internetsociety.org/doc/privacy-enhancing-technologies-medical-tests-using-genomic-data-0,ndss,2013
"Preventing Side-Channel Leaks in Web Traffic: A Formal Approach.",http://internetsociety.org/doc/preventing-side-channel-leaks-web-traffic-formal-approach,ndss,2013
"AUTHSCAN: Automatic Extraction of Web Authentication Protocols from Implementations.",http://www.internetsociety.org/doc/authscan-automatic-extraction-web-authentication-protocols-implementations%E2%88%97,ndss,2013
"Verito: A Practical System for Transparency and Accountability in Virtual Economies.",http://internetsociety.org/doc/verito-practical-system-transparency-and-accountability-virtual-economies,ndss,2013
"Behind the Scenes of Online Attacks: an Analysis of Exploitation Behaviors on the Web.",http://internetsociety.org/doc/behind-scenes-online-attacks-analysis-exploitation-behaviors-web,ndss,2013
"A Practical, Targeted, and Stealthy Attack Against WPA Enterprise Authentication.",http://internetsociety.org/doc/practical-targeted-and-stealthy-attack-against-wpa-enterprise-authentication,ndss,2013
"Contextual Policy Enforcement in Android Applications with Permission Event Graphs.",http://internetsociety.org/doc/contextual-policy-enforcement-android-applications-permission-event-graphs,ndss,2013
"Toward Online Verification of Client Behavior in Distributed Applications.",http://internetsociety.org/doc/toward-online-verification-client-behavior-distributed-applications,ndss,2013
"When Firmware Modifications Attack: A Case Study of Embedded Exploitation.",http://internetsociety.org/doc/when-firmware-modifications-attack-case-study-embedded-exploitation,ndss,2013
"COMPA: Detecting Compromised Accounts on Social Networks.",http://internetsociety.org/doc/compa-detecting-compromised-accounts-social-networks,ndss,2013
"Macroeconomic Analysis of Malware.",http://internetsociety.org/doc/macroeconomic-analysis-malware-0,ndss,2013
"Comparing Mobile Privacy Protection through Cross-Platform Applications.",http://internetsociety.org/doc/comparing-mobile-privacy-protection-through-cross-platform-applications,ndss,2013
"One (Block) Size Fits All: PIR and SPIR with Variable-Length Records via Multi-Block Queries.",http://internetsociety.org/doc/one-block-size-fits-all-pir-and-spir-variable-length-records-multi-block-queries,ndss,2013
"I want my voice to be heard: IP over Voice-over-IP for unobservable censorship circumvention.",http://internetsociety.org/doc/i-want-my-voice-be-heard-ip-over-voice-over-ip-unobservable-censorship-circumvention,ndss,2013
"Assessing software integrity of virtual appliances through software whitelists.",http://internetsociety.org/doc/assessing-software-integrity-virtual-appliances-through-software-whitelists,ndss,2013
"Practical Timing Side Channel Attacks Against Kernel Space ASLR.",http://internetsociety.org/doc/practical-timing-side-channel-attacks-against-kernel-space-aslr-0,ndss,2013
"General Chair's Message.",http://www.internetsociety.org/ndss-2013-general-chairs-message,ndss,2013
"A Non-interactive Dual-channel Authentication Protocol for Assuring Pseudo-confidentiality.",http://internetsociety.org/doc/non-interactive-dual-channel-authentication-protocol-assuring-pseudo-confidentiality,ndss,2013
"One Bad Apple: Backwards Compatibility Attacks on State-of-the-Art Cryptography.",http://internetsociety.org/doc/one-bad-apple-backwards-compatibility-attacks-state-art-cryptography,ndss,2013
"LIRA: Lightweight Incentivized Routing for Anonymity.",http://internetsociety.org/doc/lira-lightweight-incentivized-routing-anonymity,ndss,2013
"20 Years of Network and Distributed Systems Security: The Good, the Bad, and the Ugly.",http://www.internetsociety.org/doc/20-years-network-and-distributed-systems-security-good-bad-and-ugly,ndss,2013
"Automatic Protocol Selection in Secure Two-Party Computations.",http://internetsociety.org/doc/automatic-protocol-selection-secure-two-party-computations,ndss,2013
"Attack Surface Metrics and Automated Compile-Time OS Kernel Tailoring.",http://internetsociety.org/doc/attack-surface-metrics-and-automated-compile-time-os-kernel-tailoring,ndss,2013
"Clickonomics: Determining the Effect of Anti-Piracy Measures for One-Click Hosting.",http://internetsociety.org/doc/clickonomics-determining-effect-anti-piracy-measures-one-click-hosting,ndss,2013
"High Accuracy Attack Provenance via Binary-based Execution Partition.",http://internetsociety.org/doc/high-accuracy-attack-provenance-binary-based-execution-partition,ndss,2013
"The Core of the Matter: Analyzing Malicious Traffic in Cellular Carriers.",http://internetsociety.org/doc/core-matter-analyzing-malicious-traffic-cellular-carriers,ndss,2013
"Unobservable Re-authentication for Smartphones.",http://internetsociety.org/doc/unobservable-re-authentication-smartphones,ndss,2013
"Preserving Link Privacy in Social Network Based Systems.",http://internetsociety.org/doc/preserving-link-privacy-social-network-based-systems,ndss,2013
"Pisces: Anonymous Communication Using Social Networks.",http://internetsociety.org/doc/pisces-anonymous-communication-using-social-networks,ndss,2013
"Program Chair's Message.",http://www.internetsociety.org/ndss-2013-program-chairs-message,ndss,2013
"How Privacy Leaks From Bluetooth Mouse?",http://internetsociety.org/doc/how-privacy-leaks-bluetooth-mouse-0,ndss,2013
"Metrics for Automated Network Security Design.",http://internetsociety.org/doc/metrics-automated-network-security-design,ndss,2013
"CAMP: Content-Agnostic Malware Protection.",http://internetsociety.org/doc/camp-content-agnostic-malware-protection,ndss,2013
"Analyzing Unique-Bid Auction Sites for Fun and Profit.",http://internetsociety.org/doc/analyzing-unique-bid-auction-sites-fun-and-profit,ndss,2013
"FRESCO: Modular Composable Security Services for Software-Defined Networks.",http://internetsociety.org/doc/fresco-modular-composable-security-services-software-defined-networks,ndss,2013
"On Implementing Deniable Storage Encryption for Mobile Devices.",http://internetsociety.org/doc/implementing-deniable-storage-encryption-mobile-devices,ndss,2013
"Laying a Secure Foundation for Mobile Devices.",http://www.internetsociety.org/doc/laying-secure-foundation-mobile-devices,ndss,2013
"Security Enhanced (SE) Android: Bringing Flexible MAC to Android.",http://internetsociety.org/doc/security-enhanced-se-android-bringing-flexible-mac-android,ndss,2013
"Fix Me Up: Repairing Access-Control Bugs in Web Applications.",http://internetsociety.org/doc/fix-me-repairing-access-control-bugs-web-applications,ndss,2013
"The Postman Always Rings Twice: Attacking and Defending postMessage in HTML5 Websites.",http://internetsociety.org/doc/postman-always-rings-twice-attacking-and-defending-postmessage-html5-websites,ndss,2013
"Detection of Malicious PDF Files Based on Hierarchical Document Structure.",http://internetsociety.org/doc/detection-malicious-pdf-files-based-hierarchical-document-structure,ndss,2013
"ObliviStore: High Performance Oblivious Distributed Cloud Data Store.",http://internetsociety.org/doc/oblivistore-high-performance-oblivious-distributed-cloud-data-store-0,ndss,2013
"You Can't Do Today's Security With Yesterday's Methods.",http://www.internetsociety.org/doc/you-cant-do-todays-security-yesterdays-methods,ndss,2013
"PlaceRaider: Virtual Theft in Physical Spaces with Smartphones.",http://internetsociety.org/doc/placeraider-virtual-theft-physical-spaces-smartphones,ndss,2013
"I can be You: Questioning the use of Keystroke Dynamics as Biometrics.",http://internetsociety.org/doc/i-can-be-you-questioning-use-keystroke-dynamics-biometrics,ndss,2013
"KinWrite: Handwriting-Based Authentication Using Kinect.",http://internetsociety.org/doc/kinwrite-handwriting-based-authentication-using-kinect,ndss,2013
"Automatically Inferring the Evolution of Malicious Activity on the Internet.",http://internetsociety.org/doc/automatically-inferring-evolution-malicious-activity-internet,ndss,2013
"An Empirical Evaluation of Relay Selection in Tor.",http://internetsociety.org/doc/empirical-evaluation-relay-selection-tor,ndss,2013
"Updates from the Internet Backbone: An RPKI/RTR Router Implementation, Measurements, and Analysis",http://www.internetsociety.org/doc/updates-internet-backbone-rpkirtr-router-implementation-measurements-and-analysis,ndss,2013
"rBridge: User Reputation based Tor Bridge Distribution with Privacy Preservation.",http://internetsociety.org/doc/rbridge-user-reputation-based-tor-bridge-distribution-privacy-preservation,ndss,2013
"Social Turing Tests: Crowdsourcing Sybil Detection.",http://internetsociety.org/doc/social-turing-tests-crowdsourcing-sybil-detection,ndss,2013
"Juice: A Longitudinal Study of an SEO Botnet.",http://internetsociety.org/doc/juice-longitudinal-study-seo-botnet,ndss,2013
"Taming Hosted Hypervisors with (Mostly) Deprivileged Execution.",http://internetsociety.org/doc/taming-hosted-hypervisors-mostly-deprivileged-execution,ndss,2013
"OIRS: Outsourced Image Recovery Service From Comprehensive Sensing With Privacy Assurance.",http://internetsociety.org/doc/oirs-outsourced-image-recovery-service-comprehensive-sensing-privacy,ndss,2013
