Paper, URL, Conference, Year,data,description,pdfName
A Threat for Tablet PCs in Public Space: Remote Visualization of Screen Images Using EM Emanation.,http://doi.acm.org/10.1145/2660267.2660292,ccs,2014,,,
A Trusted Safety Verifier for Process Controller Code.,http://www.internetsociety.org/doc/trusted-safety-verifier-process-controller-code,ndss,2014,,,
A11y Attacks: Exploiting Accessibility in Operating Systems.,http://doi.acm.org/10.1145/2660267.2660295,ccs,2014,,,
AccelPrint: Imperfections of Accelerometers Make Smartphones Trackable.,http://www.internetsociety.org/doc/accelprint-imperfections-accelerometers-make-smartphones-trackable,ndss,2014,,,
Acoustic Fingerprinting Revisited: Generate Stable Device ID Stealthily with Inaudible Sound.,http://doi.acm.org/10.1145/2660267.2660300,ccs,2014,,,
Ad-Hoc Secure Two-Party Computation on Mobile Devices using Hardware Tokens.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/demmler,uss,2014,,,
Adversarial Active Learning.,http://doi.acm.org/10.1145/2666652.2666656,ccsaisec,2014,,,
AirBag: Boosting Smartphone Resistance to Malware Infection.,http://www.internetsociety.org/doc/airbag-boosting-smartphone-resistance-malware-infection,ndss,2014,,,
ALETHEIA: Improving the Usability of Static Security Analysis.,http://doi.acm.org/10.1145/2660267.2660339,ccs,2014,,,
Algebraic MACs and Keyed-Verification Anonymous Credentials.,http://doi.acm.org/10.1145/2660267.2660328,ccs,2014,,,
ALITHEIA: Towards Practical Verifiable Graph Processing.,http://doi.acm.org/10.1145/2660267.2660354,ccs,2014,,,
All Your Screens Are Belong to Us: Attacks Exploiting the HTML5 Screen Sharing API.,https://doi.org/10.1109/SP.2014.10,sp,2014,,,
Amandroid: A Precise and General Inter-component Data Flow Analysis Framework for Security Vetting of Android Apps.,http://doi.acm.org/10.1145/2660267.2660357,ccs,2014,,,
Amplification Hell: Revisiting Network Protocols for DDoS Abuse.,http://www.internetsociety.org/doc/amplification-hell-revisiting-network-protocols-ddos-abuse,ndss,2014,,,
An Analysis of Anonymity in Bitcoin Using P2P Network Traffic.,https://doi.org/10.1007/978-3-662-45472-5_30,fc,2014,,,
An Epidemiological Study of Malware Encounters in a Large Enterprise.,http://doi.acm.org/10.1145/2660267.2660330,ccs,2014,,,
An Expressive Model for the Web Infrastructure: Definition and Application to the Browser ID SSO System.,https://doi.org/10.1109/SP.2014.49,sp,2014,,,
An Internet-Wide View of Internet-Wide Scanning.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/durumeric,uss,2014,,,
Analysis of SSL certificate reissues and revocations in the wake of heartbleed.,http://doi.acm.org/10.1145/2663716.2663758,imc,2014,,,
Analyzing Forged SSL Certificates in the Wild.,https://doi.org/10.1109/SP.2014.13,sp,2014,,,
ANONIZE: A Large-Scale Anonymous Survey System.,https://doi.org/10.1109/SP.2014.31,sp,2014,,,
AppSealer: Automatic Generation of Vulnerability-Specific Patches for Preventing Component Hijacking Attacks in Android Applications.,http://www.internetsociety.org/doc/appsealer-automatic-generation-vulnerability-specific-patches-preventing-component-hijacking,ndss,2014,,,
Are You Ready to Lock?,http://doi.acm.org/10.1145/2660267.2660273,ccs,2014,,,
ARMlock: Hardware-based Fault Isolation for ARM.,http://doi.acm.org/10.1145/2660267.2660344,ccs,2014,,,
ARPKI: Attack Resilient Public-Key Infrastructure.,http://doi.acm.org/10.1145/2660267.2660298,ccs,2014,,,
ASM: A Programmable Interface for Extending Android Security.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/heuser,uss,2014,,,
ATRA: Address Translation Redirection Attack against Hardware-based External Monitors.,http://doi.acm.org/10.1145/2660267.2660303,ccs,2014,,,
Attack on U-Prove Revocation Scheme from FC'13 - Passing Verification by Revoked Users.,https://doi.org/10.1007/978-3-662-45472-5_18,fc,2014,,,
Auditable Version Control Systems.,http://www.internetsociety.org/doc/auditable-version-control-systems,ndss,2014,,,
Authentication Using Pulse-Response Biometrics.,http://www.internetsociety.org/doc/authentication-using-pulse-response-biometrics,ndss,2014,,,
AutoCog: Measuring the Description-to-permission Fidelity in Android Applications.,http://doi.acm.org/10.1145/2660267.2660287,ccs,2014,,,
Automated Analysis of Security Protocols with Global State.,https://doi.org/10.1109/SP.2014.18,sp,2014,,,
Automated Detection and Fingerprinting of Censorship Block Pages.,http://doi.acm.org/10.1145/2663716.2663722,imc,2014,,,
Automated Verification of Group Key Agreement Protocols.,https://doi.org/10.1109/SP.2014.19,sp,2014,,,
Automatically Detecting Vulnerable Websites Before They Turn Malicious.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,uss,2014,,,
Automating Efficient RAM-Model Secure Computation.,https://doi.org/10.1109/SP.2014.46,sp,2014,,,
Automating Information Flow Analysis of Low Level Code.,http://doi.acm.org/10.1145/2660267.2660322,ccs,2014,,,
Automating Isolation and Least Privilege in Web Services.,https://doi.org/10.1109/SP.2014.16,sp,2014,,,
Automating Reverse Engineering with Machine Learning Techniques.,http://doi.acm.org/10.1145/2666652.2666665,ccsaisec,2014,,,
AUTOPROBE: Towards Automatic Active Malicious Server Probing Using Dynamic Binary Analysis.,http://doi.acm.org/10.1145/2660267.2660352,ccs,2014,,,
AVATAR: A Framework to Support Dynamic Security Analysis of Embedded Systems' Firmwares.,http://www.internetsociety.org/doc/avatar-framework-support-dynamic-security-analysis-embedded-systems%E2%80%99-firmwares,ndss,2014,,,
Back-Office Web Traffic on The Internet.,http://doi.acm.org/10.1145/2663716.2663756,imc,2014,,,
Bandwidth Efficient PIR from NTRU.,https://doi.org/10.1007/978-3-662-44774-1_16,fcw,2014,,,
BareCloud: Bare-metal Analysis-based Evasive Malware Detection.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kirat,uss,2014,,,
Behind the Curtain: Cellular DNS and Content Replica Selection.,http://doi.acm.org/10.1145/2663716.2663734,imc,2014,,,
"Beware, Your Hands Reveal Your Secrets!",http://doi.acm.org/10.1145/2660267.2660360,ccs,2014,,,
Beyond Pattern Matching: A Concurrency Model for Stateful Deep Packet Inspection.,http://doi.acm.org/10.1145/2660267.2660361,ccs,2014,,,
Bitcoin: A First Legal Analysis - With Reference to German and US-American Law.,https://doi.org/10.1007/978-3-662-44774-1_4,fcw,2014,,,
BitIodine: Extracting Intelligence from the Bitcoin Network.,https://doi.org/10.1007/978-3-662-45472-5_29,fc,2014,,,
Blanket Execution: Dynamic Similarity Testing for Program Binaries and Components.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/egele,uss,2014,,,
Blind Recognition of Touched Keys on Mobile Devices.,http://doi.acm.org/10.1145/2660267.2660288,ccs,2014,,,
Blind Seer: A Scalable Private DBMS.,https://doi.org/10.1109/SP.2014.30,sp,2014,,,
Blind Transmitter Authentication for Spectrum Security and Enforcement.,http://doi.acm.org/10.1145/2660267.2660318,ccs,2014,,,
Bootstrapping Privacy Compliance in Big Data Systems.,https://doi.org/10.1109/SP.2014.28,sp,2014,,,
Botcoin: Monetizing Stolen Cycles.,http://www.internetsociety.org/doc/botcoin-monetizing-stolen-cycles,ndss,2014,,,
Brahmastra: Driving Apps to Test the Security of Third-Party Components.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bhoraskar,uss,2014,,,
Breaking and Fixing Origin-Based Access Control in Hybrid Web/Mobile Application Frameworks.,http://www.internetsociety.org/doc/breaking-and-fixing-origin-based-access-control-hybrid-webmobile-application-frameworks,ndss,2014,,,
Breaking Integrated Circuit Device Security through Test Mode Silicon Reverse Engineering.,http://doi.acm.org/10.1145/2660267.2660301,ccs,2014,,,
Burst ORAM: Minimizing ORAM Response Times for Bursty Access Patterns.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/dautrich,uss,2014,,,
BYTEWEIGHT: Learning to Recognize Functions in Binary Code.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bao,uss,2014,,,
Capturing ghosts: predicting the used IPv4 space by inferring unobserved addresses.,http://doi.acm.org/10.1145/2663716.2663718,imc,2014,,,
Cardinal Pill Testing of System Virtual Machines.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/shi,uss,2014,,,
Censorship in the Wild: Analyzing Internet Filtering in Syria.,http://doi.acm.org/10.1145/2663716.2663720,imc,2014,,,
Challenges and Opportunities Associated with a Bitcoin-Based Transaction Rating System.,https://doi.org/10.1007/978-3-662-44774-1_3,fcw,2014,,,
Challenges in Inferring Internet Interdomain Congestion.,http://doi.acm.org/10.1145/2663716.2663741,imc,2014,,,
Challenges in Protecting Tor Hidden Services from Botnet Abuse.,https://doi.org/10.1007/978-3-662-45472-5_21,fc,2014,,,
Characterization of Real-Life PRNGs under Partial State Corruption.,http://doi.acm.org/10.1145/2660267.2660377,ccs,2014,,,
Characterizing Large-Scale Click Fraud in ZeroAccess.,http://doi.acm.org/10.1145/2660267.2660369,ccs,2014,,,
Chip and Skim: Cloning EMV Cards with the Pre-play Attack.,https://doi.org/10.1109/SP.2014.11,sp,2014,,,
ClickMiner: Towards Forensic Reconstruction of User-Browser Interactions from Network Traces.,http://doi.acm.org/10.1145/2660267.2660268,ccs,2014,,,
Cloak and Swagger: Understanding Data Sensitivity through the Lens of User Anonymity.,https://doi.org/10.1109/SP.2014.38,sp,2014,,,
Clubbing Seals: Exploring the Ecosystem of Third-party Security Seals.,http://doi.acm.org/10.1145/2660267.2660279,ccs,2014,,,
"Code Injection Attacks on HTML5-based Mobile Apps: Characterization, Detection and Mitigation.",http://doi.acm.org/10.1145/2660267.2660275,ccs,2014,,,
Code Reuse Attacks in PHP: Automated POP Chain Generation.,http://doi.acm.org/10.1145/2660267.2660363,ccs,2014,,,
Collaborative Verification of Information Flow for a High-Assurance App Store.,http://doi.acm.org/10.1145/2660267.2660343,ccs,2014,,,
Community-Enhanced De-anonymization of Online Social Networks.,http://doi.acm.org/10.1145/2660267.2660324,ccs,2014,,,
Computer Security Clinical Trials: Lessons Learned from a 4-month Pilot Study.,https://www.usenix.org/conference/cset14/workshop-program/presentation/levesque,usscset,2014,,,
Confidentiality Issues on a GPU in a Virtualized Environment.,https://doi.org/10.1007/978-3-662-45472-5_9,fc,2014,,,
Consequences of Connectivity: Characterizing Account Hijacking on Twitter.,http://doi.acm.org/10.1145/2660267.2660282,ccs,2014,,,
Context-Based Zero-Interaction Pairing and Key Evolution for Advanced Personal Devices.,http://doi.acm.org/10.1145/2660267.2660334,ccs,2014,,,
Context-free Attacks Using Keyboard Acoustic Emanations.,http://doi.acm.org/10.1145/2660267.2660296,ccs,2014,,,
Controlled Functional Encryption.,http://doi.acm.org/10.1145/2660267.2660291,ccs,2014,,,
Copker: Computing with Private Keys without RAM.,http://www.internetsociety.org/doc/copker-computing-private-keys-without-ram,ndss,2014,,,
Cross-Tenant Side-Channel Attacks in PaaS Clouds.,http://doi.acm.org/10.1145/2660267.2660356,ccs,2014,,,
Crossroads: A Practical Data Sketching Solution for Mining Intersection of Streams.,http://doi.acm.org/10.1145/2663716.2663733,imc,2014,,,
CyberProbe: Towards Internet-Scale Active Detection of Malicious Servers.,http://www.internetsociety.org/doc/cyberprobe-towards-internet-scale-active-detection-malicious-servers,ndss,2014,,,
DACSA: A Decoupled Architecture for Cloud Security Analysis.,https://www.usenix.org/conference/cset14/workshop-program/gionta,usscset,2014,,,
Dancing with Giants: Wimpy Kernels for On-Demand Isolated I/O.,https://doi.org/10.1109/SP.2014.27,sp,2014,,,
Deanonymisation of Clients in Bitcoin P2P Network.,http://doi.acm.org/10.1145/2660267.2660379,ccs,2014,,,
Decentralized Anonymous Credentials.,http://www.internetsociety.org/doc/decentralized-anonymous-credentials,ndss,2014,,,
Decide Now or Decide Later?: Quantifying the Tradeoff between Prospective and Retrospective Access Decisions.,http://doi.acm.org/10.1145/2660267.2660341,ccs,2014,,,
Deniable Liaisons.,http://doi.acm.org/10.1145/2660267.2660340,ccs,2014,,,
Detecting Logic Vulnerabilities in E-commerce Applications.,http://www.internetsociety.org/doc/detecting-logic-vulnerabilities-e-commerce-applications,ndss,2014,,,
Detection of On-Road Vehicles Emanating GPS Interference.,http://doi.acm.org/10.1145/2660267.2660336,ccs,2014,,,
DeTrust: Defeating Hardware Trust Verification with Stealthy Implicitly-Triggered Hardware Trojans.,http://doi.acm.org/10.1145/2660267.2660289,ccs,2014,,,
Dialing Back Abuse on Phone Verified Accounts.,http://doi.acm.org/10.1145/2660267.2660321,ccs,2014,,,
Digital Check Forgery Attacks on Client Check Truncation Systems.,https://doi.org/10.1007/978-3-662-45472-5_1,fc,2014,,,
Dissecting Web Latency in Ghana.,http://doi.acm.org/10.1145/2663716.2663748,imc,2014,,,
DNSSEC and its potential for DDoS attacks: a comprehensive measurement study.,http://doi.acm.org/10.1145/2663716.2663731,imc,2014,,,
Do You Hear What I Hear?: Fingerprinting Smart Devices Through Embedded Acoustic Components.,http://doi.acm.org/10.1145/2660267.2660325,ccs,2014,,,
Doppelg’_nger Finder: Taking Stylometry to the Underground.,https://doi.org/10.1109/SP.2014.21,sp,2014,,,
DREBIN: Effective and Explainable Detection of Android Malware in Your Pocket.,http://www.internetsociety.org/doc/drebin-effective-and-explainable-detection-android-malware-your-pocket,ndss,2014,,,
Drone to the Rescue: Relay-Resilient Authentication using Ambient Multi-sensing.,https://doi.org/10.1007/978-3-662-45472-5_23,fc,2014,,,
DSCRETE: Automatic Rendering of Forensic Information from Memory Images via Application Logic Reuse.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/saltaformaggio,uss,2014,,,
DSpin: Detecting Automatically Spun Content on the Web.,http://www.internetsociety.org/doc/dspin-detecting-automatically-spun-content-web,ndss,2014,,,
Dynamic Hooks: Hiding Control Flow Changes within Non-Control Data.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/vogl,uss,2014,,,
Dynamic Searchable Encryption in Very-Large Databases: Data Structures and Implementation.,http://www.internetsociety.org/doc/dynamic-searchable-encryption-very-large-databases-data-structures-and-implementation,ndss,2014,,,
Dynamic Searchable Encryption via Blind Storage.,https://doi.org/10.1109/SP.2014.47,sp,2014,,,
EDURange: Meeting the Pedagogical Challenges of Student Participation in Cybertraining Environments.,https://www.usenix.org/conference/cset14/workshop-program/presentation/boesen,usscset,2014,,,
Effective Attacks and Provable Defenses for Website Fingerprinting.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tao,uss,2014,,,
Effective Entropy: Security-Centric Metric for Memory Randomization Techniques.,https://www.usenix.org/conference/cset14/workshop-program/presentation/herlands,usscset,2014,,,
Efficient and Strongly Secure Dynamic Domain-Specific Pseudonymous Signatures for ID Documents.,https://doi.org/10.1007/978-3-662-45472-5_16,fc,2014,,,
Efficient Large Flow Detection over Arbitrary Windows: An Algorithm Exact Outside an Ambiguity Region.,http://doi.acm.org/10.1145/2663716.2663724,imc,2014,,,
Efficient Non-Interactive Zero Knowledge Arguments for Set Operations.,https://doi.org/10.1007/978-3-662-45472-5_14,fc,2014,,,
Efficient Private File Retrieval by Combining ORAM and PIR.,http://www.internetsociety.org/doc/efficient-private-file-retrieval-combining-oram-and-pir,ndss,2014,,,
Efficiently Verifiable Computation on Encrypted Data.,http://doi.acm.org/10.1145/2660267.2660366,ccs,2014,,,
Elligator Squared: Uniform Points on Elliptic Curves of Prime Order as Uniform Random Strings.,https://doi.org/10.1007/978-3-662-45472-5_10,fc,2014,,,
Elliptic Curve Cryptography in Practice.,https://doi.org/10.1007/978-3-662-45472-5_11,fc,2014,,,
Empirical Analysis of Denial-of-Service Attacks in the Bitcoin Ecosystem.,https://doi.org/10.1007/978-3-662-44774-1_5,fcw,2014,,,
Enforcing Forward-Edge Control-Flow Integrity in GCC &amp; LLVM.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/tice,uss,2014,,,
Enhanced Certificate Transparency and End-to-End Encrypted Mail.,http://www.internetsociety.org/doc/enhanced-certificate-transparency-and-end-end-encrypted-mail,ndss,2014,,,
Estimating Systematic Risk in Real-World Networks.,https://doi.org/10.1007/978-3-662-45472-5_27,fc,2014,,,
Execute This! Analyzing Unsafe and Malicious Dynamic Code Loading in Android Applications.,http://www.internetsociety.org/doc/execute-analyzing-unsafe-and-malicious-dynamic-code-loading-android-applications,ndss,2014,,,
Exit from Hell? Reducing the Impact of Amplification DDoS Attacks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kuhrer,uss,2014,,,
Faces in the Distorting Mirror: Revisiting Photo-based Social Authentication.,http://doi.acm.org/10.1145/2660267.2660317,ccs,2014,,,
Fail-Secure Access Control.,http://doi.acm.org/10.1145/2660267.2660307,ccs,2014,,,
Fair Two-Party Computations via Bitcoin Deposits.,https://doi.org/10.1007/978-3-662-44774-1_8,fcw,2014,,,
Faster Private Set Intersection Based on OT Extension.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/pinkas,uss,2014,,,
"FLUSH+RELOAD: A High Resolution, Low Noise, L3 Cache Side-Channel Attack.",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/yarom,uss,2014,,,
Forced Perspectives: Evaluating an SSL Trust Enhancement at Scale.,http://doi.acm.org/10.1145/2663716.2663759,imc,2014,,,
Formal Analysis of Chaumian Mix Nets with Randomized Partial Checking.,https://doi.org/10.1109/SP.2014.29,sp,2014,,,
Formatted Encryption Beyond Regular Languages.,http://doi.acm.org/10.1145/2660267.2660351,ccs,2014,,,
Founding Digital Currency on Secure Computation.,http://doi.acm.org/10.1145/2660267.2660293,ccs,2014,,,
Four-Week Summer Program in Cyber Security for High School Students: Practice and Experience Report.,https://www.usenix.org/conference/cset14/workshop-program/presentation/danforth,usscset,2014,,,
Framing Signals - A Return to Portable Shellcode.,https://doi.org/10.1109/SP.2014.23,sp,2014,,,
"From Patches to Honey-Patches: Lightweight Attacker Misdirection, Deception, and Disinformation.",http://doi.acm.org/10.1145/2660267.2660329,ccs,2014,,,
From the Aether to the Ethernet - Attacking the Internet using Broadcast Digital Television.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/oren,uss,2014,,,
From Very Weak to Very Strong: Analyzing Password-Strength Meters.,http://www.internetsociety.org/doc/very-weak-very-strong-analyzing-password-strength-meters,ndss,2014,,,
From Zygote to Morula: Fortifying Weakened ASLR on Android.,https://doi.org/10.1109/SP.2014.34,sp,2014,,,
Fully Secure and Fast Signing from Obfuscation.,http://doi.acm.org/10.1145/2660267.2660306,ccs,2014,,,
Gaining Control of Cellular Traffic Accounting by Spurious TCP Retransmission.,http://www.internetsociety.org/doc/gaining-control-cellular-traffic-accounting-spurious-tcp-retransmission,ndss,2014,,,
Game-Theoretic Analysis of DDoS Attacks Against Bitcoin Mining Pools.,https://doi.org/10.1007/978-3-662-44774-1_6,fcw,2014,,,
Garbled Searchable Symmetric Encryption.,https://doi.org/10.1007/978-3-662-45472-5_15,fc,2014,,,
Gyrophone: Recognizing Speech from Gyroscope Signals.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/michalevsky,uss,2014,,,
Gyrus: A Framework for User-Intent Monitoring of Text-based Networked Applications.,http://www.internetsociety.org/doc/gyrus-framework-user-intent-monitoring-text-based-networked-applications,ndss,2014,,,
Hacking Blind.,https://doi.org/10.1109/SP.2014.22,sp,2014,,,
Handcrafted Fraud and Extortion: Manual Account Hijacking in the Wild.,http://doi.acm.org/10.1145/2663716.2663749,imc,2014,,,
Hardening Persona - Improving Federated Web Login.,http://www.internetsociety.org/doc/hardening-persona-%E2%80%93-improving-federated-web-login,ndss,2014,,,
Harvesting High Value Foreign Currency Transactions from EMV Contactless Credit Cards Without the PIN.,http://doi.acm.org/10.1145/2660267.2660312,ccs,2014,,,
Hawk and Aucitas: e-Auction Schemes from the Helios and Civitas e-Voting Schemes.,https://doi.org/10.1007/978-3-662-45472-5_4,fc,2014,,,
"Hey, NSA: Stay Away from my Market! Future Proofing App Markets against Powerful Attackers.",http://doi.acm.org/10.1145/2660267.2660311,ccs,2014,,,
Hidden GEMs: Automated Discovery of Access Control Vulnerabilities in Graphical User Interfaces.,https://doi.org/10.1109/SP.2014.17,sp,2014,,,
High-Speed Fully Homomorphic Encryption Over the Integers.,https://doi.org/10.1007/978-3-662-44774-1_14,fcw,2014,,,
"HILTI: an Abstract Execution Environment for Deep, Stateful Network Traffic Analysis.",http://doi.acm.org/10.1145/2663716.2663735,imc,2014,,,
How Did Dread Pirate Roberts Acquire and Protect his Bitcoin Wealth?,https://doi.org/10.1007/978-3-662-44774-1_1,fcw,2014,,,
How Much Can We Micro-Cache Web Pages?,http://doi.acm.org/10.1145/2663716.2663739,imc,2014,,,
How to Use Bitcoin to Incentivize Correct Computations.,http://doi.acm.org/10.1145/2660267.2660380,ccs,2014,,,
Hulk: Eliciting Malicious Behavior in Browser Extensions.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kapravelos,uss,2014,,,
Hunting the Red Fox Online: Understanding and Detection of Mass Redirect-Script Injections.,https://doi.org/10.1109/SP.2014.8,sp,2014,,,
Hybrid-Bridge: Efficiently Bridging the Semantic-Gap in VMI via Decoupled Execution and Training Memoization.,http://www.internetsociety.org/doc/hybrid-bridge-efficiently-bridging-semantic-gap-virtual-machine-introspection-decoupled,ndss,2014,,,
Hypervision Across Worlds: Real-time Kernel Protection from the ARM TrustZone Secure World.,http://doi.acm.org/10.1145/2660267.2660350,ccs,2014,,,
Identifying and Analyzing High Impact Routing Events with PathMiner.,http://doi.acm.org/10.1145/2663716.2663754,imc,2014,,,
Identifying Risk Factors for Webserver Compromise.,https://doi.org/10.1007/978-3-662-45472-5_22,fc,2014,,,
Increasing Anonymity in Bitcoin.,https://doi.org/10.1007/978-3-662-44774-1_9,fcw,2014,,,
Increasing Security Sensitivity With Social Proof: A Large-Scale Experimental Confirmation.,http://doi.acm.org/10.1145/2660267.2660271,ccs,2014,,,
Inferring Complex AS Relationships.,http://doi.acm.org/10.1145/2663716.2663743,imc,2014,,,
Information Leaks Without Memory Disclosures: Remote Side Channel Attacks on Diversified Code.,http://doi.acm.org/10.1145/2660267.2660309,ccs,2014,,,
Inside Job: Understanding and Mitigating the Threat of External Device Mis-Binding on Android.,http://www.internetsociety.org/doc/inside-job-understanding-and-mitigating-threat-external-device-mis-bonding-android,ndss,2014,,,
Inter-Domain Traffic Estimation for the Outsider.,http://doi.acm.org/10.1145/2663716.2663740,imc,2014,,,
iSeeYou: Disabling the MacBook Webcam Indicator LED.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/brocker,uss,2014,,,
JIGSAW: Protecting Resource Access by Inferring Programmer Expectations.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/vijaykumar,uss,2014,,,
KCoFI: Complete Control-Flow Integrity for Commodity Operating System Kernels.,https://doi.org/10.1109/SP.2014.26,sp,2014,,,
Large-Scale Evaluation of a Vulnerability Analysis Framework.,https://www.usenix.org/conference/cset14/workshop-program/presentation/benameur,usscset,2014,,,
Layer 1-informed Internet Topology Measurement.,http://doi.acm.org/10.1145/2663716.2663737,imc,2014,,,
Leveraging Machine Learning to Improve Unwanted Resource Filtering.,http://doi.acm.org/10.1145/2666652.2666662,ccsaisec,2014,,,
Leveraging USB to Establish Host Identity Using Commodity Devices.,http://www.internetsociety.org/doc/leveraging-usb-establish-host-identity-using-commodity-devices,ndss,2014,,,
"LibFTE: A Toolkit for Constructing Practical, Format-Abiding Encryption Schemes.",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/luchaup,uss,2014,,,
Location Privacy Protection for Smartphone Users.,http://doi.acm.org/10.1145/2660267.2660270,ccs,2014,,,
Lux0R: Detection of Malicious PDF-embedded JavaScript code through Discriminant Analysis of API References.,http://doi.acm.org/10.1145/2666652.2666657,ccsaisec,2014,,,
Macaroons: Cookies with Contextual Caveats for Decentralized Authorization in the Cloud.,http://www.internetsociety.org/doc/macaroons-cookies-contextual-caveats-decentralized-authorization-cloud,ndss,2014,,,
MACE: Detecting Privilege Escalation Vulnerabilities in Web Applications.,http://doi.acm.org/10.1145/2660267.2660337,ccs,2014,,,
Majority Is Not Enough: Bitcoin Mining Is Vulnerable.,https://doi.org/10.1007/978-3-662-45472-5_28,fc,2014,,,
Man vs. Machine: Practical Adversarial Detection of Malicious Crowdsourcing Workers.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang,uss,2014,,,
Mayhem in the Push Clouds: Understanding and Mitigating Security Hazards in Mobile Push-Messaging Services.,http://doi.acm.org/10.1145/2660267.2660302,ccs,2014,,,
Measuring Price Discrimination and Steering on E-commerce Web Sites.,http://doi.acm.org/10.1145/2663716.2663744,imc,2014,,,
Measuring the Reliability of Mobile Broadband Networks.,http://doi.acm.org/10.1145/2663716.2663725,imc,2014,,,
Mechanized Network Origin and Path Authenticity Proofs.,http://doi.acm.org/10.1145/2660267.2660349,ccs,2014,,,
